username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
Lironwiki,User:Lironwiki/sandbox,1,0,User:Lironwiki,1,0 days 00:02:58.000000000,1
Editor11223344,Royal Wootton Bassett Academy,0,2,User talk:Philip Trueman,1,0 days 00:03:13.000000000,-1
Editor11223344,User talk:Philip Trueman,1,3,Pornhub,0,0 days 00:03:10.000000000,-1
Editor11223344,Pornhub,0,4,Pornhub,0,0 days 00:01:24.000000000,18
Editor11223344,Pornhub,0,5,Pornhub,0,0 days 00:00:51.000000000,18
AshleyEN,User talk:Gingercoons,1,8,Wikipedia:Canada Education Program/Courses/The Rhetoric of Digital and Interactive Media Environments WI13 (Rhonda McEwen)/Students,1,0 days 00:02:27.000000000,-1
AshleyEN,Wikipedia:Canada Education Program/Courses/The Rhetoric of Digital and Interactive Media Environments WI13 (Rhonda McEwen)/Students,1,9,User:AshleyEN,1,0 days 00:00:59.000000000,-1
AshleyEN,User:AshleyEN,1,10,User:AshleyEN,1,0 days 00:53:36.000000000,-1
AshleyEN,User:AshleyEN,1,11,Talk:Smilodontini,1,0 days 00:39:10.000000000,-1
AshleyEN,Talk:Smilodontini,1,12,User:AshleyEN/sandbox,1,0 days 01:38:30.000000000,-1
AshleyEN,User:AshleyEN/sandbox,1,13,Wikipedia:Canada Education Program/Courses/The Rhetoric of Digital and Interactive Media Environments WI13 (Rhonda McEwen)/Students,1,0 days 00:04:47.000000000,-1
AshleyEN,Wikipedia:Canada Education Program/Courses/The Rhetoric of Digital and Interactive Media Environments WI13 (Rhonda McEwen)/Students,1,14,User:AshleyEN/sandbox,1,0 days 00:00:41.000000000,-1
AshleyEN,User:AshleyEN/sandbox,1,15,User:AshleyEN/sandbox,1,0 days 00:03:38.000000000,-1
AshleyEN,User:AshleyEN/sandbox,1,16,Eukanuba,0,0 days 00:01:45.000000000,-1
AshleyEN,Eukanuba,0,17,Talk:Eukanuba,1,0 days 00:03:09.000000000,0
Ehhetv,List of tallest buildings in the Baltic states,0,19,List of tallest buildings in the Baltic states,0,0 days 00:14:56.000000000,5
Ehhetv,List of tallest buildings in the Baltic states,0,20,Estonian Song Festival,0,2 days 05:03:00.000000000,0
Ehhetv,Estonian Song Festival,0,21,Baltic states,0,9 days 18:55:30.000000000,0
Ehhetv,Baltic states,0,22,Tallinn,0,35 days 05:16:11.000000000,3
Ehhetv,Tallinn,0,23,Baltic states,0,0 days 00:03:04.000000000,3
Ehhetv,Baltic states,0,24,Estonia,0,29 days 20:30:05.000000000,6
Ehhetv,Estonia,0,25,Estonia,0,0 days 00:05:22.000000000,38
Ehhetv,Estonia,0,26,Estonia,0,0 days 00:07:48.000000000,38
Ehhetv,Estonia,0,27,Tallinn,0,0 days 00:04:08.000000000,10
Ehhetv,Tallinn,0,28,Estonia,0,0 days 00:04:17.000000000,10
Ehhetv,Estonia,0,29,Tallinn,0,0 days 00:05:40.000000000,10
Ehhetv,Tallinn,0,30,Baltic states,0,11 days 01:37:42.000000000,3
Ehhetv,Baltic states,0,31,Baltic states,0,0 days 00:03:06.000000000,18
Ehhetv,Baltic states,0,32,Rocca al Mare Shopping Centre,0,4 days 22:09:45.000000000,1
Ehhetv,Rocca al Mare Shopping Centre,0,33,List of shopping malls in Estonia,0,0 days 00:05:27.000000000,1
Ehhetv,List of shopping malls in Estonia,0,34,Rocca al Mare Shopping Centre,0,0 days 00:03:40.000000000,1
Ehhetv,Rocca al Mare Shopping Centre,0,35,Rocca al Mare Shopping Centre,0,7 days 01:18:06.000000000,10
Ehhetv,Rocca al Mare Shopping Centre,0,36,Järve Centre,0,0 days 00:19:18.000000000,7
Ehhetv,Järve Centre,0,37,Foorum,0,0 days 00:29:18.000000000,6
Ehhetv,Foorum,0,38,Kristiine Centre,0,0 days 00:41:40.000000000,6
Ehhetv,Kristiine Centre,0,39,Estonians,0,8 days 23:54:31.000000000,1
Ehhetv,Estonians,0,40,Largest cities of the European Union by population within city limits,0,4 days 21:00:00.000000000,0
Ehhetv,Largest cities of the European Union by population within city limits,0,41,H&M,0,19 days 22:07:48.000000000,0
Ehhetv,H&M,0,42,Kristiine Centre,0,15 days 18:34:41.000000000,0
Ehhetv,Kristiine Centre,0,43,Uralic languages,0,12 days 13:00:10.000000000,0
Ehhetv,Uralic languages,0,44,Uralic languages,0,0 days 11:02:31.000000000,12
Ehhetv,Uralic languages,0,45,Baltic states,0,0 days 04:07:19.000000000,0
Ehhetv,Baltic states,0,46,List of cities in the Baltic states by population,0,0 days 00:07:51.000000000,0
Ehhetv,List of cities in the Baltic states by population,0,47,List of tallest buildings in the Baltic states,0,0 days 01:12:19.000000000,1
Ehhetv,List of tallest buildings in the Baltic states,0,48,List of tallest buildings in the Baltic states,0,0 days 00:03:20.000000000,5
Ehhetv,List of tallest buildings in the Baltic states,0,49,Stockholm,0,6 days 05:01:58.000000000,0
Ehhetv,Stockholm,0,50,Tallinn,0,4 days 00:10:20.000000000,10
Ehhetv,Tallinn,0,51,Tallinn,0,3 days 17:58:53.000000000,30
Ehhetv,Tallinn,0,52,H&M,0,22 days 22:45:01.000000000,1
Ehhetv,H&M,0,53,Midsummer,0,7 days 22:31:21.000000000,1
Ehhetv,Midsummer,0,54,St. Jude storm,0,5 days 09:55:02.000000000,1
Ehhetv,St. Jude storm,0,55,St. Jude storm,0,0 days 00:22:39.000000000,23
Ehhetv,St. Jude storm,0,56,Tallinn,0,3 days 19:13:18.000000000,2
Ehhetv,Tallinn,0,57,Baltic states,0,0 days 05:04:16.000000000,3
Ehhetv,Baltic states,0,58,Tallinn,0,0 days 00:07:31.000000000,3
Ehhetv,Tallinn,0,59,Tallinn,0,0 days 00:09:48.000000000,30
Ehhetv,Tallinn,0,60,Jürgen Zopp,0,1 days 21:35:57.000000000,0
Ehhetv,Jürgen Zopp,0,61,Muse (band),0,6 days 14:26:20.000000000,2
Ehhetv,Muse (band),0,62,Father's Day,0,0 days 02:39:26.000000000,2
Ehhetv,Father's Day,0,63,List of cities in the Baltic states by population,0,1 days 02:57:32.000000000,0
Ehhetv,List of cities in the Baltic states by population,0,64,Longest words,0,0 days 01:17:44.000000000,0
Ehhetv,Longest words,0,65,Longest words,0,0 days 00:13:56.000000000,19
Ehhetv,Longest words,0,66,Human Development Index,0,1 days 02:07:40.000000000,1
Ehhetv,Human Development Index,0,67,Andorra,0,0 days 00:03:26.000000000,1
Ehhetv,Andorra,0,68,Northern Europe,0,18 days 23:41:39.000000000,0
Ehhetv,Northern Europe,0,69,Northern Europe,0,0 days 00:03:56.000000000,3
Ehhetv,Northern Europe,0,70,Tallinn,0,1 days 00:51:44.000000000,0
Ehhetv,Tallinn,0,71,Baltic states,0,0 days 00:00:59.000000000,3
Ehhetv,Baltic states,0,72,Gingerbread,0,1 days 22:59:12.000000000,0
Ehhetv,Gingerbread,0,73,Tallinn,0,5 days 00:51:34.000000000,1
Ehhetv,Tallinn,0,74,Tallinn,0,0 days 00:00:52.000000000,30
Ehhetv,Tallinn,0,75,Tallinn,0,0 days 00:00:59.000000000,30
Ehhetv,Tallinn,0,76,Tallinn,0,5 days 22:03:34.000000000,30
Ehhetv,Tallinn,0,77,List of religious populations,0,8 days 05:34:18.000000000,1
Ehhetv,List of religious populations,0,78,List of religious populations,0,0 days 00:01:44.000000000,22
Ehhetv,List of religious populations,0,79,Religion in Estonia,0,0 days 00:05:15.000000000,0
Ehhetv,Religion in Estonia,0,80,List of religious populations,0,0 days 00:09:55.000000000,0
Ehhetv,List of religious populations,0,81,Uralic languages,0,1 days 18:06:05.000000000,0
Ehhetv,Uralic languages,0,82,Uralic languages,0,0 days 00:01:54.000000000,12
Ehhetv,Uralic languages,0,83,Uralic languages,0,0 days 00:02:28.000000000,12
Ehhetv,Uralic languages,0,84,Ural–Altaic languages,0,0 days 00:08:55.000000000,2
Ehhetv,Ural–Altaic languages,0,85,Ural–Altaic languages,0,12 days 00:45:55.000000000,11
Ehhetv,Ural–Altaic languages,0,86,Ural–Altaic languages,0,0 days 00:06:07.000000000,11
Ehhetv,Ural–Altaic languages,0,87,List of tallest buildings in the European Union,0,5 days 04:37:52.000000000,1
Ehhetv,List of tallest buildings in the European Union,0,88,List of tallest buildings in the Baltic states,0,0 days 00:22:00.000000000,0
Ehhetv,List of tallest buildings in the Baltic states,0,89,List of tallest buildings in the Baltic states,0,0 days 00:25:16.000000000,5
Ehhetv,List of tallest buildings in the Baltic states,0,90,Tallinn,0,4 days 20:41:28.000000000,0
Ehhetv,Tallinn,0,91,Tallinn,0,1 days 01:05:32.000000000,30
