username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
Swardwidow,Kevin Ware,0,0,Kevin Ware,0,0 days 00:08:45.000000000,7
Sobrkills,Loser (film),0,2,Loser (film),0,0 days 00:00:59.000000000,15
Sobrkills,Loser (film),0,3,Loser (film),0,0 days 00:01:46.000000000,15
Sobrkills,Loser (film),0,4,Loser (film),0,0 days 00:01:42.000000000,15
Sobrkills,Loser (film),0,5,Loser (film),0,0 days 00:01:56.000000000,15
Sobrkills,Loser (film),0,6,Loser (film),0,0 days 00:04:40.000000000,15
Sobrkills,Loser (film),0,7,Loser (film),0,0 days 00:02:42.000000000,15
Willybuumbuum,Hum (sound),0,9,Hum (sound),0,0 days 00:01:13.000000000,5
Willybuumbuum,Hum (sound),0,10,Hum (sound),0,0 days 00:03:07.000000000,5
Willybuumbuum,Hum (sound),0,11,Hum (sound),0,0 days 00:02:07.000000000,5
Trolooooooolo,Jean Ferris,0,13,Ferris Bueller's Day Off,0,0 days 00:01:07.000000000,0
Trolooooooolo,Ferris Bueller's Day Off,0,14,Ferris Bueller's Day Off,0,0 days 00:00:30.000000000,18
Trolooooooolo,Ferris Bueller's Day Off,0,15,Toby Turner,0,0 days 00:03:39.000000000,0
Trolooooooolo,Toby Turner,0,16,Mojang,0,0 days 00:01:17.000000000,0
Trolooooooolo,Mojang,0,17,Mojang,0,0 days 00:00:36.000000000,12
Trolooooooolo,Mojang,0,18,Editing,0,0 days 00:01:59.000000000,1
Trolooooooolo,Editing,0,19,Magic,0,0 days 00:00:50.000000000,0
Franksmith229,User talk:Franksmith229,1,21,San Martín Texmelucan de Labastida,0,0 days 00:01:48.000000000,-1
Franksmith229,San Martín Texmelucan de Labastida,0,22,San Martín Texmelucan de Labastida,0,0 days 00:01:46.000000000,8
Franksmith229,San Martín Texmelucan de Labastida,0,23,Zachary Taylor,0,0 days 00:04:05.000000000,0
Franksmith229,Zachary Taylor,0,24,Chandler Preparatory Academy,0,0 days 00:04:13.000000000,0
Franksmith229,Chandler Preparatory Academy,0,25,Chandler Preparatory Academy,0,0 days 00:02:58.000000000,6
Franksmith229,Chandler Preparatory Academy,0,26,Chandler Preparatory Academy,0,0 days 00:02:04.000000000,6
Franksmith229,Chandler Preparatory Academy,0,27,Chandler Preparatory Academy,0,0 days 00:02:28.000000000,6
Franksmith229,Chandler Preparatory Academy,0,28,Electric guitar,0,3 days 06:01:43.000000000,0
Franksmith229,Electric guitar,0,29,Electric guitar,0,0 days 00:02:42.000000000,15
