username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus
Lvansteenvoort,Frederick Augustus Muhlenberg,0,0,Frederick Augustus Muhlenberg,0,7 days 19:47:20.000000000,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,1,Frederick Augustus Muhlenberg,0,0 days 00:16:27.000000000,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,2,"Reading, Pennsylvania",0,0 days 01:52:41.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,"Reading, Pennsylvania",0,3,Muhlenberg Brothers,0,0 days 00:08:33.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Muhlenberg Brothers,0,4,Muhlenberg Brothers,0,0 days 00:03:12.000000000,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Muhlenberg Brothers,0,5,Muhlenberg Brothers,0,0 days 00:10:07.000000000,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Lvansteenvoort,Muhlenberg Brothers,0,6,George Baer Hiester,0,0 days 00:02:08.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,George Baer Hiester,0,7,George Baer Hiester,0,0 days 00:03:24.000000000,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lvansteenvoort,George Baer Hiester,0,8,"Berks County, Pennsylvania",0,0 days 00:10:57.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,"Berks County, Pennsylvania",0,9,Frederick Augustus Muhlenberg,0,0 days 00:03:37.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,10,User talk:BoringHistoryGuy,1,0 days 00:06:58.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,User talk:BoringHistoryGuy,1,11,Talk:Muhlenberg Brothers,1,0 days 00:04:07.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Talk:Muhlenberg Brothers,1,12,Muhlenberg Brothers,0,0 days 00:52:34.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Muhlenberg Brothers,0,13,Frederick Augustus Muhlenberg,0,2 days 20:19:33.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,14,Frederick Augustus Muhlenberg,0,0 days 00:07:18.000000000,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,15,User:Lvansteenvoort,1,0 days 00:15:33.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,User:Lvansteenvoort,1,16,User:Lvansteenvoort,1,0 days 00:00:18.000000000,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,User:Lvansteenvoort,1,17,User:Lvansteenvoort/Berks Heim,1,0 days 00:25:40.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,User:Lvansteenvoort/Berks Heim,1,18,George Baer Hiester,0,0 days 01:37:51.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,George Baer Hiester,0,19,Frederick Augustus Muhlenberg,0,0 days 01:42:37.000000000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,20,File:Muhlenberg Greene Architects Logo.png,1,10 days 20:25:42.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,File:Muhlenberg Greene Architects Logo.png,1,21,File:Muhlenberg Greene Architects Logo.png,1,0 days 00:08:59.000000000,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,File:Muhlenberg Greene Architects Logo.png,1,22,Perkins and Will,0,0 days 00:04:11.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Perkins and Will,0,23,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:19:45.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,24,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:02:39.000000000,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,25,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:01:23.000000000,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,26,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:02:43.000000000,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,27,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:01:04.000000000,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,28,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:05:42.000000000,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,29,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:47:45.000000000,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,30,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:22:57.000000000,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,31,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:19:27.000000000,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,32,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:00:18.000000000,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,33,Frederick Augustus Muhlenberg,0,0 days 00:12:57.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Augustus Muhlenberg,0,34,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:00:39.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,35,Talk:Muhlenberg Brothers,1,0 days 00:07:14.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Talk:Muhlenberg Brothers,1,36,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,0 days 00:27:39.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,1,37,Frederick Muhlenberg (disambiguation),0,0 days 00:03:04.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lvansteenvoort,Frederick Muhlenberg (disambiguation),0,38,Frederick Muhlenberg (disambiguation),0,0 days 00:01:26.000000000,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
