username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus
Irandisk,User talk:Irandisk,1,0,User talk:Irandisk,1,0 days 00:57:44.000000000,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Irandisk,User talk:Irandisk,1,1,User talk:Irandisk,1,5 days 20:29:43.000000000,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,3,Michael Young (baseball),0,0 days 00:03:04.000000000,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,4,Michael Young (baseball),0,0 days 00:05:34.000000000,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,5,Michael Young (baseball),0,0 days 00:04:33.000000000,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,6,Michael Young (baseball),0,0 days 00:04:00.000000000,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,7,Michael Young (baseball),0,0 days 00:05:11.000000000,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,8,Manny Ramirez,0,0 days 00:09:48.000000000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Manny Ramirez,0,9,Manny Ramirez,0,0 days 00:03:38.000000000,47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Manny Ramirez,0,10,Lance Berkman,0,0 days 00:08:38.000000000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Lance Berkman,0,11,Lance Berkman,0,0 days 00:07:34.000000000,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Lance Berkman,0,12,Michael Young (baseball),0,0 days 06:06:29.000000000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,13,Michael Young (baseball),0,0 days 00:46:05.000000000,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,14,Michael Young (baseball),0,0 days 01:12:59.000000000,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,15,Michael Young (baseball),0,0 days 00:02:37.000000000,26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ronni3rockstar,Michael Young (baseball),0,16,Manny Ramirez,0,0 days 01:17:29.000000000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Manny Ramirez,0,17,Aces & Eights,0,0 days 00:11:25.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Aces & Eights,0,18,Aaron Hernandez,0,0 days 01:58:47.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Aaron Hernandez,0,19,Manny Ramirez,0,0 days 00:05:06.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronni3rockstar,Manny Ramirez,0,20,Aaron Hernandez,0,0 days 00:01:59.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SnottyGomez,Ilya Kovalchuk,0,22,Ilya Kovalchuk,0,0 days 01:15:09.000000000,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SnottyGomez,Ilya Kovalchuk,0,23,Ilya Kovalchuk,0,0 days 00:18:44.000000000,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SnottyGomez,Ilya Kovalchuk,0,24,Ilya Kovalchuk,0,0 days 00:10:25.000000000,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Iamanawesometaco,Sidekick,0,26,Sidekick,0,0 days 00:23:21.000000000,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Iamanawesometaco,Sidekick,0,27,Sidekick,0,0 days 07:15:27.000000000,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Iamanawesometaco,Sidekick,0,28,Sidekick,0,0 days 00:02:17.000000000,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wiki8613,Poonam Pandey,0,30,Arabtec,0,0 days 00:06:18.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiki8613,Arabtec,0,31,Arabtec,0,0 days 00:11:59.000000000,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Wiki8613,Arabtec,0,32,Mohamed Alabbar,0,0 days 00:11:13.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiki8613,Mohamed Alabbar,0,33,B. R. Shetty,0,0 days 00:11:58.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiki8613,B. R. Shetty,0,34,Abu Dhabi Indian School,0,0 days 01:26:18.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiki8613,Abu Dhabi Indian School,0,35,Mukesh Ambani,0,0 days 00:06:27.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiki8613,Mukesh Ambani,0,36,Nita Ambani,0,0 days 00:07:43.000000000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sermoyboy1996,T.I.,0,38,ASAP Rocky,0,0 days 00:05:23.000000000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sermoyboy1996,ASAP Rocky,0,39,Long. Live. ASAP,0,0 days 00:04:28.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sermoyboy1996,Long. Live. ASAP,0,40,Birdman discography,0,0 days 00:08:51.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sermoyboy1996,Birdman discography,0,41,Stay Trippy,0,1 days 15:19:59.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sermoyboy1996,Stay Trippy,0,42,Stay Trippy,0,0 days 00:05:23.000000000,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
