username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Swiftscw,4.348,0.000,4.348,13.043,13.043,13.043,4.348,0.000,8.696,39.130,0.000,1,23,0
Azkle,0.000,0.000,0.000,14.286,0.000,14.286,0.000,0.000,0.000,28.571,7.143,1,14,0
Tgrosinger,1.370,1.370,0.000,1.370,0.000,9.589,4.110,0.000,2.740,10.959,4.110,0,73,0
BanglarBogra,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,1,2,0
Tiny Trot,0.000,0.000,33.333,8.333,0.000,16.667,25.000,0.000,33.333,25.000,0.000,0,12,0
Spaceman Spiff Jr.,0.000,0.000,42.857,0.000,0.000,14.286,42.857,0.000,42.857,14.286,0.000,1,7,0
Naveenchand3,0.000,0.000,0.000,0.000,22.222,0.000,0.000,0.000,0.000,22.222,0.000,0,9,0
Griff88,1.153,1.153,0.865,7.781,13.256,8.357,3.170,0.000,3.170,29.395,11.816,1,347,0
PJ Aranador,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,1,2,0
Mrkwillson,0.000,0.000,20.000,20.000,0.000,0.000,20.000,20.000,20.000,20.000,0.000,1,5,0
Dr Simon Allard,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0
DilbertReality,0.000,0.000,0.000,11.688,24.675,20.779,9.091,0.000,0.000,57.143,15.584,0,77,0
Velona,25.000,8.333,66.667,0.000,0.000,0.000,58.333,0.000,100.000,0.000,0.000,1,12,0
Moviebharat,25.000,0.000,12.500,0.000,0.000,25.000,12.500,0.000,37.500,25.000,0.000,1,8,0
Aferghes,7.692,46.154,7.692,0.000,0.000,0.000,0.000,0.000,61.538,0.000,0.000,1,13,0
Laurenwking,1.282,11.538,7.692,15.385,6.410,19.231,19.231,0.000,20.513,41.026,0.000,1,78,0
Kpprodduturi,0.000,0.000,0.000,0.000,0.000,40.000,20.000,0.000,0.000,40.000,0.000,0,5,0
David CMT,10.169,13.559,3.390,6.780,15.254,3.390,1.695,0.000,27.119,25.424,3.390,1,59,0
PurpleMesa,1.639,0.000,13.115,8.197,0.000,11.475,18.033,0.000,14.754,19.672,3.279,1,61,0
ViaJFK,0.000,0.000,0.000,9.091,9.091,0.000,0.000,0.000,0.000,18.182,0.000,0,11,0
Jjj1238,0.401,0.000,1.002,1.804,1.603,16.433,10.020,4.609,1.403,19.840,19.238,1,499,0
Rezaeeali,33.333,55.556,11.111,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,1,9,0
Kingbub,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,2,0
