username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Alex12rocks,0.000,0.000,0.000,0.000,0.000,100.000,83.333,0.000,0.000,100.000,0.000,0,6,1
Keana01,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000,33.333,0.000,0,3,1
RevengeOfBHS,0.000,0.000,0.000,33.333,16.667,16.667,0.000,0.000,0.000,66.667,0.000,0,6,1
Sultymcbuttsex,0.000,0.000,0.000,0.000,0.000,100.000,50.000,0.000,0.000,100.000,0.000,0,2,1
Iarockguy,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,100.000,0.000,0,1,1
Boyboy13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,4,1
Peterwardle,0.000,0.000,0.000,25.000,0.000,75.000,50.000,0.000,0.000,100.000,0.000,0,4,1
RaidOtter,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0,3,1
Sje711,0.000,0.000,0.000,33.333,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0,3,1
Gordie1,0.000,0.000,0.000,40.000,0.000,40.000,40.000,0.000,0.000,80.000,0.000,0,10,1
Bucky12345,0.000,0.000,0.000,0.000,50.000,50.000,0.000,0.000,0.000,100.000,0.000,0,2,1
Troller3000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,2,1
Johnny89detroit,0.000,0.000,40.000,0.000,0.000,0.000,40.000,0.000,40.000,0.000,0.000,1,5,1
Kierankane1,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,100.000,0.000,0,1,1
I like trains9001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,1
TheWikiPikey,0.000,0.000,22.222,0.000,0.000,16.667,33.333,0.000,22.222,16.667,0.000,0,18,1
Aarontylerburrows,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,50.000,0.000,0,2,1
Poopismylove,0.000,0.000,0.000,0.000,0.000,100.000,80.000,0.000,0.000,100.000,0.000,0,5,1
Scallions1999,0.000,0.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,16.667,0.000,0,6,1
SPSpyro,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000,33.333,0.000,0,3,1
Bobtrolley,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,1
Zjslayer,0.000,0.000,0.000,0.000,20.000,60.000,40.000,0.000,0.000,80.000,0.000,0,5,1
Slesv,0.000,0.000,0.000,0.000,0.000,57.143,57.143,0.000,0.000,57.143,0.000,0,7,1
Bagel.potato.waffle,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0,2,1
Man1234567,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0,1,1
Ashman741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,4,1
Treyno1,0.000,0.000,0.000,50.000,0.000,0.000,16.667,0.000,0.000,66.667,0.000,0,6,1
Wiki x King,0.000,0.000,0.000,22.222,11.111,44.444,22.222,0.000,0.000,77.778,0.000,0,9,1
PayMeMyMoneyOwed,0.000,0.000,0.000,50.000,25.000,25.000,25.000,0.000,0.000,100.000,0.000,0,4,1
Notebooktheif,0.000,0.000,0.000,0.000,0.000,10.000,10.000,0.000,0.000,10.000,0.000,1,10,1
Faggetsd,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,100.000,0.000,0,1,1
Delmago1,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,20.000,0.000,0,5,1
Drilldo69,0.000,0.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,100.000,0.000,0,2,1
Kendude236,0.000,0.000,0.000,0.000,0.000,100.000,50.000,0.000,0.000,100.000,0.000,0,2,1
Hgvhghg,0.000,0.000,0.000,0.000,0.000,66.667,66.667,0.000,0.000,66.667,0.000,0,3,1
Drloosen2011,0.000,0.000,0.000,0.000,0.000,54.545,45.455,0.000,0.000,54.545,0.000,0,11,1
Billybobboy,0.000,0.000,0.000,0.000,0.000,66.667,50.000,0.000,0.000,66.667,0.000,0,6,1
Chese mikey,0.000,0.000,0.000,33.333,0.000,66.667,66.667,0.000,0.000,100.000,0.000,0,3,1
Poopnuke,0.000,0.000,0.000,0.000,14.286,0.000,0.000,0.000,0.000,14.286,0.000,0,7,1
Bluegenerate,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,100.000,0.000,0,1,1
Jezzy68r,21.429,14.286,28.571,0.000,0.000,0.000,28.571,0.000,64.286,0.000,0.000,1,14,1
Jjjjjjgfhsdjhtduh,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,100.000,0.000,0,1,1
Wasahobo,0.000,0.000,0.000,55.556,22.222,11.111,0.000,0.000,0.000,88.889,0.000,1,9,1
Creedplus1,0.000,0.000,0.000,11.111,88.889,0.000,0.000,0.000,0.000,100.000,0.000,0,9,1
WikiUser44,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,1
Le lemon key face,0.000,0.000,100.000,0.000,0.000,0.000,75.000,0.000,100.000,0.000,0.000,1,4,1
AdrianChilesxxx,0.000,0.000,0.000,66.667,0.000,33.333,33.333,0.000,0.000,100.000,0.000,0,6,1
A random noob,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0,5,1
Ggg2013,0.000,0.000,0.000,0.000,20.000,40.000,20.000,0.000,0.000,60.000,0.000,0,5,1
Erasmusdapimpin,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,2,1
