username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Unlabled,0.0,0.0,14.286,0.0,7.143,7.143,7.143,0.0,14.286,14.286,0.0,1,14,0
Stormyr3,0.0,0.0,0.0,12.5,0.0,25.0,12.5,0.0,0.0,37.5,0.0,0,8,0
Avion365,10.811,24.324,16.215999999999998,0.0,0.0,0.0,2.7030000000000003,0.0,51.351000000000006,0.0,0.0,1,37,0
Letdamusikplay,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1,4,0
Wes 4716,0.0,0.0,4.167,8.333,16.667,20.833000000000002,16.667,0.0,4.167,45.833,20.833000000000002,0,24,0
Requestverifaction,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0,4,0
EditorOfPi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Mattsciandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Ftzs09,0.0,0.0,0.0,13.636,9.091000000000001,40.909,31.818,0.0,0.0,63.636,0.0,0,22,0
HAMINGLY,0.0,0.0,14.286,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0,7,0
Peacethun,0.0,0.0,20.0,0.0,6.667000000000001,33.333,33.333,0.0,20.0,40.0,0.0,1,15,0
KIDDxALEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,4,0
Tvalarm,66.667,33.333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,3,0
Manhattan430,11.110999999999999,33.333,22.221999999999998,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,1,9,0
Jimmyzhu123,10.714,14.286,7.143,10.714,3.571,28.570999999999998,28.570999999999998,0.0,32.143,42.857,0.0,0,28,0
Andre-CCT,12.120999999999999,9.091000000000001,15.152000000000001,0.0,3.03,18.182000000000002,24.241999999999997,0.0,36.364000000000004,21.212,0.0,1,33,0
BenjaminSellards,33.333,0.0,66.667,0.0,0.0,0.0,66.667,0.0,100.0,0.0,0.0,1,3,0
DanielSee2000,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,33.333,0.0,1,3,0
Tree19,0.0,7.143,0.0,0.0,0.0,0.0,0.0,7.143,7.143,0.0,0.0,1,14,0
Menalkhan92,10.0,20.0,20.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,1,10,0
Irving Lerner,0.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,66.667,0.0,1,3,0
BobbyJohnsonWorld,0.0,20.0,60.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,1,5,0
Xodabandehbackup14,10.526,5.263,42.105,0.0,0.0,0.0,36.842,0.0,57.895,0.0,0.0,1,19,0
Samplumm,0.0,1.818,10.909,16.364,5.455,32.727,30.909000000000002,0.0,12.727,54.545,7.273,0,55,0
Hhwuniverse,0.0,20.0,60.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,1,5,0
Inspiring Art,41.667,16.667,25.0,0.0,0.0,0.0,8.333,0.0,83.333,0.0,0.0,1,12,0
Don krapohl,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,1,3,0
Mhoward28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,2,0
Raheem shaker,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,1,3,0
LiveRail,6.627000000000001,11.446,4.819,6.024,3.012,6.024,3.012,0.0,22.892,15.06,8.434,1,166,0
NigelFontaine,4.615,7.692,24.615,6.154,9.231,1.538,20.0,0.0,36.923,16.923,0.0,1,65,0
Saify Ahmed,0.0,0.0,0.0,0.0,0.0,27.273000000000003,9.091000000000001,0.0,0.0,27.273000000000003,0.0,0,11,0
