username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Swiftscw,4.348,0.0,4.348,13.043,13.043,13.043,4.348,0.0,8.696,39.13,0.0,1,23,0
Azkle,0.0,0.0,0.0,14.286,0.0,14.286,0.0,0.0,0.0,28.570999999999998,7.143,1,14,0
Tgrosinger,1.37,1.37,0.0,1.37,0.0,9.589,4.11,0.0,2.74,10.959000000000001,4.11,0,73,0
BanglarBogra,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1,2,0
Tiny Trot,0.0,0.0,33.333,8.333,0.0,16.667,25.0,0.0,33.333,25.0,0.0,0,12,0
Spaceman Spiff Jr.,0.0,0.0,42.857,0.0,0.0,14.286,42.857,0.0,42.857,14.286,0.0,1,7,0
Naveenchand3,0.0,0.0,0.0,0.0,22.221999999999998,0.0,0.0,0.0,0.0,22.221999999999998,0.0,0,9,0
Griff88,1.153,1.153,0.865,7.781000000000001,13.255999999999998,8.357000000000001,3.17,0.0,3.17,29.395,11.815999999999999,1,347,0
PJ Aranador,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,2,0
Mrkwillson,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1,5,0
Dr Simon Allard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
DilbertReality,0.0,0.0,0.0,11.687999999999999,24.675,20.779,9.091000000000001,0.0,0.0,57.143,15.584000000000001,0,77,0
Velona,25.0,8.333,66.667,0.0,0.0,0.0,58.333,0.0,100.0,0.0,0.0,1,12,0
Moviebharat,25.0,0.0,12.5,0.0,0.0,25.0,12.5,0.0,37.5,25.0,0.0,1,8,0
Aferghes,7.692,46.153999999999996,7.692,0.0,0.0,0.0,0.0,0.0,61.538000000000004,0.0,0.0,1,13,0
Laurenwking,1.2819999999999998,11.538,7.692,15.385,6.41,19.230999999999998,19.230999999999998,0.0,20.513,41.026,0.0,1,78,0
Kpprodduturi,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,40.0,0.0,0,5,0
David CMT,10.169,13.559000000000001,3.39,6.78,15.254000000000001,3.39,1.695,0.0,27.119,25.424,3.39,1,59,0
PurpleMesa,1.639,0.0,13.115,8.197000000000001,0.0,11.475,18.033,0.0,14.754000000000001,19.672,3.279,1,61,0
ViaJFK,0.0,0.0,0.0,9.091000000000001,9.091000000000001,0.0,0.0,0.0,0.0,18.182000000000002,0.0,0,11,0
Jjj1238,0.401,0.0,1.002,1.804,1.6030000000000002,16.433,10.02,4.609,1.403,19.84,19.238,1,499,0
Rezaeeali,33.333,55.556000000000004,11.110999999999999,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,9,0
Kingbub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Sannybear,2.7030000000000003,1.8019999999999998,8.107999999999999,0.0,0.0,6.306,12.613,0.0,12.613,6.306,4.505,1,111,0
Cairn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
SkullOptics,10.0,0.0,80.0,0.0,0.0,0.0,70.0,0.0,90.0,0.0,0.0,1,10,0
Aisha Hamid,12.727,7.273,34.545,0.0,0.0,3.636,21.818,0.0,54.545,3.636,0.0,1,55,0
Articlar,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,1,3,0
Mongobongohongo,12.5,15.625,6.25,6.25,0.0,9.375,15.625,0.0,34.375,15.625,0.0,0,32,0
Tempo manic,30.435,4.348,52.174,0.0,0.0,0.0,43.478,0.0,86.95700000000001,0.0,0.0,1,23,0
Slimdoofy,11.110999999999999,22.221999999999998,22.221999999999998,0.0,0.0,0.0,0.0,0.0,55.556000000000004,0.0,0.0,1,9,0
Stiven2394,18.182000000000002,0.0,0.0,0.0,0.0,9.091000000000001,0.0,0.0,18.182000000000002,9.091000000000001,0.0,1,11,0
Ivy7blue,0.0,0.0,0.0,11.110999999999999,44.443999999999996,44.443999999999996,0.0,0.0,0.0,100.0,0.0,0,9,0
Teamdulwich,5.01,8.417,5.21,2.605,1.202,9.218,7.816,6.0120000000000005,18.637,13.026,13.225999999999999,1,499,0
