username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Swiftscw,1,0,1,1,1,1,1,0,1,1,0,1,23,0
Azkle,0,0,0,1,0,1,0,0,0,1,1,1,14,0
Tgrosinger,1,1,0,1,0,1,1,0,1,1,1,0,73,0
BanglarBogra,0,0,1,0,0,0,0,0,1,0,0,1,2,0
Tiny Trot,0,0,1,1,0,1,1,0,1,1,0,0,12,0
Spaceman Spiff Jr.,0,0,1,0,0,1,1,0,1,1,0,1,7,0
Naveenchand3,0,0,0,0,1,0,0,0,0,1,0,0,9,0
Griff88,1,1,1,1,1,1,1,0,1,1,1,1,347,0
PJ Aranador,1,0,0,0,0,0,0,0,1,0,0,1,2,0
Mrkwillson,0,0,1,1,0,0,1,1,1,1,0,1,5,0
Dr Simon Allard,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DilbertReality,0,0,0,1,1,1,1,0,0,1,1,0,77,0
Velona,1,1,1,0,0,0,1,0,1,0,0,1,12,0
Moviebharat,1,0,1,0,0,1,1,0,1,1,0,1,8,0
Aferghes,1,1,1,0,0,0,0,0,1,0,0,1,13,0
Laurenwking,1,1,1,1,1,1,1,0,1,1,0,1,78,0
Kpprodduturi,0,0,0,0,0,1,1,0,0,1,0,0,5,0
David CMT,1,1,1,1,1,1,1,0,1,1,1,1,59,0
PurpleMesa,1,0,1,1,0,1,1,0,1,1,1,1,61,0
ViaJFK,0,0,0,1,1,0,0,0,0,1,0,0,11,0
Jjj1238,1,0,1,1,1,1,1,1,1,1,1,1,499,0
Rezaeeali,1,1,1,0,0,0,0,0,1,0,0,1,9,0
Kingbub,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Sannybear,1,1,1,0,0,1,1,0,1,1,1,1,111,0
Cairn2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
SkullOptics,1,0,1,0,0,0,1,0,1,0,0,1,10,0
Aisha Hamid,1,1,1,0,0,1,1,0,1,1,0,1,55,0
Articlar,0,0,1,0,0,0,0,0,1,0,0,1,3,0
Mongobongohongo,1,1,1,1,0,1,1,0,1,1,0,0,32,0
Tempo manic,1,1,1,0,0,0,1,0,1,0,0,1,23,0
Slimdoofy,1,1,1,0,0,0,0,0,1,0,0,1,9,0
Stiven2394,1,0,0,0,0,1,0,0,1,1,0,1,11,0
Ivy7blue,0,0,0,1,1,1,0,0,0,1,0,0,9,0
Teamdulwich,1,1,1,1,1,1,1,1,1,1,1,1,499,0
Senale,0,0,1,0,0,0,1,0,1,0,0,1,9,0
Hellodough,1,1,1,1,1,1,1,0,1,1,0,1,42,0
PR2696,1,0,0,0,0,0,0,0,1,0,0,1,2,0
SteveAntosca,1,0,1,0,0,0,0,0,1,0,0,1,8,0
Nattamkar.farooqueahmed,1,1,1,0,0,0,1,0,1,0,0,1,10,0
Johncolbyjr,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Fie03,1,1,1,0,0,0,0,0,1,0,0,1,9,0
Wihliwatts,0,1,1,0,0,0,0,0,1,0,0,1,2,0
Mangai Vellingiri,0,0,0,1,1,1,1,0,0,1,1,0,44,0
Jeddo makawe,1,0,0,0,0,0,0,0,1,0,0,1,2,0
Flaviench,1,1,1,0,1,0,0,0,1,1,1,0,8,0
Rk195057,1,0,0,0,0,0,0,0,1,0,0,1,10,0
Cabledatasheet,1,1,1,0,0,1,1,0,1,1,0,1,17,0
Afzal jahangeer,0,1,0,0,0,0,0,0,1,0,0,0,2,0
ToothyMoose,0,0,0,0,0,0,0,0,0,0,0,1,3,0
JLM003,1,1,1,0,0,0,1,0,1,0,0,1,112,0
Harlowcc,1,1,1,0,0,0,1,0,1,0,0,1,9,0
Benescreve85,1,1,1,1,1,1,1,0,1,1,0,0,44,0
Misterpapageno,0,1,1,0,0,0,1,0,1,0,0,1,5,0
CD1975,1,1,1,0,0,0,0,0,1,0,0,1,4,0
Kinkyknikers,0,0,1,0,0,0,1,0,1,0,0,1,4,0
FunnyPika,1,1,1,1,0,1,1,1,1,1,1,1,499,0
