counter,crf_crv
0,1
19,1
44,1
68,1
69,1
70,1
72,1
92,1
103,1
107,1
109,1
110,1
111,1
112,1
114,1
134,1
135,1
136,1
144,1
146,1
169,1
171,1
174,1
175,1
176,1
177,1
178,1
179,1
199,1
200,1
201,1
206,1
213,1
214,1
218,1
226,1
231,1
232,1
260,1
266,1
269,1
277,1
279,1
280,1
283,1
284,1
286,1
289,1
298,1
299,1
300,1
301,1
308,1
310,1
311,1
313,1
314,1
319,1
320,1
321,1
324,1
332,1
333,1
341,1
348,1
352,1
359,1
424,1
463,1
469,1
488,1
537,1
554,1
555,1
556,1
561,1
562,1
563,1
564,1
565,1
573,1
574,1
575,1
576,1
608,1
621,1
630,1
646,1
647,1
648,1
649,1
656,1
690,1
721,1
736,1
755,1
773,1
781,1
790,1
791,1
792,1
793,1
802,1
803,1
817,1
841,1
842,1
846,1
847,1
848,1
867,1
868,1
870,1
881,1
885,1
886,1
887,1
888,1
890,1
892,1
897,1
898,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
911,1
926,1
927,1
928,1
942,1
945,1
946,1
947,1
950,1
951,1
952,1
953,1
955,1
958,1
962,1
994,1
1001,1
1008,1
1012,1
1021,1
1022,1
1043,1
1055,1
1056,1
1057,1
1058,1
1059,1
1062,1
1063,1
1082,1
1090,1
1091,1
1099,1
1100,1
1114,1
1120,1
1121,1
1126,1
1127,1
1128,1
1129,1
1131,1
1133,1
1136,1
1137,1
1155,1
1156,1
1160,1
1161,1
1162,1
1167,1
1176,1
1177,1
1179,1
1181,1
1182,1
1219,1
1220,1
1225,1
1226,1
1227,1
1228,1
1233,1
1234,1
1235,1
1238,1
1244,1
1261,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1294,1
1318,1
1319,1
1324,1
1348,1
1355,1
1358,1
1359,1
1360,1
1377,1
1384,1
1387,1
1388,1
1408,1
1421,1
1486,1
1488,1
1531,1
1532,1
1537,1
1538,1
1659,1
1721,1
1897,1
2058,1
2059,1
2060,1
2067,1
2068,1
2070,1
2074,1
2087,1
2088,1
2111,1
2125,1
2126,1
2127,1
2130,1
2136,1
2152,1
2153,1
2156,1
2157,1
2164,1
2166,1
2169,1
2180,1
2181,1
2188,1
2194,1
2195,1
2196,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,1
2215,1
2216,1
2239,1
2244,1
2245,1
2251,1
2260,1
2268,1
2273,1
2274,1
2275,1
2276,1
2292,1
2293,1
2302,1
2303,1
2308,1
2309,1
2315,1
2316,1
2317,1
2324,1
2325,1
2326,1
2340,1
2341,1
2343,1
2344,1
2361,1
2362,1
2363,1
2364,1
2365,1
2371,1
2372,1
2373,1
2374,1
2378,1
2379,1
2395,1
2402,1
2440,1
2523,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,1
2551,1
2552,1
2553,1
2556,1
2557,1
2559,1
2567,1
2568,1
2569,1
2578,1
2579,1
2586,1
2587,1
2588,1
2589,1
2590,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2633,1
2658,1
2665,1
2666,1
2668,1
2669,1
2674,1
2675,1
2701,1
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2718,1
2719,1
2734,1
2747,1
2751,1
2759,1
2760,1
2761,1
2770,1
2771,1
2773,1
2774,1
2775,1
2781,1
2782,1
2784,1
2785,1
2789,1
2790,1
2792,1
2793,1
2794,1
2795,1
2800,1
2803,1
2822,1
2823,1
2826,1
2827,1
2830,1
2837,1
2847,1
2848,1
2858,1
2859,1
2861,1
2862,1
2863,1
2866,1
2867,1
2868,1
2872,1
2873,1
2874,1
2876,1
2880,1
2883,1
2884,1
2885,1
2890,1
2908,1
2924,1
2936,1
2939,1
2942,1
2945,1
3419,1
3459,1
3473,1
3476,1
3477,1
3478,1
3481,1
3482,1
3483,1
3489,1
3498,1
3504,1
3506,1
3507,1
3508,1
3513,1
3516,1
3527,1
3538,1
3542,1
3556,1
3569,1
3583,1
3584,1
3598,1
3599,1
3602,1
3605,1
3608,1
3609,1
3626,1
3635,1
3636,1
3637,1
3638,1
3649,1
3650,1
3651,1
3665,1
3670,1
3683,1
3698,1
3720,1
3721,1
3725,1
3726,1
3776,1
3798,1
3809,1
3816,1
3828,1
3829,1
3838,1
3839,1
3845,1
3853,1
3854,1
3857,1
3861,1
3862,1
3863,1
3864,1
3867,1
3885,1
3912,1
3967,1
3968,1
3986,1
3987,1
4000,1
4016,1
4018,1
4020,1
4021,1
4023,1
4025,1
4026,1
4027,1
4028,1
4034,1
4042,1
4043,1
4058,1
4071,1
4073,1
4074,1
4098,1
4132,1
4154,1
4161,1
4165,1
4170,1
4179,1
4240,1
4270,1
4277,1
4341,1
4350,1
4356,1
4388,1
4389,1
4396,1
4397,1
4404,1
4405,1
4446,1
4450,1
4466,1
4471,1
4493,1
4526,1
4529,1
4535,1
4553,1
4558,1
4567,1
4619,1
4623,1
4645,1
4651,1
4667,1
4670,1
4695,1
4712,1
4723,1
4724,1
4725,1
4726,1
4727,1
4765,1
4795,1
4796,1
4802,1
4803,1
4812,1
4827,1
4851,1
4865,1
4866,1
4867,1
4874,1
4880,1
4888,1
4889,1
4896,1
4903,1
4904,1
4916,1
4917,1
4927,1
4928,1
4929,1
4930,1
4931,1
4932,1
4933,1
4935,1
4936,1
4944,1
4953,1
4959,1
4961,1
4971,1
4973,1
4974,1
4995,1
4996,1
5003,1
5006,1
5007,1
5014,1
5029,1
5033,1
5034,1
5036,1
5041,1
5042,1
5043,1
5045,1
5047,1
5048,1
5050,1
5051,1
5052,1
5053,1
5054,1
5061,1
5062,1
5068,1
5069,1
5070,1
5072,1
5074,1
5075,1
5085,1
5086,1
5096,1
5097,1
5116,1
5117,1
5126,1
5129,1
5135,1
5140,1
5141,1
5142,1
5143,1
5144,1
5145,1
5146,1
5147,1
5148,1
5149,1
5150,1
5151,1
5152,1
5153,1
5154,1
5156,1
5157,1
5158,1
5159,1
5161,1
5162,1
5164,1
5165,1
5166,1
5167,1
5168,1
5169,1
5170,1
5171,1
5172,1
5173,1
5174,1
5177,1
5178,1
5179,1
5180,1
5181,1
5183,1
5184,1
5185,1
5186,1
5190,1
5191,1
5192,1
5193,1
5195,1
5196,1
5197,1
5198,1
5201,1
5202,1
5203,1
5204,1
5206,1
5209,1
5210,1
5211,1
5212,1
5213,1
5215,1
5216,1
5217,1
5218,1
5222,1
5224,1
5225,1
5226,1
5228,1
5231,1
5232,1
5233,1
5234,1
5236,1
5237,1
5238,1
5239,1
5240,1
5241,1
5242,1
5243,1
5244,1
5245,1
5246,1
5247,1
5248,1
5249,1
5250,1
5251,1
5252,1
5253,1
5254,1
5255,1
5256,1
5257,1
5258,1
5259,1
5260,1
5261,1
5262,1
5263,1
5264,1
5265,1
5266,1
5267,1
5268,1
5269,1
5270,1
5271,1
5290,1
5296,1
5297,1
5301,1
5317,1
5318,1
5319,1
5324,1
5328,1
5334,1
5346,1
5350,1
5379,1
5380,1
5387,1
5404,1
5416,1
5421,1
5422,1
5424,1
5425,1
5426,1
5427,1
5429,1
5455,1
5466,1
5467,1
5468,1
5504,1
5505,1
5506,1
5511,1
5513,1
5514,1
5530,1
5534,1
5536,1
5539,1
5541,1
5542,1
5543,1
5544,1
5547,1
5550,1
5553,1
5555,1
5592,1
5598,1
5611,1
5638,1
5669,1
5678,1
5694,1
5695,1
5696,1
5700,1
5702,1
5744,1
5761,1
5762,1
5763,1
5764,1
5765,1
5766,1
5767,1
5776,1
5782,1
5791,1
5792,1
5793,1
5799,1
5810,1
5811,1
5812,1
5818,1
5820,1
5821,1
5822,1
5823,1
5840,1
5844,1
5849,1
5860,1
5861,1
5862,1
5903,1
5904,1
5919,1
5926,1
5935,1
5936,1
5939,1
5941,1
5942,1
5943,1
5944,1
5945,1
5946,1
5947,1
5948,1
5949,1
5950,1
5953,1
5958,1
5959,1
5960,1
5962,1
5971,1
5972,1
5973,1
5974,1
5979,1
5987,1
5988,1
5989,1
5990,1
5991,1
5993,1
5994,1
5995,1
6008,1
6028,1
6030,1
6032,1
6045,1
6052,1
6069,1
6075,1
6080,1
6081,1
6087,1
6088,1
6089,1
6090,1
6092,1
6095,1
6102,1
6115,1
6120,1
6121,1
6123,1
6125,1
6126,1
6128,1
6129,1
6130,1
6137,1
6144,1
6146,1
6147,1
6148,1
6151,1
6154,1
6156,1
6157,1
6159,1
6161,1
6163,1
6167,1
6171,1
6172,1
6173,1
6174,1
6175,1
6176,1
6177,1
6178,1
6179,1
6181,1
6182,1
6183,1
6184,1
6185,1
6195,1
6197,1
6230,1
6231,1
6241,1
6242,1
6245,1
6246,1
6247,1
6248,1
6249,1
6250,1
6256,1
6265,1
6266,1
6267,1
6269,1
6270,1
6271,1
6275,1
6276,1
6277,1
6280,1
6282,1
6301,1
6302,1
6303,1
6306,1
6307,1
6309,1
6312,1
6313,1
6314,1
6318,1
6319,1
6320,1
6337,1
6363,1
6364,1
6400,1
6426,1
6427,1
6434,1
6435,1
6469,1
6484,1
6489,1
6490,1
6514,1
6527,1
6528,1
6537,1
6559,1
6560,1
6570,1
6579,1
6607,1
6614,1
6615,1
6627,1
6633,1
6656,1
6666,1
6667,1
6672,1
6673,1
6674,1
6677,1
6678,1
6690,1
6693,1
6694,1
6695,1
6696,1
6697,1
6700,1
6701,1
6702,1
6703,1
6704,1
6705,1
6707,1
6708,1
6709,1
6710,1
6711,1
6712,1
6713,1
6714,1
6716,1
6742,1
6758,1
6764,1
6777,1
6785,1
6791,1
6792,1
6804,1
6813,1
6817,1
6829,1
6830,1
6831,1
6855,1
6856,1
6857,1
6864,1
6865,1
6874,1
6895,1
6896,1
6897,1
6903,1
6904,1
6922,1
6943,1
6944,1
6947,1
6968,1
6983,1
6984,1
6994,1
6999,1
7000,1
7007,1
7057,1
7062,1
7069,1
7074,1
7106,1
7107,1
7116,1
7122,1
7123,1
7127,1
7136,1
7138,1
7139,1
7148,1
7149,1
7150,1
7185,1
7186,1
7200,1
7243,1
7248,1
7258,1
7271,1
7273,1
7274,1
7292,1
7294,1
7296,1
7297,1
7298,1
7300,1
7301,1
7302,1
7310,1
7328,1
7345,1
7346,1
7352,1
7353,1
7356,1
7361,1
7369,1
7377,1
7389,1
7393,1
7394,1
7395,1
7397,1
7401,1
7403,1
7404,1
7405,1
7415,1
7416,1
7418,1
7420,1
7423,1
7434,1
7437,1
7444,1
7445,1
7448,1
7451,1
7454,1
7475,1
7512,1
7513,1
7514,1
7515,1
7516,1
7517,1
7518,1
7519,1
7523,1
7554,1
7555,1
7558,1
7559,1
7560,1
7561,1
7563,1
7564,1
7565,1
7572,1
7573,1
7593,1
7594,1
7640,1
7646,1
7647,1
7670,1
7671,1
7672,1
7675,1
7676,1
7680,1
7681,1
7684,1
7711,1
7712,1
7720,1
7727,1
7751,1
7761,1
7767,1
7768,1
7771,1
7773,1
7802,1
7805,1
7811,1
7818,1
7819,1
7838,1
7841,1
7850,1
7851,1
7853,1
7854,1
7855,1
7856,1
7857,1
7858,1
7859,1
7860,1
7861,1
7865,1
7866,1
7878,1
7884,1
7886,1
7887,1
7892,1
7893,1
7894,1
7895,1
7899,1
7902,1
7903,1
7904,1
7905,1
7906,1
7907,1
7908,1
7912,1
7913,1
7926,1
7927,1
7946,1
7950,1
7961,1
7977,1
7978,1
7982,1
7983,1
8002,1
8004,1
8008,1
8009,1
8010,1
8011,1
8012,1
8018,1
8030,1
8032,1
8034,1
8045,1
8046,1
8052,1
8053,1
8054,1
8055,1
8056,1
8075,1
8081,1
8091,1
8094,1
8097,1
8102,1
8127,1
8128,1
8129,1
8130,1
8131,1
8146,1
8158,1
8173,1
8182,1
8188,1
8189,1
8192,1
8194,1
8195,1
8196,1
8199,1
8200,1
8202,1
8203,1
8241,1
8251,1
8252,1
8253,1
8254,1
8267,1
8272,1
8273,1
8275,1
8276,1
8288,1
8289,1
8306,1
8309,1
8310,1
8311,1
8313,1
8314,1
8317,1
8318,1
8320,1
8321,1
8322,1
8323,1
8324,1
8325,1
8326,1
8327,1
8328,1
8329,1
8330,1
8331,1
8332,1
8333,1
8334,1
8335,1
8336,1
8337,1
8338,1
8339,1
8340,1
8341,1
8342,1
8343,1
8344,1
8345,1
8346,1
8347,1
8348,1
8349,1
8350,1
8351,1
8352,1
8353,1
8354,1
8355,1
8356,1
8357,1
8358,1
8359,1
8360,1
8362,1
8363,1
8365,1
8367,1
8368,1
8369,1
8370,1
8371,1
8372,1
8395,1
8408,1
8423,1
8424,1
8476,1
8477,1
8478,1
8479,1
8500,1
8501,1
8527,1
8531,1
8547,1
8550,1
8551,1
8563,1
8568,1
8574,1
8575,1
8576,1
8577,1
8578,1
8579,1
8584,1
8585,1
8586,1
8587,1
8588,1
8589,1
8592,1
8618,1
8619,1
8620,1
8621,1
8624,1
8625,1
8629,1
8630,1
8635,1
8636,1
8647,1
8658,1
8662,1
8680,1
8696,1
8751,1
8765,1
8776,1
8777,1
8822,1
8824,1
8826,1
8844,1
8849,1
8850,1
8871,1
8872,1
8884,1
8891,1
8892,1
8905,1
8915,1
8933,1
8952,1
8953,1
8958,1
8967,1
8996,1
8997,1
8998,1
9000,1
9057,1
9068,1
9081,1
9084,1
9096,1
9097,1
9098,1
9099,1
9100,1
9103,1
9104,1
9105,1
9106,1
9107,1
9108,1
9115,1
9148,1
9163,1
9164,1
9188,1
9189,1
9215,1
9216,1
9217,1
9220,1
9221,1
9225,1
9238,1
9245,1
9246,1
9249,1
9252,1
9253,1
9255,1
9256,1
9257,1
9258,1
9259,1
9260,1
9262,1
9263,1
9266,1
9267,1
9268,1
9270,1
9271,1
9272,1
9273,1
9277,1
9279,1
9280,1
9281,1
9282,1
9283,1
9285,1
9286,1
9288,1
9289,1
9290,1
9291,1
9292,1
9293,1
9294,1
9295,1
9296,1
9297,1
9298,1
9304,1
9309,1
9310,1
9313,1
9323,1
9324,1
9326,1
9327,1
9328,1
9329,1
9330,1
9333,1
9335,1
9337,1
9339,1
9340,1
9341,1
9342,1
9343,1
9344,1
9345,1
9346,1
9347,1
9348,1
9349,1
9350,1
9351,1
9352,1
9353,1
9355,1
9356,1
9357,1
9358,1
9359,1
9360,1
9364,1
9365,1
9366,1
9367,1
9368,1
9371,1
9374,1
9375,1
9376,1
9384,1
9385,1
9390,1
9391,1
9392,1
9394,1
9395,1
9396,1
9397,1
9398,1
9400,1
9401,1
9402,1
9406,1
9407,1
9408,1
9410,1
9419,1
9420,1
9425,1
9426,1
9427,1
9428,1
9430,1
9431,1
9432,1
9433,1
9434,1
9435,1
9438,1
9441,1
9442,1
9443,1
9444,1
9445,1
9446,1
9447,1
9448,1
9450,1
9451,1
9452,1
9454,1
9455,1
9457,1
9460,1
9461,1
9462,1
9463,1
9467,1
9474,1
9988,1
9989,1
9994,1
10008,1
10059,1
10125,1
10152,1
10153,1
10156,1
10160,1
10161,1
10162,1
10174,1
10175,1
10176,1
10192,1
10193,1
10194,1
10195,1
10233,1
10236,1
10263,1
10264,1
10294,1
10303,1
10305,1
10306,1
10340,1
10346,1
10347,1
10349,1
10373,1
10374,1
10398,1
10399,1
10424,1
10425,1
10429,1
10436,1
10447,1
10451,1
10453,1
10454,1
10457,1
10458,1
10459,1
10460,1
10463,1
10464,1
10465,1
10466,1
10467,1
10468,1
10469,1
10470,1
10471,1
10515,1
10519,1
10619,1
10625,1
10673,1
10676,1
10678,1
10723,1
10728,1
10729,1
10733,1
10756,1
10836,1
10839,1
10852,1
10861,1
10862,1
10867,1
10868,1
10870,1
10905,1
10906,1
10914,1
10934,1
10935,1
10961,1
10962,1
10963,1
10964,1
10965,1
10966,1
10970,1
11015,1
11017,1
11034,1
11036,1
11053,1
11054,1
11065,1
11066,1
11084,1
11085,1
11086,1
11107,1
11123,1
11132,1
11136,1
11137,1
11140,1
11145,1
11157,1
11176,1
11192,1
11193,1
11194,1
11208,1
11213,1
11218,1
11219,1
11228,1
11233,1
11241,1
11245,1
11249,1
11283,1
11286,1
11287,1
11291,1
11302,1
11303,1
11307,1
11310,1
11359,1
11364,1
11369,1
11378,1
11416,1
11430,1
11435,1
11470,1
11480,1
11483,1
11496,1
11497,1
11517,1
11522,1
11571,1
11596,1
11599,1
11606,1
11609,1
11614,1
11618,1
11646,1
11647,1
11656,1
11657,1
11661,1
11667,1
11669,1
11674,1
11677,1
11678,1
11683,1
11688,1
11689,1
11690,1
11692,1
11693,1
11699,1
11700,1
11702,1
11706,1
11707,1
11708,1
11710,1
11711,1
11712,1
11715,1
11744,1
11752,1
11754,1
11770,1
11774,1
11787,1
11799,1
11802,1
11804,1
11805,1
11806,1
11807,1
11810,1
11825,1
11826,1
11834,1
11837,1
11838,1
11841,1
11847,1
11848,1
11849,1
11850,1
11853,1
11854,1
11855,1
11856,1
11882,1
11894,1
11902,1
11906,1
11907,1
11969,1
12056,1
12064,1
12069,1
12079,1
12082,1
12083,1
12084,1
12086,1
12087,1
12088,1
12090,1
12092,1
12093,1
12094,1
12098,1
12102,1
12108,1
12109,1
12110,1
12112,1
12113,1
12114,1
12115,1
12118,1
12119,1
12124,1
12129,1
12132,1
12133,1
12137,1
12138,1
12141,1
12143,1
12145,1
12180,1
12182,1
12191,1
12192,1
12193,1
12198,1
12199,1
12200,1
12201,1
12202,1
12206,1
12224,1
12225,1
12226,1
12228,1
12230,1
12231,1
12233,1
12246,1
12247,1
12250,1
12251,1
12255,1
12257,1
12259,1
12260,1
12261,1
12263,1
12266,1
12270,1
12271,1
12272,1
12273,1
12278,1
12279,1
12286,1
12293,1
12294,1
12298,1
12304,1
12307,1
12308,1
12314,1
12317,1
12320,1
12321,1
12336,1
12346,1
12347,1
12348,1
12349,1
12355,1
12364,1
12368,1
12370,1
12373,1
12383,1
12386,1
12390,1
12400,1
12401,1
12404,1
12405,1
12407,1
12410,1
12418,1
12419,1
12420,1
12422,1
12427,1
12432,1
12447,1
12452,1
12461,1
12470,1
12472,1
12474,1
12475,1
12477,1
12479,1
12480,1
12482,1
12483,1
12488,1
12493,1
12505,1
12507,1
12508,1
12542,1
12552,1
12555,1
12557,1
12564,1
12568,1
12578,1
12579,1
12587,1
12588,1
12589,1
12590,1
12591,1
12592,1
12593,1
12594,1
12598,1
12600,1
12601,1
12602,1
12605,1
12620,1
12635,1
12677,1
12683,1
12686,1
12709,1
12712,1
12713,1
12723,1
12750,1
12751,1
12773,1
12786,1
12788,1
12793,1
12806,1
12827,1
12839,1
12879,1
13004,1
13005,1
13006,1
13007,1
13031,1
13059,1
13077,1
13079,1
13090,1
13095,1
13101,1
13104,1
13106,1
13124,1
13148,1
13156,1
13167,1
13168,1
13169,1
13170,1
13175,1
13176,1
13177,1
13178,1
13179,1
13181,1
13182,1
13183,1
13186,1
13188,1
13196,1
13197,1
13198,1
13200,1
13202,1
13204,1
13205,1
13206,1
13208,1
13212,1
13213,1
13214,1
13216,1
13224,1
13225,1
13230,1
13231,1
13236,1
13237,1
13241,1
13243,1
13245,1
13247,1
13249,1
13250,1
13251,1
13252,1
13253,1
13254,1
13257,1
13258,1
13261,1
13262,1
13267,1
13268,1
13269,1
13270,1
13272,1
13273,1
13274,1
13281,1
13329,1
13330,1
13377,1
13403,1
13404,1
13465,1
13477,1
13530,1
13534,1
13535,1
13605,1
13651,1
13662,1
13674,1
13675,1
13680,1
13684,1
13689,1
13690,1
13693,1
13697,1
13729,1
13731,1
13736,1
13739,1
13755,1
13768,1
13769,1
13789,1
13874,1
13882,1
13884,1
13885,1
13886,1
13887,1
13889,1
13890,1
13891,1
13892,1
13897,1
13898,1
13904,1
13907,1
13909,1
13911,1
13914,1
13916,1
13917,1
13918,1
13919,1
13922,1
13924,1
13925,1
13940,1
13941,1
13942,1
13950,1
13959,1
14005,1
14027,1
14028,1
14030,1
14031,1
14034,1
14035,1
14049,1
14057,1
14060,1
14138,1
14141,1
14143,1
14144,1
14149,1
14150,1
14151,1
14153,1
14157,1
14159,1
14161,1
14162,1
14163,1
14164,1
14187,1
14196,1
14197,1
14198,1
14205,1
14206,1
14213,1
14230,1
14236,1
14237,1
14238,1
14244,1
14245,1
14254,1
14256,1
14257,1
14258,1
14263,1
14264,1
14265,1
14268,1
14271,1
14274,1
14275,1
14280,1
14281,1
14282,1
14283,1
14284,1
14285,1
14286,1
14287,1
14288,1
14289,1
14290,1
14294,1
14300,1
14303,1
14304,1
14313,1
14314,1
14315,1
14320,1
14324,1
14325,1
14327,1
14330,1
14331,1
14338,1
14339,1
14340,1
14357,1
14373,1
14374,1
14375,1
14385,1
14386,1
14389,1
14391,1
14416,1
14417,1
14424,1
14428,1
14429,1
14430,1
14434,1
14451,1
14452,1
14471,1
14483,1
14489,1
14496,1
14509,1
14547,1
14548,1
14549,1
14558,1
14574,1
14580,1
14607,1
14614,1
14615,1
14636,1
14638,1
14649,1
14653,1
14654,1
14655,1
14676,1
14678,1
14708,1
14715,1
14717,1
14718,1
14719,1
14721,1
14725,1
14726,1
14727,1
14738,1
14740,1
14741,1
14744,1
14746,1
14747,1
14750,1
14752,1
14761,1
14762,1
14784,1
14792,1
14796,1
14797,1
14798,1
14799,1
14804,1
14805,1
14811,1
14813,1
14814,1
14821,1
14822,1
14823,1
14833,1
14834,1
14835,1
14836,1
14837,1
14840,1
14847,1
14848,1
14850,1
14853,1
14854,1
14855,1
14856,1
14857,1
14858,1
14874,1
14875,1
14878,1
14884,1
14885,1
14888,1
14889,1
14890,1
14891,1
14892,1
14893,1
14894,1
