counter,crmf
28,1
33,1
35,1
44,1
64,1
154,1
155,1
162,1
188,1
189,1
193,1
199,1
209,1
217,1
218,1
231,1
258,1
286,1
289,1
357,1
358,1
359,1
365,1
367,1
374,1
375,1
398,1
410,1
442,1
444,1
474,1
475,1
491,1
540,1
541,1
542,1
546,1
554,1
561,1
578,1
652,1
653,1
695,1
696,1
703,1
705,1
707,1
734,1
736,1
741,1
749,1
870,1
876,1
885,1
890,1
892,1
920,1
958,1
966,1
967,1
974,1
975,1
1033,1
1043,1
1072,1
1249,1
1288,1
1289,1
1290,1
1322,1
1521,1
1529,1
1531,1
1535,1
1537,1
1887,1
1897,1
2067,1
2070,1
2198,1
2205,1
2233,1
2236,1
2239,1
2273,1
2279,1
2305,1
2351,1
2352,1
2353,1
2355,1
2356,1
2357,1
2359,1
2361,1
2389,1
2422,1
2520,1
2521,1
2531,1
2532,1
2533,1
2534,1
2535,1
2537,1
2538,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2559,1
2583,1
2602,1
2603,1
2656,1
2658,1
2661,1
2662,1
2665,1
2668,1
2671,1
2674,1
2679,1
2683,1
2684,1
2685,1
2695,1
2697,1
2706,1
2709,1
2710,1
2722,1
2773,1
2784,1
2792,1
2798,1
2900,1
2965,1
3834,1
3838,1
3912,1
4517,1
4520,1
4526,1
4529,1
4761,1
4763,1
4765,1
4772,1
4844,1
4891,1
4943,1
4944,1
4950,1
4951,1
5139,1
5140,1
5156,1
5161,1
5164,1
5176,1
5177,1
5183,1
5188,1
5190,1
5195,1
5200,1
5201,1
5206,1
5208,1
5209,1
5215,1
5224,1
5236,1
5383,1
5387,1
5391,1
5401,1
5410,1
5421,1
5424,1
5429,1
5455,1
5472,1
5487,1
5488,1
5492,1
5509,1
5598,1
5611,1
5776,1
5780,1
5935,1
5938,1
5939,1
5941,1
5962,1
5964,1
5976,1
5987,1
5993,1
6025,1
6030,1
6032,1
6034,1
6035,1
6036,1
6037,1
6045,1
6047,1
6048,1
6052,1
6120,1
6123,1
6125,1
6128,1
6144,1
6146,1
6153,1
6154,1
6156,1
6159,1
6161,1
6163,1
6165,1
6166,1
6167,1
6169,1
6181,1
6192,1
6197,1
6199,1
6200,1
6235,1
6275,1
6286,1
6287,1
6288,1
6289,1
6293,1
6301,1
6309,1
6312,1
6363,1
6368,1
6400,1
6426,1
6452,1
6614,1
6617,1
6659,1
6660,1
6671,1
6672,1
6721,1
6746,1
6790,1
6791,1
6794,1
6795,1
6796,1
6798,1
6799,1
6846,1
6880,1
6881,1
6947,1
6968,1
7003,1
7004,1
7101,1
7102,1
7143,1
7318,1
7319,1
7336,1
7338,1
7345,1
7349,1
7352,1
7359,1
7360,1
7361,1
7363,1
7365,1
7366,1
7369,1
7371,1
7375,1
7563,1
7656,1
7689,1
7690,1
7773,1
7787,1
7788,1
7816,1
7920,1
8113,1
8207,1
8250,1
8251,1
8256,1
8297,1
8379,1
8456,1
8457,1
8458,1
8459,1
8464,1
8466,1
8476,1
8494,1
8500,1
8531,1
8592,1
8624,1
8629,1
8634,1
8635,1
9038,1
9102,1
9103,1
9148,1
9183,1
9184,1
9185,1
9186,1
9211,1
9212,1
9231,1
9234,1
9238,1
9241,1
9244,1
9245,1
9252,1
9255,1
9262,1
9270,1
9276,1
9277,1
9279,1
9285,1
9288,1
9301,1
9302,1
9321,1
9322,1
9323,1
9326,1
9335,1
9337,1
9339,1
9355,1
9370,1
9371,1
9373,1
9374,1
9383,1
9384,1
9394,1
9400,1
9406,1
9410,1
9424,1
9425,1
9430,1
9450,1
9454,1
9457,1
10140,1
10151,1
10152,1
10169,1
10174,1
10178,1
10179,1
10241,1
10248,1
10301,1
10303,1
10305,1
10317,1
10336,1
10342,1
10346,1
10349,1
10353,1
10386,1
10387,1
10398,1
10402,1
10404,1
10436,1
10438,1
10449,1
10451,1
10462,1
10463,1
10480,1
10481,1
10484,1
10487,1
10492,1
10500,1
10515,1
10542,1
10704,1
10753,1
10829,1
10839,1
10956,1
10959,1
11028,1
11584,1
11585,1
11617,1
11618,1
11646,1
11663,1
11669,1
11672,1
11674,1
11685,1
11686,1
11688,1
11692,1
11695,1
11699,1
11702,1
11704,1
11710,1
11714,1
11715,1
11717,1
11721,1
11722,1
11743,1
11744,1
11759,1
11760,1
11761,1
11762,1
11763,1
11784,1
11787,1
11794,1
11866,1
11880,1
11887,1
11891,1
11899,1
11906,1
12052,1
12056,1
12058,1
12081,1
12082,1
12086,1
12090,1
12092,1
12096,1
12098,1
12100,1
12104,1
12105,1
12106,1
12107,1
12108,1
12112,1
12117,1
12118,1
12121,1
12123,1
12124,1
12126,1
12127,1
12128,1
12129,1
12131,1
12132,1
12135,1
12136,1
12137,1
12140,1
12141,1
12143,1
12145,1
12147,1
12148,1
12205,1
12206,1
12223,1
12224,1
12228,1
12230,1
12233,1
12235,1
12236,1
12237,1
12238,1
12239,1
12240,1
12242,1
12243,1
12244,1
12245,1
12246,1
12249,1
12250,1
12253,1
12254,1
12255,1
12312,1
12313,1
12314,1
12316,1
12317,1
12330,1
12390,1
12394,1
12396,1
12397,1
12398,1
12407,1
12410,1
12412,1
12413,1
12414,1
12416,1
12417,1
12418,1
12422,1
12424,1
12427,1
12429,1
12432,1
12437,1
12438,1
12439,1
12443,1
12447,1
12449,1
12450,1
12451,1
12452,1
12458,1
12470,1
12472,1
12474,1
12477,1
12479,1
12482,1
12485,1
12487,1
12488,1
12490,1
12491,1
12493,1
12496,1
12497,1
12498,1
12501,1
12505,1
12507,1
12514,1
12515,1
12516,1
12517,1
12518,1
12521,1
12522,1
12525,1
12527,1
12528,1
12529,1
12536,1
12537,1
12542,1
12544,1
12545,1
12546,1
12548,1
12549,1
12551,1
12552,1
12557,1
12560,1
12561,1
12564,1
12568,1
12570,1
12571,1
12573,1
12587,1
12596,1
12597,1
12598,1
12600,1
12611,1
12612,1
12620,1
12623,1
12662,1
12669,1
12768,1
12769,1
12771,1
12843,1
12844,1
12869,1
12945,1
13027,1
13029,1
13031,1
13042,1
13043,1
13047,1
13052,1
13059,1
13092,1
13093,1
13106,1
13118,1
13136,1
13148,1
13167,1
13172,1
13175,1
13181,1
13185,1
13186,1
13188,1
13191,1
13192,1
13200,1
13202,1
13204,1
13208,1
13211,1
13212,1
13216,1
13218,1
13224,1
13227,1
13228,1
13229,1
13230,1
13266,1
13267,1
13272,1
13281,1
13283,1
13284,1
13285,1
13290,1
13313,1
13345,1
13348,1
13349,1
13350,1
13410,1
13420,1
13648,1
13655,1
13701,1
13821,1
13869,1
13874,1
13949,1
13950,1
13978,1
14016,1
14064,1
14068,1
14236,1
14294,1
14346,1
14393,1
14432,1
14433,1
14434,1
14501,1
14514,1
14614,1
14643,1
14676,1
14680,1
14682,1
14688,1
14700,1
14701,1
14710,1
14711,1
14717,1
14721,1
14723,1
14725,1
14729,1
14732,1
14734,1
14735,1
14738,1
14740,1
14743,1
14744,1
14746,1
14749,1
14750,1
14752,1
14756,1
14758,1
14813,1
14816,1
14850,1
14896,1
14898,1
14922,1
14923,1
14944,1
14946,1
14967,1
14968,1
14974,1
14978,1
14979,1
14982,1
14983,1
14984,1
15052,1
15056,1
15064,1
15077,1
15083,1
15214,1
15221,1
15264,1
15271,1
15273,1
15274,1
15276,1
15278,1
15279,1
15281,1
15282,1
15293,1
15295,1
15296,1
15355,1
15356,1
15357,1
15362,1
15366,1
15390,1
15393,1
15400,1
15402,1
15499,1
15536,1
15537,1
15551,1
15569,1
15614,1
15615,1
15794,1
15836,1
15841,1
15848,1
15987,1
16515,1
16553,1
16589,1
16626,1
16636,1
16640,1
16652,1
16666,1
16667,1
16670,1
16706,1
16751,1
16867,1
16873,1
16930,1
17003,1
17009,1
17018,1
17033,1
17054,1
17082,1
17125,1
17165,1
17303,1
17353,1
17359,1
17378,1
17381,1
17383,1
17384,1
17385,1
17415,1
17446,1
17452,1
17455,1
17458,1
17475,1
17485,1
17486,1
17493,1
17498,1
17522,1
17523,1
17524,1
17525,1
17526,1
17527,1
17535,1
17536,1
17537,1
17542,1
17543,1
17545,1
17558,1
17568,1
17624,1
17629,1
17631,1
17742,1
17777,1
17784,1
17805,1
17806,1
17813,1
17814,1
17818,1
17837,1
17838,1
17883,1
17886,1
17888,1
17933,1
17943,1
17944,1
17952,1
17953,1
17954,1
17958,1
17959,1
17961,1
17964,1
17965,1
17971,1
17973,1
17979,1
17989,1
17990,1
17999,1
18000,1
18001,1
18003,1
18004,1
18008,1
18012,1
18015,1
18018,1
18019,1
18020,1
18022,1
18024,1
18025,1
18028,1
18032,1
18033,1
18034,1
18035,1
18038,1
18040,1
18058,1
18060,1
18063,1
18066,1
18077,1
18078,1
18081,1
18106,1
18131,1
18171,1
18184,1
18186,1
18189,1
18206,1
18213,1
18214,1
18359,1
18361,1
18376,1
18377,1
18389,1
18391,1
18395,1
18411,1
18412,1
18415,1
18423,1
18428,1
18442,1
18450,1
18451,1
18452,1
18453,1
18456,1
18459,1
18475,1
18476,1
18479,1
18485,1
18494,1
18499,1
18516,1
18518,1
18544,1
18546,1
18567,1
18574,1
18576,1
18578,1
18590,1
18596,1
18598,1
18601,1
18608,1
18610,1
18629,1
18632,1
18633,1
18634,1
18635,1
18637,1
18650,1
18651,1
18652,1
18656,1
18663,1
18664,1
18665,1
18667,1
18668,1
18675,1
18676,1
18679,1
18681,1
18682,1
18683,1
18721,1
18736,1
18761,1
18780,1
18782,1
18799,1
18858,1
18887,1
18936,1
18946,1
18959,1
18960,1
18963,1
18965,1
18967,1
18968,1
18990,1
18993,1
18995,1
18996,1
18998,1
18999,1
19002,1
19007,1
19021,1
19025,1
19088,1
19089,1
19090,1
19092,1
19101,1
19102,1
19117,1
19165,1
19203,1
19205,1
19208,1
19222,1
19223,1
19224,1
19225,1
19226,1
19238,1
19252,1
19257,1
19275,1
19295,1
19305,1
19307,1
19308,1
19312,1
19317,1
19320,1
19321,1
19323,1
19325,1
19327,1
19329,1
19331,1
19340,1
19342,1
19343,1
19346,1
19347,1
19355,1
19389,1
19397,1
19419,1
19446,1
19463,1
19474,1
19481,1
19486,1
19488,1
19496,1
19500,1
19504,1
19519,1
19530,1
19568,1
19569,1
19588,1
19598,1
19600,1
19654,1
19655,1
19658,1
19662,1
19663,1
19664,1
19676,1
19684,1
19685,1
19707,1
19737,1
19738,1
19771,1
19775,1
19778,1
19779,1
19789,1
19791,1
19818,1
19926,1
19935,1
20008,1
20012,1
20016,1
20017,1
20051,1
20083,1
20135,1
20136,1
20186,1
20192,1
20194,1
20202,1
20203,1
20226,1
20257,1
20261,1
20274,1
20275,1
20309,1
20313,1
20371,1
20438,1
20439,1
20448,1
20450,1
20451,1
20452,1
20453,1
20455,1
20465,1
20521,1
20528,1
20530,1
20532,1
20542,1
20551,1
20565,1
20569,1
20580,1
20620,1
20626,1
20630,1
20641,1
20644,1
20645,1
20662,1
20685,1
20700,1
20717,1
20764,1
20766,1
20776,1
20846,1
20855,1
20860,1
20898,1
20919,1
20955,1
21146,1
21149,1
21153,1
21154,1
21237,1
21240,1
21258,1
21259,1
21270,1
21284,1
21368,1
21372,1
21391,1
21392,1
21393,1
21396,1
21397,1
21398,1
21399,1
21402,1
21403,1
21404,1
21409,1
21415,1
21417,1
21454,1
21489,1
21504,1
21516,1
21594,1
21638,1
21639,1
21839,1
21842,1
21843,1
21846,1
21938,1
21996,1
21997,1
21998,1
22020,1
22052,1
22140,1
22144,1
22148,1
22177,1
22178,1
22250,1
22315,1
22347,1
22348,1
22439,1
22549,1
22550,1
22589,1
22612,1
22613,1
22619,1
22620,1
22626,1
22628,1
22633,1
22638,1
22639,1
22640,1
22641,1
22647,1
22648,1
22650,1
22652,1
22660,1
22661,1
22679,1
22687,1
22694,1
22695,1
22697,1
22698,1
22705,1
22707,1
22708,1
22709,1
22711,1
22714,1
22719,1
22721,1
22722,1
22724,1
22728,1
22729,1
22730,1
22731,1
22734,1
22735,1
22739,1
22745,1
22752,1
22753,1
22783,1
22806,1
22819,1
22820,1
22827,1
22842,1
22862,1
22902,1
22903,1
22904,1
22931,1
22932,1
23084,1
23085,1
23090,1
23095,1
23099,1
23101,1
23111,1
23206,1
23207,1
23208,1
23211,1
23212,1
23241,1
23255,1
23279,1
23280,1
23282,1
23284,1
23311,1
23312,1
23323,1
23328,1
23329,1
23332,1
23337,1
23340,1
23342,1
23346,1
23351,1
23352,1
23357,1
23358,1
23376,1
23380,1
23387,1
23393,1
23396,1
23407,1
23408,1
23411,1
23413,1
23424,1
23426,1
23440,1
23450,1
23496,1
23497,1
23498,1
23499,1
23500,1
23503,1
23589,1
23590,1
23597,1
23598,1
23601,1
23603,1
23607,1
23608,1
23609,1
23612,1
23613,1
23614,1
23619,1
23623,1
23810,1
23831,1
23849,1
23850,1
23866,1
23867,1
