counter,crmf
71,1
72,1
191,1
193,1
200,1
236,1
279,1
351,1
448,1
486,1
612,1
622,1
686,1
688,1
689,1
752,1
763,1
1058,1
1069,1
1095,1
1265,1
1267,1
1389,1
1574,1
1575,1
1603,1
1608,1
1650,1
1783,1
1784,1
1786,1
1798,1
1799,1
1801,1
1803,1
1804,1
1805,1
1810,1
1811,1
1814,1
1819,1
1820,1
1821,1
1825,1
2018,1
2057,1
2293,1
2329,1
2331,1
2412,1
2413,1
2414,1
2415,1
2418,1
2419,1
2429,1
2430,1
2491,1
2660,1
2668,1
2670,1
2769,1
2854,1
2906,1
2907,1
2908,1
3088,1
3089,1
3093,1
3160,1
3358,1
3369,1
3374,1
3541,1
3684,1
3685,1
3768,1
3864,1
3944,1
4017,1
4254,1
4257,1
4326,1
4328,1
4330,1
4335,1
4337,1
4800,1
4803,1
4909,1
5021,1
5091,1
5163,1
5421,1
5485,1
5625,1
5670,1
5915,1
5919,1
5926,1
6057,1
6058,1
6237,1
6270,1
6282,1
6292,1
6544,1
6585,1
6597,1
6600,1
6601,1
6606,1
6610,1
6613,1
6615,1
6637,1
6656,1
6658,1
6755,1
6758,1
6797,1
6816,1
6821,1
6876,1
6877,1
6880,1
6881,1
6884,1
6891,1
6894,1
6945,1
6946,1
6990,1
7110,1
7155,1
