counter,crms
25,1
58,1
63,1
81,1
88,1
122,1
160,1
213,1
411,1
452,1
476,1
481,1
493,1
495,1
502,1
503,1
521,1
522,1
539,1
545,1
617,1
621,1
622,1
623,1
629,1
641,1
642,1
664,1
666,1
715,1
718,1
735,1
748,1
764,1
789,1
794,1
800,1
801,1
802,1
803,1
808,1
818,1
823,1
829,1
882,1
883,1
885,1
887,1
888,1
889,1
891,1
903,1
905,1
906,1
907,1
908,1
933,1
934,1
937,1
945,1
951,1
954,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1073,1
1076,1
1077,1
1080,1
1083,1
1085,1
1089,1
1090,1
1091,1
1093,1
1094,1
1095,1
1096,1
1098,1
1105,1
1106,1
1108,1
1109,1
1110,1
1111,1
1112,1
1122,1
1130,1
1135,1
1136,1
1146,1
1147,1
1149,1
1150,1
1151,1
1152,1
1155,1
1161,1
1162,1
1166,1
1168,1
1171,1
1181,1
1182,1
1218,1
1223,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1237,1
1238,1
1240,1
1243,1
1247,1
1248,1
1249,1
1250,1
1308,1
1309,1
1396,1
1399,1
1404,1
1424,1
1425,1
1431,1
1432,1
1434,1
1435,1
1438,1
1455,1
1484,1
1486,1
1488,1
1510,1
1524,1
1542,1
1546,1
1548,1
1553,1
1555,1
1557,1
1558,1
1559,1
1560,1
1562,1
1563,1
1564,1
1567,1
1568,1
1569,1
1692,1
1693,1
1759,1
1767,1
1783,1
1818,1
1871,1
1877,1
1878,1
1879,1
1885,1
1893,1
1905,1
1906,1
2146,1
2147,1
2150,1
2152,1
2161,1
2165,1
2166,1
2168,1
2169,1
2170,1
2172,1
2176,1
2178,1
2182,1
2183,1
2184,1
2208,1
2220,1
2224,1
2225,1
2229,1
2232,1
2242,1
2243,1
2244,1
2245,1
2247,1
2249,1
2271,1
2272,1
2537,1
2711,1
2817,1
2818,1
2822,1
2849,1
2851,1
2853,1
2856,1
2858,1
2859,1
2860,1
2863,1
2864,1
2865,1
2866,1
2867,1
2870,1
2873,1
2874,1
2886,1
2889,1
2918,1
2932,1
2944,1
2945,1
2951,1
2952,1
2955,1
2956,1
2962,1
3132,1
3162,1
3197,1
3198,1
3213,1
3219,1
3223,1
3234,1
3239,1
3255,1
3257,1
3262,1
3263,1
3265,1
3266,1
3267,1
3268,1
3270,1
3271,1
3297,1
3312,1
3329,1
3330,1
3335,1
3336,1
3346,1
3356,1
3427,1
3438,1
3766,1
3829,1
3831,1
3906,1
3908,1
3913,1
3926,1
3927,1
3929,1
3931,1
4004,1
4036,1
4253,1
4273,1
4398,1
4432,1
4440,1
4479,1
4504,1
4506,1
4522,1
4799,1
4804,1
4858,1
4864,1
5345,1
5412,1
5626,1
5731,1
5815,1
5857,1
5876,1
5877,1
5881,1
5886,1
5887,1
5888,1
5910,1
5913,1
5914,1
5917,1
5918,1
5930,1
5932,1
5948,1
5956,1
6421,1
6627,1
6685,1
6686,1
6695,1
6718,1
6728,1
6734,1
6752,1
6792,1
6793,1
6795,1
6796,1
6806,1
6830,1
6832,1
6835,1
6836,1
6838,1
6849,1
6919,1
6922,1
6925,1
6932,1
6946,1
6949,1
6962,1
7174,1
7459,1
7460,1
7511,1
7600,1
7601,1
7604,1
7620,1
7630,1
7684,1
7842,1
7857,1
8020,1
8029,1
8156,1
8158,1
8162,1
8165,1
8179,1
8192,1
8217,1
8392,1
8533,1
8916,1
8917,1
8954,1
8982,1
8989,1
9248,1
9314,1
9386,1
9406,1
9407,1
9424,1
9429,1
9438,1
9446,1
9449,1
9456,1
9501,1
9503,1
9504,1
9508,1
9518,1
9520,1
9524,1
9526,1
9527,1
9532,1
9533,1
9535,1
9540,1
9545,1
9546,1
9547,1
9552,1
9553,1
9554,1
9555,1
9556,1
9557,1
9561,1
9568,1
9570,1
9573,1
9574,1
9577,1
9584,1
9585,1
9589,1
9592,1
9594,1
9597,1
9603,1
9604,1
9605,1
9606,1
9615,1
9616,1
9617,1
9619,1
9620,1
9622,1
9661,1
9671,1
9672,1
9681,1
9700,1
9707,1
9708,1
9709,1
9710,1
9712,1
9715,1
9721,1
9723,1
9724,1
9725,1
9726,1
9727,1
9728,1
9729,1
9731,1
9732,1
9733,1
9734,1
9735,1
9736,1
9737,1
9738,1
9739,1
9740,1
9742,1
9743,1
9744,1
9745,1
9747,1
9748,1
9749,1
9750,1
9751,1
9752,1
9753,1
9754,1
9755,1
9756,1
9757,1
9758,1
9759,1
9760,1
9763,1
9780,1
9796,1
9813,1
9816,1
9817,1
9821,1
9845,1
10292,1
10293,1
10295,1
10297,1
10328,1
10329,1
10358,1
10364,1
10366,1
10367,1
10375,1
10379,1
10380,1
10381,1
10382,1
10384,1
10385,1
10387,1
10388,1
10389,1
10394,1
10395,1
10400,1
10401,1
10402,1
10403,1
10404,1
10405,1
10415,1
10416,1
10420,1
10431,1
10433,1
10436,1
10467,1
10468,1
10504,1
10634,1
10635,1
10658,1
10660,1
10661,1
10662,1
10663,1
10675,1
10683,1
10700,1
10701,1
10702,1
10703,1
10731,1
10735,1
10741,1
10748,1
10785,1
10787,1
10788,1
10807,1
10809,1
10811,1
10812,1
10813,1
10815,1
10820,1
10824,1
10889,1
10908,1
10955,1
10993,1
11026,1
11029,1
11030,1
11031,1
11033,1
11034,1
11036,1
11046,1
11050,1
11051,1
11054,1
11057,1
11059,1
11061,1
11063,1
11065,1
11082,1
11083,1
11087,1
11091,1
11092,1
11094,1
11288,1
11294,1
11295,1
11296,1
11320,1
11351,1
11386,1
11387,1
11418,1
11590,1
11675,1
11690,1
11691,1
11694,1
11708,1
11843,1
11855,1
11856,1
11857,1
11861,1
11898,1
11931,1
12043,1
12088,1
12316,1
12317,1
12324,1
12328,1
12568,1
12944,1
12978,1
12980,1
13041,1
13107,1
13196,1
13208,1
13214,1
13225,1
13242,1
13276,1
13306,1
13320,1
13329,1
13333,1
13335,1
13349,1
13350,1
13365,1
13368,1
13381,1
13383,1
13384,1
13385,1
13388,1
13410,1
13411,1
13412,1
13453,1
13497,1
13498,1
13500,1
13508,1
13509,1
13511,1
13512,1
13514,1
13518,1
13519,1
13520,1
13522,1
13525,1
13526,1
13529,1
13532,1
13533,1
13534,1
13540,1
13541,1
13561,1
13562,1
13566,1
13572,1
13591,1
13592,1
13599,1
13600,1
13601,1
13602,1
13603,1
13604,1
13605,1
13607,1
13608,1
13609,1
13611,1
13612,1
13620,1
13623,1
13624,1
13625,1
13626,1
13627,1
13628,1
13630,1
13631,1
13633,1
13634,1
13637,1
13639,1
13640,1
13650,1
13651,1
13654,1
13657,1
13659,1
13662,1
13663,1
13664,1
13666,1
13667,1
13686,1
13687,1
13728,1
13730,1
13731,1
13733,1
13740,1
13741,1
13779,1
13784,1
13785,1
13887,1
13890,1
13942,1
13949,1
14036,1
14168,1
14171,1
14172,1
14175,1
14290,1
14320,1
14337,1
14343,1
14349,1
14350,1
14352,1
14354,1
14444,1
14535,1
14581,1
14620,1
14623,1
14682,1
15452,1
15516,1
15578,1
15584,1
15585,1
15586,1
15589,1
15591,1
15643,1
15669,1
15670,1
15687,1
15688,1
15690,1
15692,1
15693,1
15975,1
16247,1
16424,1
16431,1
16499,1
16515,1
16588,1
16652,1
16657,1
16661,1
16662,1
16745,1
16969,1
16975,1
16980,1
16996,1
16998,1
17081,1
17085,1
17088,1
17103,1
17118,1
17132,1
17133,1
17140,1
17450,1
17460,1
17461,1
17462,1
17463,1
17465,1
17476,1
17487,1
17496,1
17534,1
17567,1
17585,1
17603,1
17650,1
17684,1
17692,1
17693,1
17715,1
17785,1
17868,1
17869,1
17879,1
17886,1
17888,1
17901,1
17906,1
17911,1
17913,1
17931,1
17933,1
17956,1
18118,1
18119,1
18136,1
18138,1
18139,1
18223,1
18747,1
18759,1
18768,1
19290,1
19313,1
19314,1
19316,1
19324,1
19329,1
19333,1
19337,1
19339,1
19340,1
19393,1
19555,1
19560,1
19563,1
19584,1
19599,1
19610,1
19658,1
19659,1
19664,1
19665,1
19700,1
19735,1
19788,1
19809,1
19811,1
19817,1
19837,1
19842,1
19889,1
19901,1
19902,1
20015,1
20032,1
20040,1
20079,1
20114,1
20127,1
20132,1
20133,1
20142,1
20144,1
20145,1
20149,1
20156,1
20157,1
20233,1
20268,1
20269,1
20270,1
20271,1
20278,1
20279,1
20280,1
20282,1
20283,1
20284,1
20285,1
20286,1
20287,1
20288,1
20289,1
20290,1
20291,1
20292,1
20293,1
20713,1
20817,1
20821,1
20822,1
20828,1
20829,1
20830,1
20851,1
20852,1
20854,1
20858,1
20866,1
20884,1
21044,1
21052,1
21053,1
21054,1
21055,1
21056,1
21057,1
21058,1
21061,1
21064,1
21074,1
21076,1
21126,1
21127,1
21140,1
21142,1
21457,1
21542,1
21631,1
21633,1
21673,1
21798,1
21799,1
21812,1
21814,1
21824,1
21844,1
21849,1
21850,1
21852,1
21853,1
21854,1
21856,1
21880,1
21882,1
21883,1
21886,1
21887,1
21888,1
21889,1
21890,1
21891,1
21894,1
21895,1
21944,1
21946,1
21947,1
21948,1
21950,1
21955,1
21956,1
21957,1
22039,1
22040,1
22111,1
22112,1
22114,1
22125,1
22130,1
22131,1
22135,1
22137,1
22153,1
22198,1
22233,1
22234,1
22235,1
22236,1
22301,1
22394,1
22465,1
22495,1
22512,1
22546,1
22579,1
22580,1
23069,1
23071,1
23073,1
23075,1
23076,1
23084,1
23086,1
23087,1
23088,1
23090,1
23091,1
23092,1
23093,1
23095,1
23096,1
23097,1
23098,1
23099,1
23100,1
23101,1
23104,1
23106,1
23108,1
23109,1
23110,1
23114,1
23115,1
23119,1
23120,1
23123,1
23124,1
23125,1
23126,1
23130,1
23132,1
23134,1
23135,1
23137,1
23138,1
23139,1
23140,1
23143,1
23144,1
23146,1
23148,1
23150,1
23151,1
23152,1
23153,1
23154,1
23156,1
23157,1
23158,1
23161,1
23165,1
23166,1
23168,1
23169,1
23170,1
23171,1
23172,1
23173,1
23175,1
23178,1
23179,1
23181,1
23182,1
23184,1
23185,1
23186,1
23192,1
23194,1
23195,1
23202,1
23207,1
23208,1
23209,1
23210,1
23211,1
23212,1
23213,1
23215,1
23238,1
23241,1
23278,1
23279,1
23284,1
23291,1
23297,1
23301,1
23302,1
23309,1
23316,1
23317,1
23318,1
23319,1
23320,1
23456,1
23469,1
23474,1
23496,1
23497,1
23528,1
23529,1
23539,1
23669,1
23675,1
23691,1
23798,1
23800,1
23801,1
23802,1
23886,1
23891,1
23920,1
23931,1
24227,1
24228,1
24321,1
24374,1
24399,1
24400,1
24405,1
24425,1
24451,1
24455,1
24460,1
24527,1
24549,1
24917,1
24920,1
24977,1
24982,1
24983,1
24985,1
24986,1
24988,1
25010,1
25018,1
25021,1
25026,1
25037,1
25110,1
25117,1
25144,1
25152,1
25426,1
25432,1
25440,1
25444,1
25445,1
25447,1
25451,1
25505,1
25531,1
25532,1
25537,1
25542,1
25551,1
25583,1
25596,1
25609,1
25661,1
25662,1
25663,1
25665,1
25666,1
25668,1
25669,1
25689,1
25713,1
25714,1
25716,1
25735,1
