counter,crms
273,1
274,1
532,1
581,1
932,1
937,1
939,1
1378,1
1382,1
1383,1
1625,1
1704,1
1724,1
2059,1
2360,1
2361,1
2510,1
3454,1
3470,1
3946,1
4431,1
4729,1
4884,1
5083,1
5223,1
5229,1
5232,1
5233,1
5234,1
5235,1
5237,1
5238,1
5240,1
5241,1
5242,1
5434,1
5533,1
5693,1
5704,1
5705,1
5707,1
5710,1
5729,1
5740,1
5741,1
5749,1
6237,1
6249,1
6250,1
6251,1
6252,1
6253,1
6256,1
6257,1
6280,1
6358,1
6609,1
6616,1
6643,1
6650,1
6702,1
6710,1
6713,1
6714,1
6873,1
6920,1
6962,1
7396,1
7585,1
7624,1
7686,1
7693,1
7712,1
7726,1
7863,1
7872,1
7896,1
8066,1
8075,1
8105,1
8115,1
8147,1
8270,1
8283,1
8286,1
8345,1
8402,1
8409,1
8410,1
8429,1
8431,1
8432,1
8603,1
8639,1
8644,1
8653,1
8672,1
8682,1
8684,1
8685,1
8697,1
8699,1
8703,1
8705,1
8708,1
8712,1
8723,1
8724,1
8727,1
8736,1
8764,1
8765,1
8769,1
8772,1
8775,1
8776,1
8777,1
8778,1
8786,1
8789,1
8806,1
8808,1
8842,1
8843,1
8876,1
8922,1
8923,1
8928,1
8954,1
9001,1
9084,1
9098,1
9100,1
9178,1
9181,1
9182,1
9184,1
9186,1
9189,1
9192,1
9217,1
9485,1
9486,1
9487,1
9498,1
9504,1
9764,1
9874,1
9877,1
9878,1
9881,1
9884,1
9885,1
9888,1
9895,1
9902,1
9903,1
9917,1
9983,1
9984,1
