counter,crmv
0,1
25,1
77,1
83,1
136,1
137,1
138,1
140,1
164,1
180,1
181,1
182,1
257,1
285,1
293,1
301,1
302,1
317,1
488,1
503,1
519,1
521,1
522,1
524,1
535,1
544,1
551,1
555,1
562,1
563,1
564,1
570,1
573,1
576,1
577,1
620,1
622,1
647,1
649,1
664,1
701,1
703,1
704,1
723,1
724,1
725,1
726,1
728,1
729,1
730,1
731,1
735,1
738,1
740,1
741,1
745,1
747,1
748,1
751,1
753,1
757,1
758,1
760,1
765,1
766,1
768,1
783,1
808,1
810,1
941,1
1219,1
1317,1
1326,1
1329,1
1370,1
1400,1
1402,1
1403,1
1404,1
1408,1
1409,1
1411,1
1457,1
1458,1
1459,1
1461,1
1462,1
1498,1
1510,1
1561,1
1562,1
1563,1
1572,1
1586,1
1590,1
1591,1
1607,1
1614,1
1615,1
1620,1
1622,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1644,1
1645,1
1651,1
1655,1
1661,1
1665,1
1667,1
1669,1
1672,1
1678,1
1680,1
1681,1
1683,1
1690,1
1907,1
1908,1
1909,1
1912,1
1914,1
1916,1
1919,1
1925,1
1931,1
1975,1
1981,1
1987,1
1990,1
1991,1
1999,1
2000,1
2001,1
2010,1
2011,1
2013,1
2014,1
2019,1
2020,1
2022,1
2047,1
2058,1
2066,1
2067,1
2074,1
2076,1
2077,1
2079,1
2080,1
2082,1
2083,1
2089,1
2091,1
2092,1
2093,1
2107,1
2110,1
2112,1
2118,1
2122,1
2123,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2134,1
2136,1
2139,1
2140,1
2147,1
2154,1
2157,1
2161,1
2165,1
2166,1
2168,1
2171,1
2176,1
2180,1
2181,1
2189,1
2192,1
2197,1
2199,1
2200,1
2212,1
2215,1
2216,1
2221,1
2222,1
2224,1
2225,1
2226,1
2227,1
2230,1
2244,1
2257,1
2259,1
2263,1
2266,1
2269,1
2271,1
2283,1
2284,1
2285,1
2289,1
2296,1
2297,1
2300,1
2302,1
2304,1
2305,1
2306,1
2307,1
2310,1
2313,1
2314,1
2317,1
2318,1
2321,1
2324,1
2329,1
2330,1
2333,1
2335,1
2336,1
2337,1
2341,1
2345,1
2346,1
2348,1
2352,1
2353,1
2354,1
2356,1
2357,1
2358,1
2359,1
2360,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2374,1
2376,1
2378,1
2379,1
2380,1
2381,1
2385,1
2390,1
2392,1
2393,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2409,1
2410,1
2411,1
2412,1
2415,1
2419,1
2420,1
2421,1
2423,1
2424,1
2425,1
2427,1
2428,1
2430,1
2439,1
2545,1
2558,1
2563,1
2564,1
2623,1
2641,1
2654,1
2664,1
2710,1
2713,1
2716,1
2734,1
2735,1
2825,1
2831,1
