counter,crmv
73,1
146,1
148,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
326,1
327,1
331,1
341,1
398,1
411,1
604,1
614,1
617,1
648,1
649,1
650,1
890,1
893,1
894,1
895,1
927,1
931,1
987,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
1015,1
1016,1
1017,1
1171,1
1196,1
1197,1
1198,1
1201,1
1202,1
1269,1
1448,1
1540,1
1541,1
1544,1
1545,1
1546,1
1551,1
1556,1
1557,1
1560,1
1562,1
1563,1
1564,1
1565,1
1566,1
1568,1
1569,1
1570,1
1596,1
1597,1
1721,1
1722,1
1723,1
1724,1
1725,1
1728,1
1735,1
1736,1
1737,1
1784,1
1785,1
1788,1
1789,1
1790,1
1791,1
1792,1
1803,1
1861,1
1862,1
1863,1
1864,1
1873,1
1874,1
1875,1
1919,1
1920,1
1921,1
1928,1
1930,1
1953,1
1954,1
1956,1
1957,1
1958,1
1994,1
2046,1
2047,1
2053,1
2181,1
2284,1
2296,1
2497,1
2725,1
2726,1
2804,1
2806,1
2807,1
2809,1
2832,1
2833,1
2834,1
2843,1
2888,1
2915,1
2916,1
2917,1
2926,1
2927,1
2930,1
2931,1
2984,1
2985,1
2994,1
2995,1
2996,1
2999,1
3000,1
3001,1
3032,1
3033,1
3034,1
3037,1
3079,1
3211,1
3238,1
3239,1
3355,1
3433,1
3434,1
3439,1
3579,1
3581,1
3584,1
3614,1
3616,1
3617,1
3618,1
3620,1
3621,1
3622,1
3632,1
3743,1
3802,1
3813,1
3814,1
3893,1
3895,1
3965,1
3968,1
3970,1
4096,1
4099,1
4100,1
4102,1
4105,1
4107,1
4108,1
4109,1
4110,1
4112,1
4113,1
4114,1
4116,1
4118,1
4119,1
4194,1
4195,1
4236,1
4345,1
4400,1
4444,1
4445,1
4447,1
4456,1
4458,1
4459,1
4460,1
4468,1
4469,1
4488,1
4523,1
4524,1
4530,1
4569,1
4669,1
4712,1
4714,1
4803,1
4845,1
4846,1
4873,1
4874,1
4875,1
4876,1
4877,1
4878,1
4879,1
4880,1
4881,1
4882,1
4885,1
4886,1
4963,1
4965,1
5070,1
5071,1
5094,1
5126,1
5148,1
5292,1
5293,1
5295,1
5299,1
5332,1
5334,1
5335,1
5337,1
5338,1
5339,1
5341,1
5342,1
5450,1
5473,1
5474,1
5475,1
5476,1
5479,1
5623,1
5643,1
5802,1
5805,1
5824,1
5989,1
5990,1
5991,1
5992,1
5996,1
5997,1
5999,1
6001,1
6002,1
6003,1
6004,1
6005,1
6006,1
6007,1
6022,1
6055,1
6056,1
6083,1
6105,1
6106,1
6233,1
6246,1
6247,1
6248,1
6249,1
6250,1
6251,1
6252,1
6344,1
6356,1
6361,1
6523,1
6598,1
6599,1
6601,1
6602,1
6603,1
6604,1
6605,1
6606,1
6611,1
6642,1
6643,1
6693,1
6696,1
6697,1
6698,1
6699,1
6700,1
6701,1
6702,1
6703,1
6734,1
6735,1
6736,1
6737,1
6738,1
6739,1
6782,1
6785,1
6787,1
6788,1
6789,1
6790,1
6791,1
6793,1
6799,1
6944,1
6945,1
6946,1
7022,1
7038,1
7045,1
7046,1
7051,1
7057,1
7106,1
7119,1
7123,1
7133,1
7143,1
7160,1
7166,1
7173,1
7175,1
7179,1
7186,1
7187,1
7188,1
7205,1
7206,1
7212,1
7215,1
7216,1
7217,1
7223,1
7232,1
7240,1
7249,1
7265,1
7327,1
7329,1
7334,1
7448,1
7449,1
7569,1
7571,1
7583,1
7585,1
7586,1
7588,1
7590,1
7592,1
7594,1
7596,1
7598,1
7616,1
7617,1
7618,1
7619,1
7620,1
7621,1
7622,1
7623,1
7624,1
7625,1
7626,1
7627,1
7628,1
7629,1
7630,1
7631,1
7690,1
7691,1
7741,1
7765,1
7766,1
7767,1
7795,1
7803,1
7870,1
7871,1
7873,1
7877,1
7879,1
7911,1
7912,1
7975,1
7976,1
7977,1
7982,1
7989,1
7994,1
7995,1
8000,1
8014,1
8041,1
8048,1
8068,1
8105,1
8123,1
8256,1
8257,1
8412,1
8420,1
8421,1
8434,1
8437,1
8455,1
8464,1
8465,1
8468,1
8469,1
8481,1
8482,1
8484,1
