counter,crnf
4,1
5,1
7,1
14,1
55,1
70,1
99,1
101,1
128,1
134,1
137,1
138,1
140,1
141,1
164,1
165,1
166,1
172,1
173,1
174,1
178,1
181,1
185,1
190,1
191,1
195,1
196,1
202,1
203,1
206,1
213,1
214,1
216,1
219,1
220,1
224,1
228,1
230,1
233,1
237,1
243,1
259,1
262,1
263,1
264,1
265,1
266,1
271,1
275,1
277,1
281,1
286,1
292,1
294,1
299,1
302,1
315,1
334,1
357,1
360,1
365,1
367,1
369,1
374,1
377,1
379,1
380,1
381,1
383,1
386,1
387,1
388,1
389,1
391,1
392,1
393,1
394,1
395,1
396,1
401,1
405,1
406,1
407,1
408,1
410,1
411,1
412,1
413,1
414,1
419,1
420,1
422,1
423,1
434,1
439,1
444,1
447,1
449,1
453,1
467,1
471,1
472,1
476,1
477,1
479,1
482,1
484,1
486,1
491,1
493,1
498,1
499,1
500,1
502,1
505,1
515,1
531,1
533,1
534,1
537,1
539,1
543,1
545,1
548,1
552,1
566,1
577,1
578,1
579,1
580,1
582,1
585,1
586,1
590,1
591,1
593,1
594,1
607,1
609,1
610,1
617,1
622,1
624,1
625,1
627,1
635,1
639,1
641,1
642,1
643,1
653,1
654,1
655,1
656,1
658,1
660,1
663,1
664,1
666,1
672,1
677,1
678,1
680,1
683,1
685,1
686,1
688,1
690,1
691,1
698,1
702,1
708,1
709,1
714,1
718,1
725,1
740,1
741,1
743,1
751,1
752,1
755,1
757,1
759,1
761,1
763,1
764,1
765,1
767,1
768,1
776,1
782,1
785,1
792,1
794,1
800,1
803,1
805,1
806,1
812,1
816,1
817,1
824,1
829,1
830,1
833,1
835,1
836,1
837,1
840,1
843,1
845,1
859,1
860,1
867,1
868,1
873,1
1031,1
1419,1
1443,1
1445,1
1446,1
1448,1
1457,1
1459,1
1460,1
1461,1
1466,1
1468,1
1471,1
1472,1
1606,1
1620,1
1633,1
1634,1
1696,1
1699,1
1753,1
1755,1
1757,1
1843,1
1846,1
1867,1
1872,1
1877,1
1907,1
1908,1
1931,1
1953,1
1975,1
2430,1
2438,1
2445,1
2446,1
2448,1
2449,1
2460,1
2465,1
2474,1
2487,1
2498,1
2507,1
2516,1
2526,1
2549,1
2557,1
2570,1
2574,1
2593,1
2594,1
2595,1
2596,1
2597,1
2625,1
2668,1
2823,1
2875,1
2901,1
2945,1
2946,1
2949,1
2950,1
2951,1
2953,1
2955,1
2962,1
2965,1
2979,1
3004,1
3035,1
3037,1
3039,1
3042,1
3045,1
3046,1
3047,1
3049,1
3058,1
3065,1
3067,1
3068,1
3069,1
3070,1
3075,1
3087,1
3096,1
3102,1
3103,1
3106,1
3107,1
3108,1
3109,1
3114,1
3116,1
3117,1
3119,1
3120,1
3125,1
3128,1
3132,1
3134,1
3143,1
3145,1
3160,1
3162,1
3167,1
3168,1
3172,1
3174,1
3175,1
3177,1
3179,1
3181,1
3183,1
3184,1
3212,1
3213,1
3220,1
3228,1
3264,1
