counter,crnf
13,1
14,1
32,1
34,1
35,1
36,1
39,1
42,1
43,1
48,1
49,1
124,1
127,1
135,1
136,1
137,1
142,1
148,1
152,1
154,1
176,1
204,1
236,1
237,1
238,1
239,1
241,1
245,1
263,1
264,1
265,1
266,1
274,1
296,1
300,1
324,1
339,1
340,1
357,1
366,1
403,1
413,1
414,1
417,1
418,1
419,1
424,1
436,1
438,1
441,1
442,1
443,1
452,1
496,1
502,1
507,1
509,1
523,1
559,1
565,1
582,1
592,1
593,1
594,1
603,1
610,1
611,1
612,1
616,1
634,1
646,1
650,1
653,1
663,1
675,1
680,1
682,1
687,1
688,1
700,1
722,1
725,1
736,1
767,1
772,1
777,1
791,1
794,1
814,1
823,1
840,1
888,1
893,1
894,1
897,1
916,1
951,1
955,1
956,1
958,1
962,1
1269,1
1276,1
1292,1
1295,1
1329,1
1330,1
1334,1
1363,1
1371,1
1373,1
1396,1
1419,1
1467,1
1468,1
1495,1
1508,1
1510,1
1517,1
1540,1
1541,1
1551,1
1577,1
1630,1
1631,1
1646,1
1666,1
1690,1
1691,1
1692,1
1696,1
1726,1
1728,1
1735,1
1736,1
1737,1
1738,1
1740,1
1741,1
1742,1
1780,1
1790,1
1795,1
1833,1
1873,1
1876,1
1877,1
1878,1
1880,1
1887,1
1918,1
1923,1
1926,1
1931,1
1933,1
1951,1
1953,1
1954,1
1973,1
1983,1
1987,1
2011,1
2012,1
2015,1
2025,1
2042,1
2045,1
2046,1
2053,1
2056,1
2057,1
2058,1
2062,1
2086,1
2087,1
2090,1
2092,1
2124,1
2140,1
2148,1
2154,1
2192,1
2194,1
2195,1
2197,1
2198,1
2199,1
2205,1
2237,1
2290,1
2295,1
2307,1
2339,1
2344,1
2381,1
2395,1
2399,1
2437,1
2453,1
2494,1
2503,1
2504,1
2562,1
2565,1
2570,1
2600,1
2616,1
2636,1
2654,1
2662,1
2663,1
2665,1
2667,1
2668,1
2672,1
2705,1
2708,1
2717,1
2721,1
2740,1
2741,1
2752,1
2754,1
2784,1
2785,1
2786,1
2789,1
2790,1
2793,1
2796,1
2808,1
2816,1
2822,1
2846,1
2852,1
2858,1
2868,1
2869,1
2872,1
2876,1
2882,1
2928,1
2933,1
2944,1
2948,1
2956,1
2977,1
2978,1
2980,1
2981,1
2982,1
3002,1
3004,1
3015,1
3017,1
3026,1
3028,1
3031,1
3036,1
3053,1
3061,1
3068,1
3100,1
3104,1
3126,1
3127,1
3143,1
3144,1
3175,1
3227,1
3229,1
3230,1
3239,1
3246,1
3247,1
3250,1
3263,1
3278,1
3283,1
3291,1
3292,1
3293,1
3337,1
3344,1
3360,1
3363,1
3365,1
3367,1
3368,1
3369,1
3381,1
3396,1
3397,1
3406,1
3410,1
3412,1
3429,1
3431,1
3452,1
3455,1
3456,1
3477,1
3481,1
3493,1
3495,1
3498,1
3508,1
3543,1
3547,1
3553,1
3567,1
3569,1
3610,1
3614,1
3622,1
3635,1
3647,1
3655,1
3683,1
3685,1
3689,1
3690,1
3704,1
3707,1
3708,1
3714,1
3715,1
3735,1
3740,1
3741,1
3759,1
3772,1
3778,1
3781,1
3783,1
3829,1
3837,1
3843,1
3844,1
3846,1
3855,1
3856,1
3871,1
3878,1
3879,1
3886,1
3889,1
3890,1
3896,1
3909,1
3916,1
3935,1
3947,1
3964,1
3966,1
3979,1
3987,1
3992,1
3994,1
3997,1
4000,1
4002,1
4003,1
4004,1
4005,1
4021,1
4024,1
4025,1
4026,1
4027,1
4028,1
4030,1
4033,1
4039,1
4050,1
4055,1
4061,1
4068,1
4096,1
4097,1
4108,1
4118,1
4119,1
4120,1
4126,1
4135,1
4138,1
4175,1
4178,1
4187,1
4188,1
4189,1
4199,1
4209,1
4210,1
4217,1
4218,1
4228,1
4231,1
4232,1
4233,1
4235,1
4242,1
4243,1
4247,1
4256,1
4260,1
4261,1
4281,1
4283,1
4287,1
4309,1
4310,1
4326,1
4346,1
4347,1
4352,1
4353,1
4356,1
4373,1
4378,1
4403,1
4409,1
4441,1
4444,1
4445,1
4450,1
4457,1
4459,1
4464,1
4470,1
4476,1
4478,1
4480,1
4485,1
4486,1
4487,1
4517,1
4518,1
4549,1
4560,1
4561,1
4571,1
4596,1
4601,1
4619,1
4648,1
4649,1
4661,1
4662,1
4672,1
4673,1
4674,1
4698,1
4703,1
4706,1
4727,1
4756,1
4868,1
4903,1
4906,1
4911,1
4916,1
4929,1
4959,1
4971,1
4975,1
4976,1
4995,1
5008,1
5010,1
5048,1
5082,1
5118,1
5151,1
5173,1
5196,1
5206,1
5210,1
5243,1
5283,1
5288,1
5326,1
5329,1
5335,1
5364,1
5374,1
5440,1
5462,1
5513,1
5514,1
5523,1
5543,1
5568,1
5573,1
5585,1
5597,1
5599,1
5610,1
5634,1
5635,1
5649,1
5650,1
5665,1
5667,1
5681,1
5688,1
5698,1
5703,1
5718,1
5738,1
5746,1
5748,1
5754,1
5756,1
5762,1
5776,1
5783,1
5784,1
5786,1
5809,1
5814,1
5824,1
5825,1
5826,1
5827,1
5830,1
5845,1
5859,1
5860,1
5867,1
5871,1
5896,1
5900,1
5902,1
5903,1
5905,1
5910,1
5913,1
5946,1
