counter,crns
5,1
8,1
19,1
137,1
138,1
152,1
163,1
179,1
181,1
191,1
196,1
203,1
206,1
208,1
218,1
223,1
225,1
226,1
237,1
249,1
251,1
252,1
267,1
287,1
296,1
297,1
304,1
309,1
316,1
322,1
348,1
353,1
355,1
357,1
371,1
374,1
386,1
410,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
431,1
432,1
439,1
441,1
447,1
516,1
525,1
532,1
538,1
543,1
544,1
545,1
549,1
557,1
558,1
561,1
569,1
570,1
571,1
575,1
576,1
577,1
578,1
581,1
656,1
657,1
664,1
666,1
676,1
708,1
714,1
722,1
724,1
729,1
730,1
731,1
739,1
742,1
830,1
900,1
1003,1
1060,1
1097,1
1098,1
1136,1
1165,1
1168,1
1619,1
1621,1
1622,1
1624,1
1714,1
1726,1
1763,1
1990,1
2017,1
2047,1
2162,1
2163,1
2223,1
2239,1
2240,1
2241,1
2271,1
2439,1
2442,1
2444,1
2468,1
2471,1
2472,1
2473,1
2474,1
2475,1
3177,1
3178,1
3180,1
3200,1
3201,1
3211,1
3712,1
3734,1
3748,1
3751,1
3780,1
3789,1
3813,1
3814,1
3815,1
3816,1
3817,1
4014,1
4017,1
4030,1
4031,1
4033,1
4056,1
4099,1
4101,1
4102,1
4103,1
4104,1
4105,1
4107,1
4108,1
4109,1
4110,1
4113,1
4126,1
4127,1
4137,1
4146,1
4589,1
4602,1
4611,1
4614,1
4625,1
4633,1
4636,1
4646,1
4659,1
4660,1
4670,1
4672,1
4718,1
4720,1
4721,1
4723,1
4727,1
4728,1
4781,1
4783,1
4792,1
4805,1
4806,1
4839,1
4842,1
4891,1
4925,1
4948,1
4957,1
4966,1
4970,1
4982,1
4990,1
4994,1
5009,1
5011,1
5029,1
5030,1
5046,1
5048,1
5049,1
5052,1
5064,1
5081,1
5083,1
5087,1
5117,1
5121,1
5131,1
5133,1
5165,1
5179,1
5186,1
5191,1
5198,1
5206,1
5219,1
5222,1
5233,1
5235,1
5237,1
5260,1
5271,1
5546,1
5749,1
5751,1
5790,1
5792,1
5821,1
6036,1
6040,1
6052,1
6083,1
6085,1
6094,1
6096,1
6113,1
6134,1
6157,1
6215,1
6259,1
6284,1
6306,1
6322,1
6326,1
6351,1
6352,1
6353,1
6354,1
6355,1
6358,1
6359,1
6362,1
6364,1
6369,1
6370,1
6389,1
6390,1
6391,1
6393,1
6405,1
6406,1
6407,1
6413,1
6465,1
6467,1
6508,1
6514,1
6518,1
6589,1
6591,1
6593,1
6594,1
6599,1
6602,1
6603,1
6604,1
6605,1
6608,1
6610,1
6612,1
6627,1
6642,1
6661,1
6676,1
6680,1
6704,1
6705,1
6706,1
6724,1
6727,1
6728,1
6732,1
6734,1
6736,1
6843,1
6844,1
6865,1
6866,1
6873,1
6879,1
6882,1
6883,1
6923,1
6924,1
6964,1
6985,1
6999,1
7005,1
7020,1
7021,1
7024,1
7027,1
7046,1
7052,1
7109,1
7110,1
7115,1
7228,1
7237,1
7423,1
7427,1
7433,1
7439,1
7490,1
7492,1
7495,1
7496,1
7497,1
7589,1
7592,1
7593,1
7594,1
7598,1
7814,1
8062,1
8063,1
8164,1
8165,1
8171,1
8179,1
8182,1
8184,1
8250,1
8258,1
8262,1
8272,1
8276,1
8296,1
8315,1
8325,1
8326,1
8370,1
8374,1
8378,1
8381,1
8386,1
8412,1
8419,1
8422,1
8536,1
8551,1
8555,1
8673,1
8676,1
8683,1
8692,1
8694,1
8696,1
8701,1
8718,1
8732,1
8741,1
8778,1
8786,1
8788,1
8813,1
8834,1
8885,1
8932,1
8937,1
8958,1
8977,1
9006,1
9007,1
9008,1
9014,1
9015,1
9045,1
9106,1
9109,1
9112,1
9114,1
9137,1
9218,1
9229,1
9230,1
9232,1
9236,1
9240,1
9262,1
9572,1
9651,1
9652,1
9692,1
9737,1
9742,1
9762,1
9789,1
9826,1
9828,1
9829,1
9835,1
9838,1
9839,1
9918,1
9919,1
9925,1
9935,1
9936,1
9940,1
9960,1
9975,1
9983,1
9995,1
9996,1
10000,1
10002,1
10006,1
10007,1
10008,1
10012,1
10013,1
10027,1
10029,1
10034,1
10040,1
10041,1
10057,1
10059,1
10073,1
10074,1
10099,1
10111,1
10113,1
10114,1
10120,1
10122,1
10123,1
10300,1
10303,1
10304,1
10306,1
10314,1
10324,1
10334,1
10335,1
10343,1
10420,1
10421,1
10427,1
10435,1
10539,1
10568,1
10594,1
10596,1
10665,1
10767,1
10773,1
10779,1
10788,1
10789,1
10795,1
10796,1
10797,1
10798,1
10804,1
10814,1
10894,1
10970,1
11317,1
11318,1
11319,1
11321,1
11322,1
11323,1
11325,1
11330,1
11331,1
11332,1
11333,1
11346,1
11348,1
11350,1
11364,1
11367,1
11372,1
11373,1
11380,1
11415,1
11416,1
11419,1
11429,1
11431,1
11444,1
11448,1
11456,1
11461,1
11471,1
11494,1
11496,1
11563,1
11579,1
11581,1
11606,1
11623,1
11625,1
11649,1
11665,1
11676,1
11695,1
11721,1
11798,1
11834,1
11876,1
11877,1
11878,1
11886,1
11887,1
11889,1
11890,1
11895,1
11896,1
11898,1
11899,1
11900,1
11901,1
11904,1
11905,1
11906,1
11907,1
11915,1
11917,1
11919,1
11930,1
11931,1
11933,1
11943,1
11945,1
11946,1
11955,1
11967,1
11997,1
11998,1
12111,1
12123,1
12170,1
12300,1
12312,1
12315,1
12334,1
12335,1
12341,1
12347,1
12353,1
12357,1
12391,1
12393,1
12394,1
12430,1
12450,1
12469,1
12477,1
12505,1
12523,1
12534,1
12546,1
12548,1
12557,1
12578,1
12609,1
12614,1
12615,1
12626,1
12641,1
12662,1
12667,1
12696,1
12701,1
12702,1
12703,1
12713,1
12719,1
12722,1
12723,1
12754,1
12762,1
12763,1
12772,1
12813,1
12818,1
12829,1
12830,1
12846,1
12860,1
12916,1
12931,1
12946,1
12947,1
12948,1
13199,1
13209,1
13211,1
13212,1
13214,1
13216,1
13217,1
13219,1
13223,1
13226,1
13227,1
13229,1
13230,1
13290,1
13406,1
13466,1
13469,1
13508,1
13535,1
13536,1
13575,1
13578,1
13612,1
13613,1
13623,1
13637,1
13670,1
13732,1
13733,1
13739,1
13740,1
13742,1
13765,1
13785,1
13793,1
13797,1
13800,1
13801,1
13804,1
13805,1
13807,1
13810,1
13812,1
13874,1
13908,1
13910,1
13915,1
13917,1
14071,1
14075,1
14096,1
14097,1
14170,1
14230,1
14347,1
14409,1
14411,1
14552,1
14558,1
14760,1
14790,1
14842,1
14843,1
14868,1
14870,1
14876,1
14982,1
15014,1
15038,1
15043,1
15056,1
15153,1
15179,1
15184,1
15185,1
