counter,crns
57,1
60,1
63,1
94,1
197,1
276,1
277,1
279,1
289,1
431,1
542,1
548,1
549,1
553,1
560,1
570,1
573,1
641,1
719,1
748,1
750,1
751,1
770,1
790,1
869,1
944,1
953,1
957,1
960,1
965,1
986,1
1006,1
1010,1
1019,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1048,1
1096,1
1116,1
1216,1
1229,1
1247,1
1305,1
1402,1
1409,1
1410,1
1421,1
1478,1
1500,1
1593,1
1624,1
1648,1
1664,1
1671,1
1676,1
1719,1
1720,1
1743,1
1819,1
1859,1
1867,1
1928,1
1937,1
1950,1
2042,1
2072,1
2076,1
2077,1
2088,1
2092,1
2093,1
2109,1
2182,1
2183,1
2221,1
2231,1
2234,1
2283,1
2292,1
2293,1
2294,1
2316,1
2402,1
2403,1
2404,1
2435,1
2468,1
2510,1
2535,1
2539,1
2540,1
2589,1
2601,1
2615,1
2616,1
2708,1
2784,1
2888,1
2889,1
2920,1
2925,1
2944,1
2950,1
3052,1
3053,1
3054,1
3055,1
3110,1
3118,1
3270,1
3333,1
3335,1
3336,1
3337,1
3343,1
3347,1
3368,1
3371,1
3376,1
3457,1
3571,1
3577,1
3648,1
3657,1
3749,1
3965,1
4063,1
4117,1
4137,1
4141,1
4143,1
4145,1
4149,1
4152,1
4185,1
4190,1
4193,1
4204,1
4209,1
4218,1
4227,1
4250,1
4262,1
4279,1
4290,1
4424,1
4444,1
4447,1
4449,1
4459,1
4469,1
4471,1
4484,1
4495,1
4507,1
4508,1
4534,1
4535,1
4552,1
4571,1
4581,1
4695,1
4698,1
4700,1
4710,1
4720,1
4745,1
4746,1
4747,1
4748,1
4754,1
4755,1
4796,1
4810,1
4833,1
4835,1
4854,1
4857,1
4864,1
4865,1
4882,1
4898,1
4943,1
4970,1
4974,1
4992,1
4998,1
5006,1
5007,1
5018,1
5035,1
5068,1
5072,1
5141,1
5188,1
5214,1
5278,1
5315,1
5443,1
5493,1
5511,1
5513,1
5525,1
5544,1
5554,1
5587,1
5593,1
5638,1
5723,1
5774,1
5778,1
5783,1
5784,1
5785,1
5791,1
5794,1
5798,1
5799,1
5802,1
5806,1
5812,1
5813,1
5815,1
5818,1
5820,1
5821,1
5826,1
5827,1
5828,1
5830,1
5831,1
5834,1
5853,1
5864,1
5910,1
5927,1
6034,1
6054,1
6062,1
6068,1
6074,1
6085,1
6095,1
6110,1
6129,1
6140,1
6142,1
6160,1
6161,1
6179,1
6196,1
6206,1
6207,1
6227,1
6250,1
6256,1
6265,1
6266,1
6273,1
6274,1
6295,1
6297,1
6300,1
6303,1
6304,1
6312,1
6325,1
6337,1
6343,1
6377,1
6387,1
6400,1
6408,1
6470,1
6484,1
6499,1
6500,1
6516,1
6520,1
6523,1
6539,1
6591,1
6617,1
6694,1
6741,1
6748,1
6752,1
6774,1
6786,1
6836,1
6950,1
6951,1
6954,1
6974,1
6980,1
6981,1
6982,1
6983,1
6984,1
6985,1
7000,1
7001,1
7005,1
7009,1
7025,1
7028,1
7090,1
7126,1
7278,1
7330,1
7372,1
7486,1
7489,1
7493,1
7612,1
7614,1
7617,1
7688,1
7689,1
7696,1
7697,1
7698,1
7699,1
7700,1
7701,1
7703,1
7704,1
7705,1
7706,1
7707,1
7717,1
7718,1
7722,1
7860,1
7869,1
7897,1
7927,1
7929,1
