counter,crnv
136,1
139,1
140,1
141,1
142,1
153,1
158,1
216,1
223,1
224,1
233,1
246,1
247,1
249,1
250,1
251,1
252,1
253,1
255,1
257,1
258,1
260,1
261,1
262,1
263,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
281,1
285,1
290,1
294,1
296,1
302,1
303,1
304,1
305,1
403,1
437,1
445,1
446,1
495,1
500,1
508,1
541,1
558,1
578,1
598,1
603,1
606,1
607,1
608,1
610,1
611,1
619,1
634,1
635,1
637,1
640,1
642,1
643,1
646,1
657,1
663,1
670,1
679,1
681,1
684,1
694,1
695,1
697,1
698,1
701,1
702,1
703,1
705,1
706,1
707,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
722,1
723,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
741,1
743,1
772,1
778,1
779,1
786,1
788,1
796,1
799,1
803,1
880,1
885,1
886,1
890,1
898,1
900,1
904,1
907,1
941,1
946,1
949,1
950,1
956,1
957,1
958,1
991,1
993,1
1006,1
1016,1
1020,1
1023,1
1025,1
1027,1
1033,1
1035,1
1057,1
1060,1
1088,1
1133,1
1134,1
1207,1
1208,1
1211,1
1216,1
1224,1
1227,1
1233,1
1238,1
1241,1
1242,1
1247,1
1248,1
1249,1
1250,1
1251,1
1265,1
1266,1
1279,1
1292,1
1299,1
1300,1
1307,1
1311,1
1312,1
1313,1
1320,1
1322,1
1323,1
1324,1
1325,1
1382,1
1392,1
1397,1
1398,1
1399,1
1418,1
1419,1
1420,1
1426,1
1429,1
1430,1
1444,1
1445,1
1446,1
1449,1
1477,1
1478,1
1485,1
1486,1
1487,1
1488,1
1493,1
1494,1
1498,1
1499,1
1500,1
1501,1
1502,1
1516,1
1517,1
1518,1
1528,1
1529,1
1530,1
1531,1
1532,1
1542,1
1547,1
1548,1
1553,1
1554,1
1559,1
1589,1
1591,1
1602,1
1604,1
1610,1
1611,1
1615,1
1616,1
1626,1
1634,1
1635,1
1636,1
1653,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1673,1
1675,1
1676,1
1704,1
1705,1
1706,1
