counter,crnv
1,1
7,1
13,1
24,1
25,1
28,1
36,1
37,1
47,1
48,1
49,1
50,1
51,1
56,1
57,1
59,1
60,1
61,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
78,1
80,1
82,1
84,1
86,1
125,1
126,1
130,1
131,1
136,1
166,1
169,1
172,1
175,1
179,1
180,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
195,1
219,1
222,1
224,1
226,1
240,1
241,1
245,1
247,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
268,1
270,1
271,1
273,1
280,1
288,1
289,1
293,1
300,1
302,1
308,1
314,1
316,1
317,1
320,1
323,1
326,1
334,1
335,1
336,1
339,1
345,1
358,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
377,1
381,1
385,1
386,1
393,1
402,1
404,1
405,1
407,1
412,1
416,1
420,1
421,1
430,1
440,1
442,1
452,1
454,1
464,1
465,1
472,1
473,1
474,1
495,1
498,1
502,1
504,1
509,1
531,1
536,1
541,1
542,1
543,1
544,1
550,1
554,1
558,1
559,1
567,1
579,1
582,1
583,1
584,1
585,1
595,1
605,1
606,1
607,1
623,1
632,1
634,1
635,1
636,1
637,1
639,1
649,1
671,1
673,1
681,1
687,1
689,1
690,1
695,1
699,1
717,1
720,1
722,1
726,1
727,1
730,1
733,1
734,1
735,1
736,1
738,1
739,1
751,1
752,1
764,1
765,1
766,1
768,1
769,1
776,1
784,1
785,1
796,1
801,1
803,1
804,1
826,1
827,1
828,1
830,1
840,1
841,1
846,1
850,1
851,1
852,1
853,1
856,1
878,1
884,1
908,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
930,1
940,1
951,1
981,1
983,1
988,1
991,1
992,1
997,1
999,1
1004,1
1007,1
1008,1
1015,1
1018,1
1029,1
1030,1
1031,1
1038,1
1039,1
1040,1
1049,1
1057,1
1087,1
1089,1
1091,1
1092,1
1094,1
1095,1
1109,1
1110,1
1116,1
1126,1
1131,1
1155,1
1160,1
1166,1
1173,1
1174,1
1176,1
1179,1
1194,1
1198,1
1214,1
1215,1
1217,1
1218,1
1220,1
1228,1
1236,1
1237,1
1239,1
1255,1
1256,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,1
1268,1
1269,1
1270,1
1272,1
1273,1
1274,1
1275,1
1276,1
1278,1
1280,1
1284,1
1293,1
1295,1
1299,1
1302,1
1304,1
1305,1
1306,1
1307,1
1309,1
1319,1
1321,1
1324,1
1344,1
1345,1
1346,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1360,1
1361,1
1364,1
1365,1
1368,1
1369,1
1370,1
1375,1
1377,1
1381,1
1382,1
1383,1
1384,1
1386,1
1388,1
1389,1
1392,1
1393,1
1400,1
1402,1
1404,1
1411,1
1416,1
1417,1
1420,1
1422,1
1426,1
1427,1
1428,1
1432,1
1433,1
1439,1
1450,1
1455,1
1460,1
1461,1
1462,1
1463,1
1464,1
1475,1
1481,1
1483,1
1488,1
1489,1
1490,1
1496,1
1497,1
1503,1
1508,1
1509,1
1516,1
1523,1
1529,1
1530,1
1533,1
1540,1
1541,1
1542,1
1552,1
1555,1
1556,1
1575,1
1576,1
1587,1
1590,1
1592,1
1593,1
1595,1
1602,1
1603,1
1605,1
1606,1
1607,1
1608,1
1609,1
1612,1
1613,1
1616,1
1617,1
1619,1
1623,1
1630,1
1631,1
1632,1
1633,1
1634,1
1636,1
1648,1
1652,1
1653,1
1656,1
1657,1
1658,1
1660,1
1662,1
1665,1
1673,1
1678,1
1681,1
1683,1
1685,1
1694,1
1695,1
1696,1
1697,1
1699,1
1700,1
1701,1
1704,1
1710,1
1711,1
1712,1
1713,1
1715,1
1724,1
1727,1
1729,1
1731,1
1732,1
1733,1
1734,1
1735,1
1737,1
1739,1
1740,1
1744,1
1761,1
1785,1
1787,1
1790,1
1798,1
1800,1
1818,1
1819,1
1831,1
1833,1
1834,1
1837,1
1842,1
1843,1
1845,1
1851,1
1870,1
1889,1
1890,1
1891,1
1893,1
1895,1
1898,1
1900,1
1901,1
1902,1
1908,1
1910,1
1918,1
1919,1
1921,1
1927,1
1931,1
1950,1
1951,1
1953,1
1956,1
1957,1
1958,1
1959,1
1960,1
1966,1
1971,1
1973,1
1974,1
1978,1
1979,1
1987,1
1990,1
2007,1
2027,1
2028,1
2035,1
2041,1
2068,1
2070,1
2071,1
2073,1
2075,1
2077,1
2078,1
2079,1
2082,1
2086,1
2097,1
2098,1
2099,1
2100,1
2109,1
2110,1
2121,1
2122,1
2123,1
2130,1
2137,1
2141,1
2150,1
2152,1
2157,1
2158,1
2164,1
2165,1
2170,1
2183,1
2188,1
2193,1
2195,1
2217,1
2218,1
2219,1
2220,1
2226,1
2230,1
2237,1
2239,1
2249,1
2260,1
2261,1
2262,1
2263,1
2264,1
2268,1
2279,1
2285,1
2292,1
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2308,1
2317,1
2332,1
2335,1
2338,1
2340,1
2345,1
2382,1
2384,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2410,1
2415,1
2417,1
2429,1
2436,1
2437,1
2438,1
2444,1
2445,1
2453,1
2455,1
2456,1
2459,1
2464,1
2467,1
2470,1
2474,1
2477,1
2487,1
2490,1
2494,1
2495,1
2496,1
2509,1
2510,1
2515,1
2533,1
2537,1
2540,1
2547,1
2548,1
2553,1
2558,1
2573,1
2574,1
2575,1
2576,1
2577,1
2579,1
2601,1
2602,1
2606,1
2607,1
2609,1
2620,1
2628,1
2630,1
2638,1
2641,1
2647,1
2649,1
2652,1
2665,1
2666,1
2667,1
2678,1
2695,1
2696,1
2697,1
2698,1
2701,1
2703,1
2706,1
2721,1
2746,1
2752,1
2753,1
2754,1
2759,1
2763,1
2765,1
2766,1
2767,1
2782,1
2794,1
2796,1
2802,1
2803,1
2805,1
2811,1
2812,1
2813,1
2816,1
2817,1
2822,1
2827,1
2828,1
2829,1
2832,1
2839,1
2841,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,1
2851,1
2852,1
2854,1
2856,1
2857,1
2858,1
2876,1
2889,1
2890,1
2897,1
2915,1
2916,1
2922,1
2923,1
2924,1
2926,1
2929,1
2934,1
2936,1
2940,1
2950,1
2951,1
2962,1
2968,1
2969,1
2971,1
2972,1
2990,1
2993,1
2994,1
2999,1
3013,1
3014,1
3015,1
3023,1
3033,1
3037,1
3100,1
3102,1
3104,1
3129,1
3130,1
3133,1
3134,1
3136,1
3138,1
3140,1
3141,1
3147,1
3148,1
3150,1
3151,1
3153,1
3155,1
3163,1
3164,1
3165,1
3166,1
3167,1
3168,1
3169,1
3170,1
3174,1
3177,1
3179,1
3180,1
3183,1
3184,1
3185,1
3186,1
3191,1
3212,1
3224,1
3225,1
3230,1
3232,1
3233,1
3234,1
3235,1
3236,1
3237,1
3238,1
3239,1
3240,1
3241,1
3243,1
3244,1
3246,1
3247,1
3248,1
3260,1
3263,1
3264,1
3265,1
3266,1
3270,1
3273,1
3274,1
3275,1
3276,1
3278,1
3279,1
3282,1
3294,1
3298,1
3313,1
3324,1
3325,1
3341,1
3342,1
3349,1
3354,1
3356,1
3359,1
3366,1
3372,1
3377,1
3378,1
3380,1
3381,1
3387,1
3389,1
3397,1
3399,1
3410,1
3415,1
3419,1
3420,1
3423,1
3426,1
3427,1
3431,1
3433,1
3452,1
3454,1
3455,1
3457,1
3459,1
3467,1
3472,1
3473,1
3475,1
3483,1
3484,1
3485,1
3486,1
3488,1
3494,1
3496,1
3504,1
3507,1
3509,1
3512,1
3518,1
3521,1
3522,1
