username1,meta1
GigaPlop,1
Chima4mani,0
AshworthVaz,0
Maggiemae154,1
Matthew Welker,1
Rj Balam,1
Marty Rampola,0
Ejazhussaini786,1
Telacks,1
Nadyhere,1
Purkaple,1
Liblaura,1
Ujjwal kannaujia,1
DuxInvictus,0
EnglishLoverWillie,1
NICHOLASKIMBRELL,1
Ailbeoreilly,1
Dnigmonova,1
Monetizeyourcat,1
Mariotheguy12,1
Millie Vadgama,1
Kasergc,1
Annfrenkel,1
TenseBeaver,1
Sandeepyadav.sky,1
Bredion1,0
Jordanslytherin,1
Tremonist,1
Hjmason92,0
Pstanish,1
Tiffany Luong,1
Khashayarteimoori,1
Cassmariepeterson77,1
Pavlosvos,0
Premmobile7296,1
Finch2017,1
Garamondo,1
Neeraj28101992,1
Kattriss,1
Pokemonsilph,0
Carlahaunted,1
Curre,1
Gamloth,1
Pedalla,1
SoupaAvgoLemono,1
Jonahcr,1
Johansen.fred,1
Wt2213,1
Nolly E Makaveli,1
Peolyop,0
Bhill579,0
WilliamLehnsherr,0
DrVenusNicolino,0
August H,1
NishachaudharyMAX,0
Ishwar Kataria,1
Dhoustonjackson,1
Josephdan,1
Sportguru,1
Nnjjbb,0
Tarombo-Turi Turian Siraja Turnip,1
Bspell4625,1
DaydreamsUK,0
HenryBaker2,1
Dilitikus 879,1
Wolfwin,0
DLadyInRed,1
Foldingbro,1
Buckwheatloaf,0
Jayy Savii,1
LaLo.Lobo,1
RuroniHS,0
Nehal Kumar Sharma,1
Applejames,0
Arshadihlas,1
Christie Nicoson,1
J66 J66,0
Alpatrum23,1
Heidi McMahon,1
Aiueoka,1
Jwilliams124,1
Ahmed habeeb hamed khamoor,1
Ihyb0192,1
LouiseNewell,1
Suzanne-Hollingsworth,1
Saabski,1
Rockstargamesyy,1
Nickelroy,0
Tunby,1
LazloFeelo,0
Kishore Ananth. J,1
Tlenyard,1
Gil.qtrax,1
JJ Ladd,1
Ckl26,1
Sismarinho,1
Renayrz,1
Eona16,0
Haider mewati,0
Second breakfast,0
Mcorasan,0
Sarapaedia,0
Felknight,1
Fahad alshayji,1
Andrew Parodi CEO,0
Marionpasschier,1
Michi62,1
Sujith rao kothwal,1
Milos Kovacevic,1
Ikeme1185,0
Sinsavernada,0
Ziam tay,1
Checkingfax-TWA,1
Skoogs,1
Evibase,0
Musicloverkyleen,1
Ddk2130,0
Ptmalm,1
Thegamerguy720,1
KhalilAziz,0
Kmk982013,1
Patrakaar,1
Kingnasv,0
SantiaguitoIII,0
Dtomasi11,1
Gusainniit,1
Putting things straight,0
BarrettHess,0
Maxwell.morin,1
JBanton,0
MuhammadSAMIAttari,0
ROHIT RAJ RAWAT,1
Clear Agency,1
HavenWikiWiki,0
MarieBlaabjerg,1
Newsmill,0
Knowledgeforyou101,0
Rockyr1156,0
14DE998,1
ThePrezInJapan,1
Le maitre16,0
Edvin121,1
CandiceWho,1
Editorfun,1
Rohit Bhambhu,1
Akohutnicki,1
Salla74,1
Thewordsmith9,0
Papalpopper,1
Francinum,1
Maszkovic,1
Nasrullahkhan55,1
KaminariTheFirst,1
Shawdaniel,1
Dr.Bob frank,0
MLA253,1
Illucidation,1
Jpclos,0
Klreinhardt,1
WEST145,0
Nazzriya22,1
Ital gal,1
StephanieKIP,0
Davidmarchi,1
Ikkakm,1
Swedam,1
Tsfardea,1
Asdfghjklcss,1
Xathereal,0
Rexy69,1
Binishnb,1
Mqlcantu,0
JamesFX2,1
Lenerdherd,0
Whittle88,1
Lamakufa,1
Saeed.ali.zahrani,0
Juliaverret,0
Sidra456,1
ChrisNolanH,0
Sunkins,1
Pakozm,0
Trmwikifa,0
KathrynHKlos2,0
Danik Panda,1
Rashmiranjan.rash,0
Hafaz Refrisa Maulana Aremania II,1
Zreeves211,1
Ounces,1
Bluesky987,0
