username1,nts_nts
Franksmith229,1
TreesAreNotGood,0
Rileywwofs1,0
Tryuee,0
Vanda0101,1
Beanstalkjack,0
Dick and dom,0
Rochestersais,0
Kenshiinalternateform,0
Justingiovanni,0
Hdskumm,0
Knowledgeball,0
Vallpages,0
WaffleMuncher,0
5646547654653452a,0
Wowsas67,0
Dylanka126,0
Shmehh36,0
Jackcars123,0
Mills3270,0
Johnnojammy,0
Shijomonthomas,0
Onixgh,0
ValuedContributor,0
Watdahek,1
Sarahmartinofnewyork,0
MacedoniaisMacedonia,0
Hldavis17,0
Whyyounohackme,0
Brownguy123,0
KieranWATERS,0
PopsLover,0
Swagtaha,0
Monkeypolice000,1
Tomsimpson1,0
Spenda509,0
CoinVaultLover,0
Stilllegit,0
Yodaddy555,0
Jaymcyo,0
Antinorms,0
111no111,0
EverybodyHz,0
MHJRA,0
Mattyran,0
Proskatr,0
Tabrnakus,0
Nomatey,0
Themaxandpeter,0
Wwwwwwwf,0
Keijaun123,0
Zaneb17,0
Jayzeeboo,0
XVmage456,0
Meowcats69ps3,0
Camelsareawesome,1
Qwerty3.o,0
RespectorGadget,0
ButterNuggets777,1
Blahblahblah12345678,0
Lebronfodjames,0
Bluebonez123,2
Benjytdog,0
Ballsohardpopowanafindme,0
Skullkid00x,0
Giannird123,0
Abos in paris,0
Rittman1,0
Kewlkids123,0
Alfie1234,0
Qfang12,0
Chrislcfc1,0
Potatoes2198,0
Febut33,2
Weedisstupid,0
Jase1997,0
Madistaten,0
Justinlogin,0
Stefanthegreat12,0
Ortomy1,0
Gingerrules,0
Lewisdixon123,0
Cramlingtonhighshool2013,0
HiIamanactualguy,0
Wadehh,0
AstoniA,0
Hillatoppa,1
Dave Daveson123,0
PerPerHiss,0
Mexicanpride69,0
Zombieloustrikesagain,0
Chineesegamertag,0
FanforClark13,1
Rsthelighting,0
Wilt02468,1
Kurrymurr,0
Topmodelallnew,5
RealMI6Fan,2
StrandedSoup,0
OceanBlue13,0
Ldoss11,0
Nunx,0
NIALLLLLL,0
Mimidawn17,0
Falca0123,1
Charlie Bronson,0
Iansonnnn,0
Iluvangelt,0
Salsudoikari,0
DragonEndless0,0
Dan709opi,0
Scooter2013,0
Tescohorse,0
Swaggergirl3emo,0
The decor,0
OsamaLaden67,0
Josswhite,1
Thecoolman124,0
Luserface1,0
WadewinstonWilson,0
Alberttheeinstien,0
Billy hilly,1
Djdjdjdjj,0
Honorabletundra,0
SarahShoshana,0
Himsis,0
Pugs10,0
CelticIrish1996,1
Durkadurka987654321,0
Wikitroller13,0
CSBulut14,4
Sambullimore97,1
Georgebridges1221,0
Derpedia,0
Theericnoscar,0
Weejobby1,0
Seankerley19,0
Account123456,0
Mummy29,0
Dustin2k4,0
KINGKAMEHAMEHAVI4ever,0
Hugme65,0
Abzismad,0
Sndtvs,0
June Q Choi,0
Wateryshadesofgrey,0
JON123,0
Asassasasasasassasasasasasa,0
Sert112,0
Hypereagle2655,0
XemnasUndead,0
Sean mcgravy,2
Fatchick107,0
AnirbanWikiUpdate,0
Jonphipps97,0
18HI`,1
Relykk,0
Crystal Milk,0
Hibernated Panda,0
Bruce Lee The Kid,1
Penguin8997,0
Trayawesome,0
Superboop,0
Ballin777,0
Gary waterhouse,0
Gmoney97,1
Naomiz,0
Lakaboos,0
JahleeleStanley,0
Temuujin2001,0
Wraley98,0
ASUSK401E,0
Thenumberonegeniusoftheevent,0
Gir4rocks,0
Rocky Bilboa,1
RiseofAnglotopia,0
Bobbyman12345,0
Armyofandroid,0
SirJimmySavileOBE,0
Theniallmc1,0
Gir2rocks,1
Findward,0
Ombeskoft,4
Hacker921,1
Karsevak,4
Porbaan,1
MikePancho,0
Furutututu shitrititi 2,0
Sexysandy111,0
Mattstevensmullet,0
Celinastudent,0
Aryanjaipur,0
Koolman69,0
Tomstery,0
Weinbergjos2,0
Aaronminer123,1
Skankadoodles,0
Aircraft1,0
Olive234,0
Kfleet,0
FLE123,0
Huddieman,0
Omar.J.Omar,1
Manojledjordjevic,0
Alexander585,2
Jerdem,2
Taniquab2014,0
Yorkearl,3
Dougefreshberries,1
Matteblackful,0
Mail Facts,3
Coolermaster1314,0
Nipplecruncher,0
Timothyh3553,0
Noskcaj10,0
Angst1005,23
Emremmacs,0
PurpleZebra64,0
Jakegantt4,8
Dkusnitz,0
Geggs,0
Ill hammer the door down,0
"Shan,s,985",0
Yunusemregenc,4
Chriskingsnake,0
Jadenbraun,2
PETEY 123,0
Alfie594,0
Nikhilgraphicskielpetal,0
XNinjax45s,1
Zarafirecat,0
Troyalexander65,0
Ntvert,2
