counter,ntus
15,0
17,0
50,0
91,0
94,0
154,0
161,0
273,0
330,0
346,0
349,0
351,0
415,0
855,0
856,0
921,0
959,0
969,0
981,0
997,0
1027,0
1030,0
1045,0
1053,0
1066,0
1090,0
1102,0
1363,0
1367,0
1380,0
1406,0
1413,0
1421,0
1425,0
1434,0
1441,0
1474,0
1475,0
1482,0
1553,0
1702,0
1827,0
1836,0
1841,0
1865,1
1866,1
1876,0
1898,0
1916,0
1924,0
1955,0
1956,0
1962,0
1966,0
1980,0
1988,0
1993,0
2002,0
2003,0
2012,0
2015,0
2019,0
2032,0
2033,0
2034,0
2037,0
2059,0
2064,0
2070,0
2086,0
2135,0
2459,0
2590,1
2783,0
2856,0
2857,1
2888,0
2906,0
2992,0
2993,0
3011,0
3019,0
3029,0
3030,0
3149,0
3193,0
3194,0
3203,0
3234,0
3236,0
3252,0
3262,0
3271,0
3293,0
3295,0
3303,0
3332,0
3334,0
3664,0
3767,0
3788,0
3971,0
3986,0
3987,0
4001,0
4008,0
4009,0
4020,0
4027,0
4028,0
4031,0
4037,0
4038,0
4073,0
4086,0
4087,0
4094,0
4118,0
4149,0
4182,0
4192,0
4242,0
4485,0
4507,0
4635,1
4636,1
4639,0
4654,0
4674,0
4683,0
4687,0
4702,0
4704,0
4731,0
4748,0
4750,0
4755,0
4757,0
4765,0
4779,0
4780,0
4796,0
4800,0
4806,0
4819,0
4838,0
4841,0
4844,0
4846,0
4853,0
4892,0
4893,0
4955,0
4956,0
4976,0
5071,0
5083,0
5115,0
5195,0
5202,0
5226,0
5228,0
5235,0
5236,0
5250,0
5267,0
5268,0
5276,0
5297,0
5314,0
5348,0
5356,0
5362,0
5363,0
5411,0
5551,0
5554,0
5555,0
5578,0
5619,0
5645,0
5668,0
5679,0
5681,0
5685,0
5699,0
5735,0
5772,0
5773,0
5801,0
5807,0
5812,0
5813,0
5816,0
5818,0
5823,0
5835,0
5888,0
5901,0
5903,0
5916,0
5919,0
5921,0
5933,1
5934,1
5946,0
5948,0
5949,0
5950,0
5952,0
5958,0
5961,0
5998,0
5999,0
6000,0
6005,0
6008,0
6013,0
6021,0
6025,0
6031,0
6035,0
6037,0
6040,0
6044,0
6047,0
6169,0
6250,0
6305,0
6438,0
6448,0
6455,0
6465,0
6475,1
6491,0
6511,0
6528,0
6529,0
6558,0
6561,0
6563,0
6612,0
6615,0
6665,0
6666,0
6670,0
6694,0
6705,0
6710,0
6744,0
6871,0
6921,1
7013,0
7021,0
7054,0
7056,0
7059,0
7064,0
7069,0
7078,0
7080,0
7083,0
7086,0
7088,0
7100,0
7105,0
7130,0
7131,0
7182,0
7185,0
7196,0
7225,0
7235,0
7253,0
7263,0
7275,0
7280,0
7283,0
7347,0
7356,0
7473,0
7591,1
7676,0
7681,0
7691,0
7739,0
7741,0
7744,0
7749,0
7753,0
7755,0
7797,0
7798,0
7814,0
7835,0
7926,0
7948,0
7962,0
7968,0
7996,0
8010,1
8019,0
8086,0
8101,0
8105,0
8118,0
8129,0
8130,0
8135,0
8143,0
8144,0
8191,0
8326,0
8328,0
8329,0
8341,0
8342,0
8378,0
8385,0
8386,0
8427,0
8445,0
8473,0
8521,0
8541,0
8547,0
8576,0
8620,0
8621,0
8687,0
8729,0
8759,0
8799,0
8810,0
8816,0
8850,0
8852,0
8853,0
8858,0
8921,0
8930,0
8938,0
8954,0
8957,0
8968,0
8986,0
8992,0
8993,0
9088,0
9112,0
9113,0
9170,0
9172,0
9179,0
9182,0
9190,0
9192,1
9195,1
9218,0
9222,0
9237,0
9260,0
9273,0
9365,0
9367,0
9440,0
9507,0
9508,1
9582,0
9584,0
9587,0
9608,0
9611,1
9624,0
9626,0
9644,0
9648,1
9678,0
9679,0
9681,0
9683,1
9686,1
9694,0
9697,0
9712,0
9726,0
9727,0
9729,1
9923,0
9924,0
9953,0
9965,0
9990,0
10034,0
10035,0
10044,0
10045,0
10057,0
