counter,ntus
178,1
246,0
253,0
558,0
561,0
582,0
603,0
690,1
691,0
694,0
695,0
696,0
941,0
1035,0
1107,0
1132,1
1295,0
1372,0
1505,0
1539,0
1611,0
1612,0
1614,0
2008,0
2193,0
2241,0
2522,0
2634,0
2872,0
3116,0
3152,1
3157,0
3377,1
3464,0
3478,0
3604,0
3870,0
3928,0
3929,1
3968,0
3970,0
4073,0
4190,0
4482,0
4494,0
4881,0
4882,0
5080,0
5094,1
5169,0
5286,0
5582,0
5643,0
5650,0
5651,0
5653,0
5655,0
5656,1
5679,0
5680,0
5693,0
5694,0
5698,0
5703,0
5729,0
5736,0
5759,0
5838,0
5882,0
5925,0
5972,0
6089,0
6112,0
6248,0
6277,0
6279,0
6284,1
6285,0
6311,0
6313,0
6401,0
6408,0
6417,1
6444,0
6491,0
6537,0
6641,1
6644,0
6660,0
6662,0
6683,0
6701,0
6703,1
6945,0
6974,0
7230,1
7275,1
7298,1
7306,1
7344,0
7345,0
7346,0
7347,0
7400,0
7410,0
7476,0
7502,0
7557,0
7593,0
7594,0
7615,0
7619,0
7627,0
7634,0
7667,0
7700,0
7753,0
7877,0
7927,0
7928,0
7929,0
7981,0
7988,0
7989,0
8071,0
8077,0
8184,1
8347,0
8356,0
8422,0
8424,1
8488,0
8491,0
8505,0
8625,0
8719,0
8797,0
8837,0
8853,0
8872,0
8929,0
8931,0
8934,0
8936,0
8937,0
8949,0
8951,1
8972,0
9033,0
9046,0
9059,1
9091,0
9103,1
9120,0
9122,0
9140,0
9160,0
9167,0
9212,0
9213,0
9218,0
9229,0
9275,0
9276,0
9299,0
9345,0
9484,0
9899,0
10014,1
