username1,pagetitle1,pagetitle2,counter
GigaPlop,Talk:Ghouta chemical attack,Talk:Wikipedia,1
Chima4mani,South Africa national football team,Paul Tangi Mhova Mkondo,6
Chima4mani,Paul Tangi Mhova Mkondo,Zimbabweans in the United Kingdom,12
Chima4mani,Paul Tangi Mhova Mkondo,Rhodesian Bush War,52
Chima4mani,Rhodesian Bush War,Edgar Tekere,53
Chima4mani,Paul Tangi Mhova Mkondo,Computer security,64
Chima4mani,Talk:Paul Tangi Mhova Mkondo,Deaths in May 2013,70
Chima4mani,Deaths in May 2013,User:Chima4mani/Kingsley JN Mamabolo,71
Chima4mani,Paul Tangi Mhova Mkondo,Robert Mugabe,76
Chima4mani,Robert Mugabe,University of Zimbabwe,80
Chima4mani,University of Zimbabwe,User:Chima4mani/sandbox,82
Chima4mani,User:Chima4mani/sandbox,Paul Mangwana,85
Chima4mani,Olusegun Obasanjo,Solomon Mujuru,108
Chima4mani,Solomon Mujuru,Nelson Mandela,113
Chima4mani,Death of Nelson Mandela,Umkhonto we Sizwe,117
Chima4mani,Umkhonto we Sizwe,James Makamba,119
Chima4mani,Paul Tangi Mhova Mkondo,Template:Apartheid,123
Chima4mani,Template:Apartheid,Zimbabwe African National Union,126
Chima4mani,Zimbabwe African National Union,ZANU–PF,129
Chima4mani,ZANU–PF,Simon Khaya-Moyo,137
Chima4mani,Edgar Tekere,Witness Mangwende,142
Chima4mani,Nathan Shamuyarira,Simbarashe Mumbengegwi,147
Chima4mani,Paul Tangi Mhova Mkondo,African American,177
Chima4mani,African American,List of Zimbabweans,178
Chima4mani,Masvingo Province,United Nations Security Council Resolution 477,199
Chima4mani,Paul Tangi Mhova Mkondo,List of mayors of Harare,209
Chima4mani,List of mayors of Harare,List of Presidents of Zimbabwe,212
Chima4mani,Paul Tangi Mhova Mkondo,Southern African Development Community,225
Marty Rampola,Alex Mallari,Allein Maliksi,254
Telacks,User:Telacks/sandbox,Self-control,274
Purkaple,User:Purkaple/sandbox,Wikipedia:Education noticeboard,310
Liblaura,Gari Melchers,Wikipedia:Meetup/DC/Wikipedia in Your Library,373
Liblaura,Wikipedia:Meetup/DC/Wikipedia in Your Library,User:Liblaura/sandbox,374
Liblaura,User:Liblaura/sandbox,Joan E. Biren,375
DuxInvictus,Hasrat Mohani,Portal:Current events/2014 April 19,384
DuxInvictus,Portal:Current events/2014 April 19,Portal:Current events/2014 April 20,390
DuxInvictus,Portal:Current events/2014 April 20,Mendhar Tehsil,392
DuxInvictus,Mendhar Tehsil,Mughal Road,406
