username1,pagetitle1,pagetitle2,counter
Coaster6,Blueberry,Website,6
Bobbysedita,Nick Jr. (block),Wendy's,24
Bobbysedita,Wendy's,Nickelodeon,25
Bobbysedita,List of The Mighty B! episodes,File:Wendy's logo 2012.svg,51
Albertleeisqueenie,Fortune and Men's Eyes,Fortune and Men's Eyes,57
Albertleeisqueenie,Fortune and Men's Eyes,2012 Delhi gang rape,58
Albertleeisqueenie,2012 Delhi gang rape,Aron Ralston,64
Albertleeisqueenie,Aron Ralston,Steven Culp,66
Albertleeisqueenie,Steven Culp,Durian,69
Albertleeisqueenie,Durian,Libby Purves,72
Jvt54,"Indianola, Iowa",Peanut butter and jelly sandwich,85
Cocobrain123,Jack Van Impe,Charles Van Doren,96
Nathanbennett,Arnold Rimmer,File:RedDwarfShip.jpg,101
Nathanbennett,File:RedDwarfShip.jpg,Kristine Kochanski,102
Nathanbennett,Kristine Kochanski,User talk:Nathanbennett,103
Nathanbennett,User talk:Nathanbennett,Chris Barrie,104
HelpTheChast,Trollz,User talk:HelpTheChast,121
Doncheedle,Amara Fashion House,Michilimackinac,157
Fighterjet62,User talk:Fighterjet62,Human sexual activity,173
MooreNo1,Grand Theft Auto: Liberty City Stories soundtrack,Simulated reality in fiction,177
MooreNo1,Future history,The True Story,179
MooreNo1,Talk:The True Story,British Board of Film Classification,181
MooreNo1,Talk:Trial of Michael Jackson,User talk:MooreNo1,189
MooreNo1,User talk:MooreNo1,The Sky at Night,190
MooreNo1,The Sky at Night,Total War: Rome II,191
Aleksa is cool,Bowling average,Poison dart frog,313
Aleksa is cool,Universe,User talk:Aleksa is cool,316
Jasonj926,Wladimir Klitschko,Mike Tyson,379
Hobbitgenius,List of Sherlock episodes,The Hobbit: An Unexpected Journey,387
Cardboardbox1,Sam Worthington,Stand Up and Scream,401
Bluejay101984,Uttar Sampark Kranti Express,Watt,430
Appleboy64,User:Appleboy64,User:Yunshui,451
Appleboy64,User:Yunshui,User talk:Appleboy64,452
Jordikokki90,Samuel de Champlain,Monaco,499
00dcrotzer,Asparagus,DFDS,503
00dcrotzer,DFDS,Pogo stick,504
00dcrotzer,Pogo stick,Mushroom,506
Brooke8590,Patrick Star,McMahon family,541
Brooke8590,McMahon family,User talk:Brooke8590,543
Imvchoudhary,India Under-19 cricket team,India Under-19 cricket team,548
Imvchoudhary,India Under-19 cricket team,User talk:Imvchoudhary,550
Sk8ter32123,Total Nonstop Action Wrestling,Total Nonstop Action Wrestling,553
Jiggawhat32,Water cycle,User talk:Jiggawhat32,557
Mynameisnotbarackobama,Infant mortality,Timbuktu,566
Lane.snow25,Peter Pan,Peter Pan,570
MotherduckingRambo,"St Wilfrids Catholic High School, North Featherstone","St Wilfrids Catholic High School, North Featherstone",573
FrozenFreeze,ALV,NLV,577
Alexcool17,Romano,Debra,590
Kieran97lol,John Lewis Partnership,Store manager,593
Tubaface,Ted Jolliffe,Enid Blyton,631
Brennanboymen,Tyson Clabo,Antonie van Leeuwenhoek,637
Meawesome6544211,Men of Iron,Architecture of cathedrals and great churches,660
Challenisboss,List of Man v. Food episodes,List of countries by life expectancy,671
Lord flacco,Georges Bizet,Georges Bizet,770
Trollin98,Leigh Griffiths,Jack Nicholson,777
TheEvilRussian,"Highland Park, Saint Paul",Highland Park High School (Minnesota),781
Spoocane,User:Spoocane/sandbox,Ratchet & Clank,819
Spoocane,Ratchet & Clank,Aldo Leopold,821
Ac12109,George Crum,Shikigami,831
Quinnjenish,T in the Park 2003,Greek War of Independence,836
Tit69,"Somers, New York",Krayenburg,867
WPsheep,Phil Kessel,Phil Kessel,869
Seriousarticleeditor168,Classical music,Margaret MacDonald (artist),880
Seriousarticleeditor168,Margaret MacDonald (artist),Cesare Borgia,881
Playtime1208Kinz,Template:Taxonomy/Eukaryota,Template:Taxonomy/Grypania,927
Poptartman117,Human back,Human back,944
Pilney24,Josh Bootsma,Josh Bootsma,986
25yankee,Lee Thompson Young,Lee Thompson Young,1010
999sian,Time travel,Time travel,1048
999sian,Time travel,Blessed George Napier Roman Catholic School,1050
신속과 정확,Butter cookie,User talk:신속과 정확,1052
Munnan the kid,Ikaw ang Lahat sa Akin,Jai (actor),1074
Munnan the kid,Jai (actor),H,1075
Ptunali2013,AFL Grand Final,Collingwood Football Club,1104
Ptunali2013,AFL Grand Final,User:Jevansen,1107
Splatomier,Wii U,Ted Jolliffe,1124
Splatomier,Ted Jolliffe,Gary Johnson,1125
JerrickStraughter,Combing,Occupational Safety and Health Administration,1131
MentalSesher99,Tesco,Ross County F.C.,1152
RealTimeLords1,User:RealTimeLords1,Talk:Total War: Rome II,1166
RealTimeLords1,Talk:Total War: Rome II,Transformers: Age of Extinction,1167
RealTimeLords1,Pixar,Doctor Who: Series 7 (soundtrack),1175
RealTimeLords1,Paramount Pictures,Talk (magazine),1181
RealTimeLords1,User talk:Carniolus,Timeline of human prehistory,1183
Habs-edit,Max Pacioretty,Travis Moen,1186
Chadwick 890,Climate of Massachusetts,Luigi's Flying Tires,1226
Gregoryjones36,American Revolutionary War,American Revolutionary War,1229
Joeybuttawipo,User talk:EuroCarGT,Lake Michigan College,1235
Joeybuttawipo,Lake Michigan College,Yahoo!,1237
Lord jarrett,Jarrett,Georgia (U.S. state),1242
Piano360,Taiwan Major League,Myron Samuel,1293
Piano360,Bill Hader,Landry Jones,1313
