username1,pagetitle1,pagetitle2,counter,hop,nhop
Shinebright5522,Category:University programs,Children's literature,36,-1,0
Shinebright5522,Children's literature,Adult learner,38,3,1
Shinebright5522,Adult learner,Skipping-rope rhyme,39,4,0
Shinebright5522,Skipping-rope rhyme,"Glendale, Arizona",41,3,1
Shinebright5522,"Glendale, Arizona","Bisbee, Arizona",43,2,1
Shinebright5522,"Bisbee, Arizona",Hopscotch,44,3,1
Shinebright5522,Hopscotch,"Surprise, Arizona",46,3,1
Shinebright5522,"Surprise, Arizona","Snowflake, Arizona",47,2,1
Shinebright5522,"Snowflake, Arizona","Holbrook, Arizona",50,2,1
Shinebright5522,"Holbrook, Arizona","Wickenburg, Arizona",56,3,1
Shinebright5522,"Wickenburg, Arizona",Seven Up (game),58,4,0
Shinebright5522,Seven Up (game),"St. Johns, Arizona",60,5,0
Shinebright5522,"St. Johns, Arizona",Gin rummy,62,4,0
Shinebright5522,Kathee,CAPRISA,66,6,0
Shinebright5522,CAPRISA,"Benton City, Washington",68,4,0
Shinebright5522,"Benton City, Washington",European Congress of Mathematics,70,5,0
Shinebright5522,European Congress of Mathematics,Milanese (surname),73,4,0
Shinebright5522,"Fraser, British Columbia",Julia Cæsar,75,5,0
Shinebright5522,Julia Cæsar,Woman's Club of Starke,76,7,0
Shinebright5522,Woman's Club of Starke,Joiner (surname),78,6,0
Shinebright5522,Joiner (surname),18024 Dobson,79,5,0
Shinebright5522,18024 Dobson,Janette Rallison,80,-1,0
Shinebright5522,Janette Rallison,Podalyria,81,4,0
Shinebright5522,Abablemma brimleyana,Jessica,83,5,0
Shinebright5522,Jessica,Matterson,85,-1,0
Shinebright5522,Matterson,Santa Rosa Valley,86,5,0
Shinebright5522,Santa Rosa Valley,Bundy,87,-1,0
Shinebright5522,Bundy,Woolrich (surname),89,6,0
Shinebright5522,Woolrich (surname),Pan American Silver,90,5,0
Shinebright5522,"El Campo, Texas","Burke, Wisconsin",92,4,0
Shinebright5522,"Burke, Wisconsin","Encanto, Phoenix",93,3,1
Shinebright5522,"Encanto, Phoenix","East Brunswick Township, Schuylkill County, Pennsylvania",94,4,0
Shinebright5522,"East Brunswick Township, Schuylkill County, Pennsylvania",Hollywood Woman's Club,95,5,0
Shinebright5522,Hollywood Woman's Club,"Litchfield Park, Arizona",96,3,1
Shinebright5522,"Litchfield Park, Arizona","Apache Junction, Arizona",97,2,1
Shinebright5522,"Litchfield Park, Arizona",Big Red (drink),99,4,0
Shinebright5522,Pibb Xtra,Jolt Cola,104,3,1
Shinebright5522,Jolt Cola,"Dayton, Ohio",105,3,1
Shinebright5522,"Tempe, Arizona","Halstead, Kansas",109,3,1
Shinebright5522,"Halstead, Kansas","Pueblo, Colorado",110,2,1
Shinebright5522,"Delta, Colorado","American Fork, Utah",112,3,1
Shinebright5522,"American Fork, Utah","Layton, Utah",115,2,1
Shinebright5522,"Layton, Utah","Orem, Utah",116,2,1
Shinebright5522,"Orem, Utah","Dayton, Wyoming",117,3,1
Shinebright5522,"Glenrock, Wyoming","Ankeny, Iowa",121,3,1
Shinebright5522,"Carroll, Iowa","Beech Grove, Indiana",124,3,1
Shinebright5522,"Muncie, Indiana","Americus, Georgia",126,3,1
Shinebright5522,"Americus, Georgia","McIntyre, Georgia",127,3,1
Shinebright5522,"McIntyre, Georgia","Pierre, South Dakota",128,3,1
Shinebright5522,"Mandan, North Dakota",Maples v. Thomas,130,4,0
Shinebright5522,Maples v. Thomas,Christopher v. SmithKline Beecham Corp.,133,4,0
Shinebright5522,Christopher v. SmithKline Beecham Corp.,Bayfest (Mobile),134,4,0
Shinebright5522,Atlantic Music Festival,Festival of the Fish,136,5,0
Shinebright5522,Festival of the Fish,A Taste of Colorado,137,6,0
Shinebright5522,A Taste of Colorado,Bunbury Music Festival,138,4,0
Shinebright5522,Perry v. New Hampshire,Backpage,141,4,0
Shinebright5522,Backpage,Mount Cotter,144,4,0
Shinebright5522,Mount Cotter,We Were Dancing (film),148,5,0
Shinebright5522,We Were Dancing (film),Parker County Peach Festival,149,4,0
Shinebright5522,Parker County Peach Festival,A. C. Gilbert's Discovery Village,150,4,0
Shinebright5522,A. C. Gilbert's Discovery Village,"Tea, South Dakota",154,3,1
Shinebright5522,"Tea, South Dakota",San Jose Edison School,155,5,0
Shinebright5522,San Jose Edison School,User:Shinebright5522,156,-1,0
Shinebright5522,User:Shinebright5522,"Clover, South Carolina",157,-1,0
Shinebright5522,Wildlife World Zoo,Laurel Springs School,161,5,0
Shinebright5522,Wildlife World Zoo,Connections Academy,169,4,0
Shinebright5522,Backpage,User:Shinebright5522/sandbox,210,-1,0
Shinebright5522,Backpage,Penn Foster High School,214,4,0
Shinebright5522,"Gilbertsville, Kentucky","Goodyear, Arizona",216,3,1
Shinebright5522,Talk:Backpage,Lake Pleasant Regional Park,239,-1,0
Stephrhodes12,User:Stephrhodes12,User talk:Stephrhodes12,244,-1,0
Mrraktima,Talk:Meyer Seewald,Talk:Meyer Seewald,246,-1,0
Mrraktima,User:Mrraktima,Meyer Seewald,249,-1,0
Merujan Karapetyan,Hagop Oshagan,Yeghishe,280,3,1
Merujan Karapetyan,Yeghishe,Ardashes Der-Khachadourian,281,-1,0
Merujan Karapetyan,Ardashes Der-Khachadourian,Armenian printing,290,4,0
DrVentureWasRight,Hibernate (Java),Radeon,295,3,1
DrVentureWasRight,Radeon,Aleppo soap,296,3,1
DrVentureWasRight,Aleppo soap,Natural burial,299,3,1
DrVentureWasRight,Natural burial,Cadence Design Systems,301,4,0
DrVentureWasRight,Hibernate (Java),J. A. Henckels,303,4,0
DrVentureWasRight,J. A. Henckels,Locked-in syndrome,304,4,0
DrVentureWasRight,Locked-in syndrome,Age of consent,306,3,1
DrVentureWasRight,Age of consent,James Smithson,307,3,1
DrVentureWasRight,Women's football in Saudi Arabia,Registered Retirement Savings Plan,310,4,0
DrVentureWasRight,Registered Retirement Savings Plan,User:DrVentureWasRight,311,-1,0
DrVentureWasRight,User:DrVentureWasRight/sandbox,User:DrVentureWasRight/sandbox/Shaun Tan,313,-1,0
DrVentureWasRight,User:DrVentureWasRight/sandbox/Shaun Tan,Sahara Forest Project,317,4,0
DrVentureWasRight,Sahara Forest Project,Carboniferous rainforest collapse,324,3,1
DrVentureWasRight,Talk:Carboniferous rainforest collapse,Wayne Dyer,326,4,0
DrVentureWasRight,Wayne Dyer,User talk:IngridSFP,327,-1,0
DrVentureWasRight,User:DrVentureWasRight,Zoe Quinn,331,-1,0
DrVentureWasRight,Zoe Quinn,Synopsys,332,3,1
DrVentureWasRight,Synopsys,Shaun Tan,333,4,0
DrVentureWasRight,Shaun Tan,User:DrVentureWasRight/Adam Savage,334,-1,0
DrVentureWasRight,User:DrVentureWasRight/Adam Savage,User:DrVentureWasRight/Jamie Hyneman,336,-1,0
DrVentureWasRight,User:DrVentureWasRight/sandbox,Coverity,341,-1,0
DrVentureWasRight,Coverity,Kari Byron,344,4,0
DrVentureWasRight,User:DrVentureWasRight,Google Nexus,348,-1,0
DrVentureWasRight,Google Nexus,Sudbury Neutrino Observatory,349,3,1
DrVentureWasRight,Sudbury Neutrino Observatory,Baxter (robot),350,3,1
Spartan44,Big Ten Conference football individual awards,Tom Izzo,353,2,1
Spartan44,User talk:Spartan44/TWA,User:Spartan44/TWA/Earth,365,-1,0
Spartan44,Bihu Songs of Assam (book),Thermowell,403,5,0
ErmengardeTenderstone,User:ErmengardeTenderstone,Coronation of the Holy Roman Emperor,408,-1,0
ErmengardeTenderstone,Coronation of the Holy Roman Emperor,User talk:Jack Greenmaven,410,-1,0
Lucybee13,Tom Mison,User talk:Ronhjones,430,-1,0
Mattmcg91,MTV Australia,TV1 (Australia),434,2,1
Srikanth Aviator,Karimnagar,User:Srikanth Aviator,443,-1,0
Srikanth Aviator,User:Srikanth Aviator,Karimnagar district,444,2,1
Srikanth Aviator,Chittoor,User talk:Srikanth Aviator,452,-1,0
Srikanth Aviator,User talk:Srikanth Aviator/TWA,User:Srikanth Aviator/TWA/Earth,466,-1,0
