username1,pagetitle1,pagetitle2,counter,hop,nhop
Yatesh,Audi,Audi,28,-1,0
Yatesh,Audi,Mohammad Hamid Ansari,30,4,0
Fusabi,User:Fusabi/sandbox,Arecaceae,46,-1,0
Tizzypaste,User talk:Tizzypaste,Michael Schumacher,61,-1,0
Curiousgorge11,Wikipedia:No personal attacks,User talk:Curiousgorge11,65,-1,0
Badden123,User talk:Badden123,User talk:Badden123,70,-1,0
Badden123,User talk:Badden123,Home Alone,75,-1,0
Olja1990,Coyote Ugly (film),It's a Hard Life,102,3,1
Olja1990,It's a Hard Life,Clueless (film),103,3,1
Jase robertson,Jase Robertson,Willie Robertson,108,1,1
Jase robertson,Willie Robertson,User talk:Jase robertson,109,-1,0
Dalmatinac12345,Zadar,Nicklas Bendtner,111,3,1
Dalmatinac12345,HNK Šibenik,Marko Babić (footballer),113,2,1
SonicTheHedgeFan,Template:Ill2,Template:Infobox Chinese/Korean,187,-1,0
The Troll Is Awesome As Heck,NetSuite,Larry Ellison,261,1,1
Bansheefromhell,Yamaha Banshee 350,Yamaha Banshee 350,300,1,1
Odarblmada,Saint Patrick's Day,Bill Murray,308,3,1
Burkry2002,Dedryck Boyata,Tyrone Barnett,338,3,1
Christianhicks01,Disney Dream,Shih Tzu,378,3,1
Ye olde kiddo,New York metropolitan area,Northamptonshire,474,2,1
T0nythomas4444,"Warrensburg, Missouri","Warrensburg, Missouri",537,1,1
Satyrappal,Captain Flamingo,Keith Johnson (cricket administrator),592,5,0
The 29th Earl of Grimsby,Ship,Race and ethnicity in the United States Census,607,3,1
FreshisFresh,User:FreshisFresh/White Marsh Town Center,Fire drill,635,-1,0
FreshisFresh,Fire drill,WLIF,636,3,1
Bawdykieth,Ajax Engines,Canadian Football Hall of Fame,656,4,0
FadeDelFlow,Lucky Charms,Evelyn Matthei,661,3,1
FadeDelFlow,Evelyn Matthei,Perry the Platypus,666,4,0
FadeDelFlow,Perry the Platypus,Olivia Holt,670,3,1
KMartYogaGuru,Tab Benoit,Dean Hall (game designer),672,4,0
Davidblenker,Super Bowl XLVIII,Aaron Hernandez,677,2,1
Jacko6969,"Reform, Alabama","Reform, Alabama",679,1,1
Jakobisawesome,List of Governors of Montana,Wikipedia:Sandbox,692,4,0
Jakobisawesome,Wikipedia:Sandbox,Pan-Africanism,693,-1,0
Kids Network,Eden (TV channel),UKTV,755,1,1
Kids Network,UKTV,Eden (TV channel),756,1,1
Joel Beckford,Thunderbirds (TV series),Thunderbirds (TV series),765,1,1
Joel Beckford,Thunderbirds (TV series),Thunderbirds machines,766,1,1
Kris Mason,Template:Los Angeles Kings roster,Lakewood Church Central Campus,769,-1,0
Vitalyvito2013,Agression (band),User talk:Vitalyvito2013,777,-1,0
KickAssBlonde12,Diego López (painter),Jonah Hill,779,4,0
KickAssBlonde12,Jonah Hill,San Ysidro High School,780,4,0
Ultimate cosmic evil,User talk:74.104.131.200,Tissuemed,831,6,0
Ultimate cosmic evil,Janus University,Bill Gates,844,3,1
Clapneck,Caterpillar,Murder,1035,3,1
Clapneck,Murder,Sholing F.C.,1036,3,1
Lexi1231fresh,Lexington Market,Locally constant function,1043,5,0
Lexi1231fresh,Locally constant function,Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu,1044,4,0
Lexi1231fresh,Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu,Brügge (Westfalen) station,1045,5,0
Lexi1231fresh,Antioch College,Ulrik Wilbek,1050,4,0
Lexi1231fresh,Ulrik Wilbek,What a Wonderful World,1051,4,0
Lexi1231fresh,The Big Sleep (band),Lev Navrozov,1056,-1,0
Altojells,6teen,Mario Power Tennis,1076,3,1
Altojells,Danielle von Zerneck,Wayside (TV series),1078,3,1
Alisokhanvar123,Bouquet of Barbed Wire,Rio Bravo Cantina,1206,5,0
Professortedbear,Dreamcatcher,Griefer,1270,4,0
Professortedbear,Firelighter,Drop (music),1272,5,0
Roxy1010,Singing,Trash,1299,5,0
BA$ED ALPACA,Montell Jordan,Nas,1313,2,1
Hugaz,Iris Zscherpe,JSMDB,1396,-1,0
The joke is on you chum,Mark King (musician),Iain Duncan Smith,1404,3,1
Silver Wolf Voki,Gun (video game),Gun (video game),1447,1,1
Internet 690,Spice Girls,Geri Halliwell,1471,1,1
Internet 690,Geri Halliwell,Lucy Pinder,1472,2,1
Notyourface,Diego Alberto Morales,Gerard Piqué,1492,3,1
Sriram9999,Rajinikanth,Karthi,1500,2,1
Sriram9999,Karthi,Biriyani (film),1502,1,1
Player2626,Brendan Rodgers,Jon Flanagan,1511,2,1
Freshcleanwins,Fire alarm system,User talk:Freshcleanwins,1521,-1,0
Garyaubin,David Oakes,David Oakes,1538,1,1
Munrotard,David Oakes,David Oakes,1546,1,1
ICTFCJOSH,Arbroath F.C.,Forfar Athletic F.C.,1570,2,1
DDT Fair Trade,Eighth Army (United Kingdom),Acts of Union 1707,1578,2,1
Elmeanopeno,Jimmy Buffett,Tom Waits,1690,3,1
Shamir91,David Mayer de Rothschild,User talk:Shamir91,1701,-1,0
BurfyAdkins,American Express,Origami,1722,3,1
BurfyAdkins,Origami,User talk:BurfyAdkins,1723,-1,0
Jamrho3708,Killswitch Engage,"Royal Oak, Michigan",1726,3,1
Jamrho3708,"Royal Oak, Michigan",Buhl Building,1728,2,1
Jamrho3708,Buhl Building,User talk:Jamrho3708,1730,-1,0
CandiceMichelle1978,Torrie Wilson,Candice Michelle,1735,1,1
Gokulashok007,Talk:Jana,User talk:Gokulashok007,1754,-1,0
Someone you dont know88,"St Paul's College, Adelaide",Rostrevor College,1759,2,1
TheViper Mostafa Serry,User:TheViper Mostafa Serry,User talk:TheViper Mostafa Serry,1828,-1,0
Kotordude,Glam metal,Cellulose,1843,3,1
Flyboy4eva,Kris Kross,The Weeknd,1868,3,1
Couchi625,Merlin Santana,The Odd Life of Timothy Green,1905,3,1
Given6969,Chinese people in Turkey,Aston Villa F.C.,1907,3,1
Himan155,Uruguay,Fort Ancient,1925,3,1
Robertobaggio66,The Jeremy Kyle Show,Jeremy Kyle,1942,1,1
Ydogg97,Daniel Pearl Magnet High School,Cruel Summer (GOOD Music album),1948,4,0
Baking Cookies,My Gym Partner's a Monkey,Redback spider,2067,3,1
7214alex,Bad Girls Club (season 2),Bad Girls Club (season 7),2085,2,1
7214alex,Bad Girls Club (season 2),Bad Girls Club (season 5),2099,2,1
Sweggedish,"Hazlet, New Jersey",Wikipedia:Sandbox,2252,4,0
Sweggedish,Wikipedia:Sandbox,Great Gulf,2253,-1,0
Lucaswillings,Ontario Hockey League,2013 IIHF World U18 Championships,2257,3,1
Joe2398,Kenwyne Jones,Mark Clattenburg,2280,3,1
Msalimi1222,Numerical analysis,Matrix multiplication,2310,2,1
Wadewilson1234,Barbed wire,Paleogeology,2364,3,1
TeStMaN2565,1926 Lithuanian coup d'état,James Caudy,2371,4,0
Coolpal2,List of breakfast foods,Pancake,2396,1,1
GreeksareTurkoAlbanians,Sydney Olympic FC,Rockdale City Suns FC,2439,2,1
Bigdaddyswaggin,Alexis Texas,Avery Bradley,2441,3,1
Bigdaddyswaggin,Alexis Texas,Slang,2443,3,1
Jdemarco2912,North Pole,Fast food restaurant,2463,4,0
Wiki pullers,Talk:Karl Kruszelnicki,Karl Kruszelnicki,2521,2,1
Railsmails,Nefarious: Merchant of Souls,Kentucky House of Representatives,2535,2,1
Adamstony33,Apple ISO 9660 Extensions,Opera File System,2572,-1,0
Adamstony33,Opera File System,Program compatibility date range,2573,-1,0
AOMPlaya1,Q. David Bowers,Michael Aitkens,2638,5,0
AOMPlaya1,Michael Aitkens,Sharknado,2639,4,0
Savedship002,Maidenhead United F.C.,User talk:Savedship002,2651,-1,0
Savedship002,Yeovil Town F.C.,Crystal Palace F.C.,2655,2,1
Heskey696969,Russian cruiser Aurora,Einöd,2683,5,0
Heskey696969,Bob hund (1994 album),Randall Kaplan,2687,6,0
Always noided,User talk:Always noided,Template:Library link about,2698,-1,0
YMGuTii,Funk Volume,List of current Interscope Records artists,2711,3,1
Monkaniac,Royal High School (California),Royal High School (California),2804,1,1
VoltronForceMothgolan,Template:Taxonomy/Catarrhini,Brandy & Mr. Whiskers,2871,-1,0
Attotp,Larry King,Jesse Ventura,2913,1,1
Graceaplomb,Tinsley Mortimer,Tinsley Mortimer,2916,1,1
Claire.saphire,Joke,Joker,2932,2,1
Austinmtx199,Pink,Jacob Bernoulli,2938,3,1
JohannesCheddar,Centrolepidaceae,User talk:JohannesCheddar,2947,-1,0
Popper251,Dale Earnhardt,Stefan Lysenko,2959,6,0
Blutbad,Tim Allen,Jean-Luc Bilodeau,2971,3,1
Blutbad,Spectacular!,Pneumonoultramicroscopicsilicovolcanoconiosis,2975,4,0
SherlockSelfVallage,The Mighty B!,New York State Route 28N,3117,4,0
SherlockSelfVallage,Lachlan Hansen,North Melbourne Football Club,3119,1,1
A-thorsteinson,Alta Ski Area,Alta Ski Area,3128,1,1
Zrrstar,American Girl,Social networking service,3145,3,1
Tuwah798,Rommel N. Angara,Rommel N. Angara,3168,1,1
TheDj7121,21st century,Morgan Lily,3178,2,1
Dboned0069,Katie Cassidy,Halle Berry,3195,3,1
Dboned0069,Halle Berry,Iowa State University,3196,3,1
KodyC,Curt Flood,Auto racing,3252,3,1
Zxcvbnmatt,Belgium,User talk:Zxcvbnmatt,3288,-1,0
Eloc Kcinsrev,Scent gland,Tyler,3293,4,0
Ffriasr,Abortion in Croatia,Abortion in Croatia,3295,1,1
AlainaVanderVeen,Beach,Beach,3299,1,1
AlainaVanderVeen,Beach,User talk:AlainaVanderVeen,3300,-1,0
Flidbog,Benjamin Apthorp Gould,Li Lei (skier),3341,-1,0
Flidbog,Li Lei (skier),Mark Redman,3342,5,0
Motelroyce,Iron Man: Armored Adventures,The Great Adventure (album),3471,4,0
Brodude3,Shrimp,Book of the Dead,3483,3,1
Ashafyque,Vera Bradley,Louis I of Naples,3514,4,0
Ashafyque,Park Tudor School,"Carmel, Indiana",3519,2,1
Calfmessy,STAR Sports 1,2013 ICC Champions Trophy,3529,2,1
Calfmessy,STAR Sports,Howard Webb,3538,4,0
MistaFluffy,Religion in Canada,Pun,3591,3,1
A Rogue Toaster,Cajun cuisine,Cajun cuisine,3600,1,1
Create Account 10101,Talk:Miley Cyrus,American Jewish Congress,3607,-1,0
Create Account 10101,Green Party of the United States,Dumb and Dumber,3609,3,1
Create Account 10101,Dumb and Dumber,Call of Duty: World at War,3610,3,1
Koopatroopa645,Government debt,Anarchy,3620,2,1
Ryanspleb,Cocoa bean,Nikolai Golitsyn,3627,3,1
Swapnilkale72,Wikipedia talk:Why create an account?,Statue of Tara,3661,3,1
Swapnilkale72,Our Lady of Guadalupe,Dhoom 3,3671,4,0
Gladheath,My Life as a Teenage Robot,Avatar: The Last Airbender,3714,2,1
Gladheath,Avatar: The Last Airbender,Elmer Bennett,3716,4,0
Swiggityswag123,Ant-Man (film),Ron Jeremy,3745,3,1
Aasddff,Kanpur,Delhi,3790,1,1
Aasddff,List of most populous cities in India,Gul Panag,3793,2,1
Aasddff,Sindhi people,Roger Federer,3798,2,1
Callum Fawsitt,Markeaton,Irish Sea,3818,2,1
Hungryfirefanatic123,Peeta Mellark,Christingle,3833,4,0
