username1,pagetitle1,pagetitle2,counter
Irandisk,User talk:Irandisk,User talk:Irandisk,0
Nizam655,User talk:Nizam655,User:Nizam655/sandbox,57
Nizam655,User:Nizam655/sandbox,Information and media literacy,58
Plsstahp,User talk:Plsstahp,Worm (disambiguation),304
Plsstahp,User talk:Plsstahp,User:Plsstahp/sandbox,313
Kerri Pomo,Talk:My Little Pony,User talk:Kerri Pomo,571
Manisgv,User talk:Dawnseeker2000,Portal:Science/Featured article/1,601
Henryjin2001,User talk:173.180.25.240,User:Henryjin2001,789
Nepalibharath32,Khiladi 786,User talk:Nepalibharath32,859
Youcancallmecoop,User talk:WadeSimMiser,November,1071
Youcancallmecoop,November,User talk:Youcancallmecoop,1072
Kkkaaaiii,Gross domestic product,Real SPAL,1312
Mclabid007,Geo News,User talk:Mclabid007,1413
Mike legend yes,Jane Hill,User:Mike legend yes/EditCounterOptIn.js,1515
Gree Guy,USA Today,User talk:Gree Guy,1532
LittleBritain1,User:LittleBritain1,Total War: Rome II,1609
LittleBritain1,Total War: Rome II,User talk:LittleBritain1,1610
LittleBritain1,User talk:LittleBritain1,Boomerang (UK & Ireland),1611
LittleBritain1,User talk:LittleBritain1,Transformers: Age of Extinction,1620
Rosing the bow,University of Portsmouth,North East Derbyshire,1651
Amaya Wilkie,Jack Douglass,User talk:Amaya Wilkie,1760
Mksah324,User talk:Mksah324,Library classification,1762
Crazytrain047,Blink-182,User:Mrcolgate1/Cobus Potgieter,1871
Crazytrain047,User:Mrcolgate1/Cobus Potgieter,"Tamworth, New South Wales",1872
Monorail du Plessis,"North Great River, New York",User talk:Monorail du Plessis,1935
Rec133,"United States presidential election, 2016",User:Rec133,1984
Pitt1212,The Specials,User talk:WadeSimMiser,2074
An iPhone 5 and a hurricane,2013 Pacific hurricane season,User talk:An iPhone 5 and a hurricane,2206
Mattyburridge123456,2000 AFL season,User:Mattyburridge123456/sandbox,2233
Mattyburridge123456,User:Mattyburridge123456/sandbox,2008 AFL season,2234
Raninghai,User talk:EuroCarGT,User talk:Doncram,2492
Raninghai,User talk:Doncram,User talk:Raninghai,2494
Raninghai,User talk:Raninghai,Sawan,2495
Raninghai,Sawan,User talk:SpacemanSpiff,2496
Raninghai,User talk:SpacemanSpiff,User:Raninghai,2497
Sinbad the sailor,User:Sinbad the sailor/gallery,Parikshit,2614
Sinbad the sailor,File:021015-puck-woodruff.jpg,User:Sinbad the sailor/gallery,2628
Glennglog22,Human feces,User:Glennglog22,2642
Glennglog22,User:Glennglog22,Sound Blaster,2643
Glennglog22,User:Glennglog22,GoodNites,2648
Anushka127,Aishwarya Rai Bachchan filmography,User talk:Anushka127,2761
Webbesam001,"Union High School (Camas, Washington)",Wikipedia:Edit filter/False positives/Reports,2790
I am smarter than a 5th grader,User talk:I am smarter than a 5th grader/sandbox,Summer,2792
Barkleyruiz1522s,User:Barkleyruiz1522s,User:Barkleyruiz1522s,3012
Applelib,User talk:Xy7,User:Applelib,3090
Applelib,Wikipedia:FurMe,User talk:SQL,3098
Applelib,User:ClueBot III/Master Detailed Indices/User talk:SQL,User:Applelib/sandbox/,3100
Mcarp20,User talk:Mcarp20/sandbox,Belarus,3107
Swedigimon,Template:ICarly,Big Time Suprise,3168
Swedigimon,Big Time Suprise,List of Disney Channel crossovers,3169
Swedigimon,List of Pokémon: Black & White: Rival Destinies episodes,Flash Forward (Event),3172
Swedigimon,Flash Forward (Event),Template:It's a Laugh Productions,3173
Ekealexa,Jessie (TV series),User talk:Ekealexa,3183
14recine,User:14recine,Flipnote Studio,3213
Drlf,DirecTV,User:Drlf,3375
Drlf,User talk:Drlf,Wikipedia talk:Stub,3377
Drlf,User talk:Drlf,Hornet (roller coaster),3393
Drlf,Hornet (disambiguation),User:Drlf/Texas Tornado (Amarillo Tx Rollercoaster)),3397
Drlf,User:Drlf/Texas Tornado (Amarillo Tx Rollercoaster)),Wonderland Park (Texas),3400
Drlf,Gollum,File talk:Cloud computing.svg,3451
Drlf,File talk:Cloud computing.svg,Talk:O Entertainment,3452
Drlf,Wikipedia:Articles for deletion/Paul the monkey,"Talk:Why, Arizona",3460
