username1,pagetitle1,pagetitle2,counter,hop
Juanalbarran243,Talk:Veritasium,Raiders of the Lost Ark,14,5
Juanalbarran243,User:Juanalbarran243,Dirt: Showdown,18,-1
Ljmonsters,Royal Wins,User:Ljmonsters,22,-1
Ljmonsters,MORF Dynamics,Talk:Royal Wins,34,-1
Rickeliason,Cryolipolysis,User:Rickeliason,52,-1
Akashkamble.rs,User:Akashkamble.rs,User:Akashkamble.rs,54,-1
Akashkamble.rs,User:Akashkamble.rs/sandbox,User:Anandraj Ambedkar,56,-1
Akashkamble.rs,User:Anandraj Ambedkar,User talk:Anandraj Ambedkar,57,-1
Akashkamble.rs,User:Anandraj Ambedkar,Anandraj Ambedkar,59,-1
Fmohamed,User:Fmohamed/sandbox,User:Abdirhm,75,-1
Fmohamed,User:Abdirhm,User:Fmohamed,76,-1
Fmohamed,User:Fmohamed,Education Program talk:Abaarso School of Science and Technology/Contributing to the World's Knowledge: Editing Wikipedia (Computer Science 11th Grade) (2),78,-1
Fmohamed,User:Fmohamed,United Nations Office for West Africa,85,2
Fmohamed,United Nations Office for West Africa,Wikipedia:Wikipedia Education Program/Surveys/Students,86,-1
Infamous Castle,Sporta Aģentūras Stadions,Wikipedia talk:Articles for creation/Megan Nicole,134,-1
Infamous Castle,Wikipedia talk:Articles for creation/Megan Nicole,Monroe Doctrine,141,-1
Infamous Castle,User talk:75.168.40.220,Noah Gray-Cabey,200,5
Infamous Castle,User talk:68.12.36.155,Fried dough,245,5
Infamous Castle,User talk:209.60.74.10,Slum upgrading,274,4
Infamous Castle,User talk:108.83.31.92,Jack and the Beanstalk,283,5
Infamous Castle,User talk:152.157.169.44,Thorn Lighting,288,5
Infamous Castle,User talk:122.174.99.132,Louis van Gaal,290,4
Tahub bhat,User:Tahub bhat,User:Tahub bhat,292,-1
TenebrisCaelo,User:TenebrisCaelo,User:TenebrisCaelo/sandbox,543,-1
TenebrisCaelo,Ramsauer–Townsend effect,User talk:TenebrisCaelo,547,-1
TenebrisCaelo,User talk:TenebrisCaelo,Wikipedia:Village pump (technical),548,-1
Surbhi roshan,User talk:Surbhi roshan,User:Surbhi roshan/Surbhi roshan,556,-1
Surbhi roshan,User:Surbhi roshan/Surbhi roshan,Wikipedia:Sandbox,557,-1
Surbhi roshan,Wikipedia:Sandbox,User:Surbhi roshan/sandbox,558,-1
Surbhi roshan,User:Surbhi roshan/Surbhi roshan,User:Surbhi roshan,560,-1
Gwsell,User:Gwsell/sandbox,Education Program talk:Ball State University/Introduction to Digital Literacies (2013 Q1),571,-1
Gwsell,Education Program talk:Ball State University/Introduction to Digital Literacies (2013 Q1),User:Gwsell,572,-1
Artiserver,List of costliest Atlantic hurricanes,User:Artiserver,613,-1
Artiserver,User:Artiserver,List of Austin & Ally episodes,614,-1
KurtTrowbridge,Entertainment (song),User:KurtTrowbridge,630,-1
KurtTrowbridge,User:KurtTrowbridge,TommyD,631,-1
Hussein8121979,Pleurotomella enderbyensis,User:Hussein8121979,711,-1
Pappat708,Wikipedia:Teahouse/Questions,User talk:Drmies,720,-1
TOderson,User:TOderson/sandbox,User:TOderson,771,-1
TOderson,User:TOderson/sandbox,User talk:Wonderfl/Haxe,777,-1
Amcwk,User:Amcwk,Al-Manar,785,-1
Arcussenilis,William Devereux,User talk:Arcussenilis,860,-1
Arcussenilis,"Talk:John Devereux, 2nd Baron Devereux",Lord Warden of the Cinque Ports,955,-1
Arcussenilis,Stephen Devereux,User talk:Ealdgyth,1052,-1
Arcussenilis,"William Devereux, Baron Devereux of Lyonshall",User:Arcussenilis,1075,-1
Arcussenilis,William Devereux,User talk:Velella,1229,-1
GUDHA MANISH,Gudhagorji,User:GUDHA MANISH,1319,-1
GUDHA MANISH,User:GUDHA MANISH,Gudhagorji,1320,-1
Majed amiri,User:Majed amiri,Fishvar,1336,-1
Minnowonsay,User:Anna L Martin,Jinhae-gu,1348,-1
Jagadeeshmv1990,User:Jagadeeshmv1990,Aranmula International Airport,1360,-1
Jagadeeshmv1990,Aranmula International Airport,User talk:Jagadeeshmv1990,1392,-1
Jagadeeshmv1990,User talk:Jagadeeshmv1990,Kummanam Rajasekharan,1393,2
PoloPlayer,La Martina,User talk:PoloPlayer,1416,-1
PoloPlayer,User talk:PoloPlayer,Wikipedia:Changing username/Simple,1453,-1
