username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,vandal
The Truthful Knight,0,0,0,1,0,1,1,0,0,1,0,0,1
Joeyjoj,0,0,0,0,0,1,1,0,0,1,1,0,1
Jolanil,0,1,0,0,0,1,1,0,1,1,0,1,0
Grosario713,1,1,1,0,1,1,1,0,1,1,0,0,0
User don,0,0,0,1,0,1,1,0,0,1,0,0,1
M0ney411,0,0,0,0,1,0,0,0,0,1,0,0,1
Alpha Pax Omega,0,1,0,0,0,1,1,0,1,1,0,0,1
Robertdt1000,0,0,0,0,1,0,0,0,0,1,0,0,1
KingsLAD321,0,0,0,1,1,1,1,0,0,1,0,0,1
Fakenamearfrfr,0,0,0,0,0,0,0,0,0,0,1,0,1
NorbertStu,0,0,0,1,1,1,1,0,0,1,1,1,0
Omareag,0,0,0,0,0,0,0,0,0,0,0,1,0
Denden0019,0,0,0,0,0,1,0,0,0,1,0,0,1
Uberbacon12,0,0,0,0,0,0,0,0,0,0,0,0,1
RazingRazor,1,1,1,1,1,0,1,0,1,1,1,0,0
Phanisreal,0,0,0,0,0,0,0,0,0,0,0,0,0
Tvalarm,1,1,0,0,0,0,0,0,1,0,0,1,0
Got that LSD,0,0,0,1,0,0,0,0,0,1,0,0,1
Cavongrant,0,1,0,0,0,0,0,0,1,0,0,1,0
Tomstery,0,0,0,1,1,1,1,0,0,1,0,0,1
Auk Rest,0,1,1,0,0,0,0,0,1,0,0,1,0
Jlehrer14,0,0,0,0,0,1,1,0,0,1,0,0,1
DavidNFarr,0,0,0,1,0,1,1,0,0,1,0,0,1
Mycomp86,0,0,1,0,1,1,1,0,1,1,0,1,0
Tit69,0,0,0,1,0,0,0,0,0,1,0,0,1
Lamblodgezulu,0,0,0,0,1,0,0,0,0,1,0,0,1
Mattandalex1210,0,0,0,1,1,1,1,0,0,1,0,0,1
Eleeeeeephan,0,0,0,0,0,0,0,0,0,0,0,0,1
Who needs mates round here,0,0,1,0,0,1,1,0,1,1,0,0,1
Vantbenson,0,0,0,1,0,0,0,0,0,1,0,0,0
Billybob917,0,0,0,0,0,0,0,0,0,0,0,1,1
Farhang M. Muhamad,0,1,0,0,0,0,0,0,1,0,0,1,0
Romitoma,0,0,0,0,0,1,0,0,0,1,0,0,1
MrBen104,0,0,0,0,0,1,0,0,0,1,0,1,0
Liamtheliam,0,0,0,1,0,0,1,0,0,1,0,0,0
Alejo5693,1,1,1,0,0,0,1,0,1,0,0,1,0
Rileyconnor,0,0,0,0,0,1,1,0,0,1,0,0,1
Blackman696969,0,0,0,0,0,1,0,0,0,1,0,0,1
Gree Guy,0,0,0,0,0,1,1,0,0,1,0,0,1
LebanonHistorian,0,0,0,1,1,1,1,1,0,1,1,0,0
Nickolaskehler,0,0,0,1,0,1,0,0,0,1,0,0,1
Minecraft1417,0,0,0,0,0,0,0,0,0,0,0,1,0
A Rogue Toaster,0,0,0,1,1,1,1,0,0,1,0,0,1
TreesAreNotGood,0,0,0,0,0,0,0,0,0,0,0,0,1
Thetentigers,1,1,0,0,0,0,0,0,1,0,0,1,0
CynicalCinephile,0,1,1,0,1,1,1,1,1,1,1,1,0
Anno 90701,1,1,0,1,0,0,0,0,1,1,0,0,0
Mr.khoury,0,0,0,0,0,0,0,0,0,0,0,0,1
Al-antonio32,1,0,1,0,0,0,1,0,1,0,0,1,0
Eat4free,1,0,1,0,0,0,1,0,1,0,0,0,1
Professor Crackhead,0,0,0,0,0,0,0,0,0,0,0,0,1
Ekow ayensu,1,1,1,0,0,0,0,0,1,0,0,1,0
Elena.allahverdi,0,0,0,1,0,1,1,0,0,1,0,0,0
Raad -10,0,0,0,0,1,1,1,0,0,1,0,0,1
Itbemeyes,0,0,1,1,1,1,1,0,1,1,0,0,0
Goldhadden,0,0,0,0,0,1,0,0,0,1,0,0,1
Hxspurs,1,0,1,0,0,1,1,0,1,1,0,0,1
FredDSalient,0,0,0,0,0,0,0,0,0,0,0,0,1
Carapanan,1,0,0,0,0,0,0,0,1,0,0,1,0
Scot Ric Scot Ric,1,1,1,0,0,0,1,0,1,0,0,1,1
Bobjohnson.us,0,0,0,0,0,0,0,0,0,0,0,0,1
Aswat group,1,1,0,0,0,0,0,0,1,0,0,1,0
Ryanru13,0,0,1,1,0,1,1,0,1,1,0,0,1
Arabians lover,0,0,0,0,0,0,0,0,0,0,0,1,0
Poochooexpress,0,0,0,1,0,1,1,0,0,1,0,0,1
GavinCross,1,1,1,1,1,1,1,1,1,1,0,1,0
Riversiderobots,0,0,1,0,0,0,0,0,1,0,0,0,0
You'reabully,0,0,0,0,0,0,0,0,0,0,0,0,1
Eatay Dik,0,0,0,1,0,1,1,0,0,1,0,0,1
Nisandosan,0,0,0,0,0,1,0,0,0,1,0,0,1
DonnaWilliamsF,1,0,0,0,0,0,0,0,1,0,0,1,0
Marthajj,1,1,1,0,0,0,1,0,1,0,0,1,0
Miradoreltd,1,0,1,0,0,0,0,0,1,0,0,1,0
KyzOG,0,0,0,0,0,1,1,0,0,1,0,0,1
Jason1525,1,1,1,0,0,0,1,0,1,0,0,1,0
Deathmachine315,0,0,0,0,0,0,0,0,0,0,0,0,1
Thesjb,1,1,1,0,0,0,0,0,1,0,0,1,0
Makmakcu,0,0,0,1,0,1,1,0,0,1,0,0,1
Maccam96,0,0,0,1,1,0,0,0,0,1,0,0,1
Vincenzo Cusumano,0,1,0,1,0,0,0,0,1,1,0,1,0
69sportsdude420,0,0,0,0,1,0,0,0,0,1,0,0,0
Ablib8889,0,0,0,1,0,1,0,0,0,1,0,0,1
JamesRoberts321,0,0,0,0,0,1,1,0,0,1,0,0,1
Will McRoy,1,1,1,1,0,0,1,0,1,1,1,1,0
Thierry Le Provost,1,1,1,1,1,1,1,1,1,1,1,0,0
PETEY 123,0,0,0,1,1,1,1,0,0,1,0,0,1
123456POKEMON,0,0,0,1,0,1,0,0,0,1,0,0,1
Parviz387,1,1,0,0,0,0,0,0,1,0,0,1,0
AtomicWrangler,0,0,0,1,0,1,1,0,0,1,0,0,1
Sanggi Yoga,0,1,1,0,0,0,0,0,1,0,0,1,0
Random Unsung,0,0,1,1,1,1,1,0,1,1,0,0,0
Ironmanprof,0,0,0,1,1,1,1,0,0,1,0,1,0
Czmikluk,0,0,1,0,0,0,1,0,1,0,0,1,0
Dr. macaroni,1,0,1,1,0,1,1,0,1,1,0,0,1
TheHoChiMinhTrail,0,1,1,1,1,0,1,0,1,1,0,0,0
Dru2K7,0,0,0,0,0,0,0,0,0,0,0,0,1
Paddysean99,0,0,0,1,0,1,1,0,0,1,0,0,1
Dkoallpro,1,1,0,0,1,0,0,0,1,1,0,1,0
Howarth96,0,0,0,0,0,1,1,0,0,1,0,0,1
Dreadstarismybff,0,0,0,0,0,1,0,0,0,1,0,0,1
Bigreer,0,0,0,1,0,1,1,0,0,1,0,0,1
Camnewton2,1,1,1,0,0,0,1,0,1,0,0,1,0
Hari.harish,1,1,0,0,0,0,0,0,1,0,0,1,0
Jams94,0,0,0,0,0,0,0,0,0,0,0,0,1
Reggaenakalbo,1,1,1,0,0,0,1,0,1,0,0,1,0
Smoro100,1,0,0,0,0,1,1,0,1,1,0,0,0
AlexLee90,1,1,1,1,1,1,1,0,1,1,0,1,0
Voteharryjudd,0,0,0,0,1,1,0,0,0,1,0,0,1
JRW03,0,0,0,0,0,1,1,0,0,1,1,1,0
Yoloswang,0,0,0,1,0,1,1,0,0,1,0,0,1
Thespikeeffect,0,0,0,0,1,1,0,0,0,1,1,0,1
LOLO12212,0,0,0,0,0,1,1,0,0,1,0,0,1
Missile kid,1,1,0,0,0,0,0,0,1,0,1,0,1
Vivekamrao,0,0,0,0,0,0,0,0,0,0,0,1,0
Swethashenoy007,0,0,1,0,0,0,1,0,1,0,0,1,0
Jpschwartz,0,0,1,0,0,0,1,0,1,0,0,1,0
Owij;ipjewpi;we,0,0,0,0,0,0,0,0,0,0,0,0,1
Galopez3,0,0,0,0,0,1,1,0,0,1,0,0,1
Lewi77,0,0,0,0,0,1,0,0,0,1,1,0,1
Pstacey,0,0,1,0,0,0,1,0,1,0,0,1,0
Lsohn3192,1,1,1,0,0,0,1,0,1,0,0,1,0
Alkalinenick,0,0,1,0,0,0,0,0,1,0,0,0,0
Srajput123,1,0,1,0,0,0,1,0,1,0,0,1,0
Myconix,1,1,1,1,1,1,1,1,1,1,1,0,0
MovingAustraliaForward,0,0,0,0,1,1,0,0,0,1,1,0,0
Kpakhutkina12,0,0,0,0,0,1,0,0,0,1,0,0,1
Thatspammer19,0,1,0,0,0,1,1,0,1,1,0,0,1
DarrenG34a,1,1,0,0,0,0,0,0,1,0,0,1,0
Dank4days,0,0,0,0,0,0,0,0,0,0,0,0,1
Alexcool17,0,0,0,0,0,0,0,0,0,0,0,0,1
JasperTW,0,0,0,0,0,1,1,0,0,1,0,0,1
Serpinium,1,1,1,1,1,1,1,0,1,1,1,0,0
Andrewsully10,0,0,0,1,0,0,0,0,0,1,0,0,1
Anthonyelder16,1,0,1,0,0,0,1,0,1,0,0,0,0
Sumitpitliyaartist,1,0,0,0,0,0,0,0,1,0,0,1,0
Nicole Mahramus,1,1,1,0,0,0,1,0,1,0,0,1,0
